,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년11월_계_총인구수,"236,492","16,253","14,759","13,501","14,149","4,798","15,985","5,517","6,813","9,726","10,457","13,688","26,432","6,685","13,909","22,909","12,932","27,979"
2020년11월_계_연령구간인구수,"236,492","16,253","14,759","13,501","14,149","4,798","15,985","5,517","6,813","9,726","10,457","13,688","26,432","6,685","13,909","22,909","12,932","27,979"
2020년11월_계_0~9세,"15,356",907,"1,533",754,960,176,724,173,303,525,643,"1,213","1,989",343,922,"1,973",653,"1,565"
2020년11월_계_10~19세,"22,141","1,019","2,453","1,245","1,123",307,"1,164",268,470,741,779,"1,647","3,179",353,"1,002","2,912","1,113","2,366"
2020년11월_계_20~29세,"31,102","2,822","1,641","1,654","2,438",506,"1,853",997,769,"1,834","1,508","1,536","3,062",868,"1,803","2,864","1,578","3,369"
2020년11월_계_30~39세,"26,290","2,436","1,566","1,362","1,970",475,"1,633",593,662,"1,258","1,290","1,571","2,451",884,"1,626","2,480","1,279","2,754"
2020년11월_계_40~49세,"37,105","2,513","3,261","2,161","2,175",605,"2,119",617,924,"1,423","1,487","2,497","4,473",961,"1,932","4,034","1,884","4,039"
2020년11월_계_50~59세,"39,911","2,688","2,097","2,410","2,046",859,"2,862",945,"1,270","1,496","1,741","2,224","4,494","1,200","2,242","3,542","2,445","5,350"
2020년11월_계_60~69세,"33,454","2,171","1,163","2,063","1,802",871,"2,969",908,"1,208","1,153","1,411","1,515","3,451","1,169","2,220","2,552","2,028","4,800"
2020년11월_계_70~79세,"20,610","1,135",695,"1,206","1,074",648,"1,872",642,770,839,972,"1,013","2,201",614,"1,464","1,680","1,224","2,561"
2020년11월_계_80~89세,"9,170",476,307,562,467,310,695,324,363,397,541,428,982,257,603,767,658,"1,033"
2020년11월_계_90~99세,"1,269",79,38,78,86,37,87,43,69,54,84,44,144,34,88,101,67,136
2020년11월_계_100세 이상,84,7,5,6,8,4,7,7,5,6,1,0,6,2,7,4,3,6
2020년11월_남_총인구수,"116,718","8,411","7,059","6,558","6,989","2,511","8,034","2,724","3,424","4,664","4,930","6,640","12,707","3,544","6,836","11,089","6,304","14,294"
2020년11월_남_연령구간인구수,"116,718","8,411","7,059","6,558","6,989","2,511","8,034","2,724","3,424","4,664","4,930","6,640","12,707","3,544","6,836","11,089","6,304","14,294"
2020년11월_남_0~9세,"7,856",437,770,371,518,100,369,107,170,256,312,653,"1,017",188,463,"1,022",318,785
2020년11월_남_10~19세,"11,409",517,"1,208",666,611,171,591,150,246,335,384,817,"1,624",203,531,"1,517",592,"1,246"
2020년11월_남_20~29세,"15,946","1,349",824,883,"1,110",275,"1,004",453,402,841,764,779,"1,629",491,907,"1,437",896,"1,902"
2020년11월_남_30~39세,"13,515","1,316",688,723,988,271,934,343,373,665,635,756,"1,164",488,859,"1,156",696,"1,460"
