카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년09월_계_총인구수,"150,121","48,284","2,154","3,079","5,004","2,794","2,781","1,776","1,510","57,492","11,817","11,691","1,739"
2021년09월_계_연령구간인구수,"150,121","48,284","2,154","3,079","5,004","2,794","2,781","1,776","1,510","57,492","11,817","11,691","1,739"
2021년09월_계_0~9세,"12,780","4,225",68,73,266,64,75,41,26,"6,213",867,807,55
2021년09월_계_10~19세,"15,712","5,073",130,139,276,121,80,87,50,"7,268","1,112","1,260",116
2021년09월_계_20~29세,"19,400","5,924",184,254,610,184,185,120,118,"8,077","1,503","2,058",183
2021년09월_계_30~39세,"17,961","5,707",143,152,509,160,145,89,104,"8,337","1,227","1,265",123
2021년09월_계_40~49세,"23,067","7,749",195,266,531,203,243,153,146,"10,309","1,788","1,305",179
2021년09월_계_50~59세,"29,254","8,491",431,619,"1,151",535,486,326,272,"11,102","2,717","2,754",370
2021년09월_계_60~69세,"18,021","6,176",424,660,795,580,603,430,297,"4,244","1,730","1,737",345
2021년09월_계_70~79세,"8,315","3,010",295,482,491,504,543,287,262,"1,276",580,375,210
2021년09월_계_80~89세,"4,766","1,634",234,366,327,373,345,214,192,582,252,110,137
2021년09월_계_90~99세,824,291,49,65,48,68,73,25,42,82,40,20,21
2021년09월_계_100세 이상,21,4,1,3,0,2,3,4,1,2,1,0,0
2021년09월_남_총인구수,"78,399","24,725","1,122","1,520","2,575","1,407","1,379",892,820,"30,306","6,251","6,439",963
2021년09월_남_연령구간인구수,"78,399","24,725","1,122","1,520","2,575","1,407","1,379",892,820,"30,306","6,251","6,439",963
2021년09월_남_0~9세,"6,497","2,126",50,37,141,27,33,20,12,"3,175",441,408,27
2021년09월_남_10~19세,"8,152","2,663",78,67,141,76,44,45,28,"3,728",561,659,62
2021년09월_남_20~29세,"11,287","3,270",116,150,354,116,112,79,69,"4,636",875,"1,386",124
2021년09월_남_30~39세,"9,658","2,939",78,77,288,88,88,45,63,"4,467",693,743,89
2021년09월_남_40~49세,"11,935","4,072",113,136,262,120,154,100,100,"5,218",961,580,119
2021년09월_남_50~59세,"15,948","4,511",251,355,623,321,298,183,186,"6,039","1,490","1,475",216
2021년09월_남_60~69세,"9,481","3,202",226,360,417,298,287,227,160,"2,281",894,937,192
2021년09월_남_70~79세,"3,786","1,376",120,210,223,222,242,112,127,575,269,217,93
2021년09월_남_80~89세,"1,516",513,77,113,120,128,113,77,68,177,63,29,38
2021년09월_남_90~99세,137,53,12,14,6,11,8,4,7,10,4,5,3
2021년09월_남_100세 이상,2,0,1,1,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"71,722","23,559","1,032","1,559","2,429","1,387","1,402",884,690,"27,186","5,566","5,252",776
2021년09월_여_연령구간인구수,"71,722","23,559","1,032","1,559","2,429","1,387","1,402",884,690,"27,186","5,566","5,252",776
2021년09월_여_0~9세,"6,283","2,099",18,36,125,37,42,21,14,"3,038",426,399,28
2021년09월_여_10~19세,"7,560","2,410",52,72,135,45,36,42,22,"3,540",551,601,54
2021년09월_여_20~29세,"8,113","2,654",68,104,256,68,73,41,49,"3,441",628,672,59
2021년09월_여_30~39세,"8,303","2,768",65,75,221,72,57,44,41,"3,870",534,522,34
2021년09월_여_40~49세,"11,132","3,677",82,130,269,83,89,53,46,"5,091",827,725,60
2021년09월_여_50~59세,"13,306","3,980",180,264,528,214,188,143,86,"5,063","1,227","1,279",154
2021년09월_여_60~69세,"8,540","2,974",198,300,378,282,316,203,137,"1,963",836,800,153
2021년09월_여_70~79세,"4,529","1,634",175,272,268,282,301,175,135,701,311,158,117
2021년09월_여_80~89세,"3,250","1,121",157,253,207,245,232,137,124,405,189,81,99
2021년09월_여_90~99세,687,238,37,51,42,57,65,21,35,72,36,15,18
2021년09월_여_100세 이상,19,4,0,2,0,2,3,4,1,2,1,0,0
