카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년05월_계_총인구수,"123,133","2,200","4,845","2,859","4,044","4,542","5,218","1,716","7,579","13,993","16,815","13,766","10,385","10,454","12,548","12,169"
2021년05월_계_연령구간인구수,"123,133","2,200","4,845","2,859","4,044","4,542","5,218","1,716","7,579","13,993","16,815","13,766","10,385","10,454","12,548","12,169"
2021년05월_계_0~9세,"6,539",158,192,83,186,179,128,40,250,538,"1,038",740,568,700,732,"1,007"
2021년05월_계_10~19세,"6,664",124,198,133,179,271,190,37,285,790,941,863,530,849,518,756
2021년05월_계_20~29세,"18,364",256,496,359,737,"1,164","1,013",199,"1,347","2,360","2,002","1,935","1,653","1,377","2,094","1,372"
2021년05월_계_30~39세,"19,936",470,528,410,636,670,865,306,"1,302","2,180","2,392","2,154","1,696","1,342","2,787","2,198"
2021년05월_계_40~49세,"17,718",489,658,419,494,565,637,185,"1,043","2,015","2,399","1,903","1,535","1,536","1,819","2,021"
2021년05월_계_50~59세,"20,290",299,943,481,591,595,835,296,"1,349","2,282","2,794","2,324","1,859","1,951","1,763","1,928"
2021년05월_계_60~69세,"17,682",241,"1,028",505,617,521,824,378,"1,059","1,995","2,701","1,995","1,328","1,456","1,558","1,476"
2021년05월_계_70~79세,"10,327",106,525,304,354,360,503,188,643,"1,209","1,591","1,162",825,749,888,920
2021년05월_계_80~89세,"4,758",44,223,140,189,191,191,70,251,533,807,606,343,421,331,418
2021년05월_계_90~99세,795,11,53,21,52,25,30,17,48,81,147,82,45,64,57,62
2021년05월_계_100세 이상,60,2,1,4,9,1,2,0,2,10,3,2,3,9,1,11
2021년05월_남_총인구수,"60,106","1,065","2,551","1,238","2,099","2,301","2,670","1,042","3,778","6,775","7,903","6,519","5,051","5,073","5,985","6,056"
2021년05월_남_연령구간인구수,"60,106","1,065","2,551","1,238","2,099","2,301","2,670","1,042","3,778","6,775","7,903","6,519","5,051","5,073","5,985","6,056"
2021년05월_남_0~9세,"3,379",86,107,49,101,93,69,18,103,286,514,378,284,391,381,519
2021년05월_남_10~19세,"3,323",41,81,60,95,135,89,16,136,427,474,427,265,425,257,395
2021년05월_남_20~29세,"8,611",96,228,164,367,607,425,85,616,"1,116",977,942,758,691,867,672
2021년05월_남_30~39세,"9,942",222,248,212,342,359,476,177,666,"1,145","1,142","1,066",836,631,"1,371","1,049"
2021년05월_남_40~49세,"9,086",258,359,184,284,301,343,120,574,"1,027","1,186",931,792,754,908,"1,065"
2021년05월_남_50~59세,"10,287",151,547,202,340,302,472,217,723,"1,075","1,323","1,125",976,946,896,992
2021년05월_남_60~69세,"8,837",136,609,213,311,258,453,258,545,932,"1,253",956,652,737,759,765
2021년05월_남_70~79세,"4,642",52,264,110,172,165,255,110,300,547,699,453,354,331,412,418
2021년05월_남_80~89세,"1,761",18,94,39,68,72,75,34,102,198,293,220,122,144,122,160
2021년05월_남_90~99세,222,5,14,4,17,9,12,7,11,21,40,20,12,20,12,18
2021년05월_남_100세 이상,16,0,0,1,2,0,1,0,2,1,2,1,0,3,0,3
2021년05월_여_총인구수,"63,027","1,135","2,294","1,621","1,945","2,241","2,548",674,"3,801","7,218","8,912","7,247","5,334","5,381","6,563","6,113"
2021년05월_여_연령구간인구수,"63,027","1,135","2,294","1,621","1,945","2,241","2,548",674,"3,801","7,218","8,912","7,247","5,334","5,381","6,563","6,113"
2021년05월_여_0~9세,"3,160",72,85,34,85,86,59,22,147,252,524,362,284,309,351,488
2021년05월_여_10~19세,"3,341",83,117,73,84,136,101,21,149,363,467,436,265,424,261,361
2021년05월_여_20~29세,"9,753",160,268,195,370,557,588,114,731,"1,244","1,025",993,895,686,"1,227",700
2021년05월_여_30~39세,"9,994",248,280,198,294,311,389,129,636,"1,035","1,250","1,088",860,711,"1,416","1,149"
2021년05월_여_40~49세,"8,632",231,299,235,210,264,294,65,469,988,"1,213",972,743,782,911,956
2021년05월_여_50~59세,"10,003",148,396,279,251,293,363,79,626,"1,207","1,471","1,199",883,"1,005",867,936
2021년05월_여_60~69세,"8,845",105,419,292,306,263,371,120,514,"1,063","1,448","1,039",676,719,799,711
2021년05월_여_70~79세,"5,685",54,261,194,182,195,248,78,343,662,892,709,471,418,476,502
2021년05월_여_80~89세,"2,997",26,129,101,121,119,116,36,149,335,514,386,221,277,209,258
2021년05월_여_90~99세,573,6,39,17,35,16,18,10,37,60,107,62,33,44,45,44
2021년05월_여_100세 이상,44,2,1,3,7,1,1,0,0,9,1,1,3,6,1,8
