,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2021년09월_계_총인구수,"449,010","30,861","29,970","21,951","25,489","41,305","20,535","20,771","15,306","18,084","14,711","13,787","19,966","20,453","19,554","49,587","32,841","24,635","29,204"
2021년09월_계_연령구간인구수,"449,010","30,861","29,970","21,951","25,489","41,305","20,535","20,771","15,306","18,084","14,711","13,787","19,966","20,453","19,554","49,587","32,841","24,635","29,204"
2021년09월_계_0~9세,"30,051","2,795","1,615","1,255","1,289","3,209",933,"1,349",801,"1,372",910,"1,474",974,"1,776","1,265","3,640","1,528","1,993","1,873"
2021년09월_계_10~19세,"49,608","5,055","2,433","1,488","3,239","7,345","1,270","1,734","1,089","1,608","1,218","1,207","1,260","2,907","2,949","5,585","2,264","3,590","3,367"
2021년09월_계_20~29세,"58,116","3,240","4,873","3,405","4,082","4,302","2,596","2,596","2,001","2,135","2,112","1,560","2,519","2,378","2,386","6,179","5,268","3,037","3,447"
2021년09월_계_30~39세,"56,059","3,099","5,218","3,938","2,702","3,735","2,678","2,848","1,941","2,317","2,030","2,550","2,580","1,971","1,741","6,081","4,890","2,676","3,064"
2021년09월_계_40~49세,"77,057","6,706","4,564","3,125","4,380","8,844","2,989","3,226","2,154","3,020","2,215","2,172","2,848","4,007","3,713","8,398","5,077","4,629","4,990"
2021년09월_계_50~59세,"76,111","5,020","4,816","3,583","4,866","6,755","3,724","3,298","2,830","2,827","2,486","2,008","3,486","3,462","3,512","8,547","5,312","4,396","5,183"
2021년09월_계_60~69세,"60,052","3,010","3,973","3,093","2,798","4,429","3,749","3,353","2,574","2,811","2,253","1,763","3,530","2,312","2,349","6,411","4,806","2,750","4,088"
2021년09월_계_70~79세,"28,978","1,337","1,705","1,379","1,484","1,786","1,886","1,740","1,365","1,394","1,043",781,"1,826","1,069","1,110","3,291","2,671","1,042","2,069"
2021년09월_계_80~89세,"11,216",504,677,595,563,739,612,540,500,530,390,239,838,470,452,"1,263",916,417,971
2021년09월_계_90~99세,"1,685",91,93,84,74,156,93,83,49,67,54,29,101,97,74,186,104,103,147
2021년09월_계_100세 이상,77,4,3,6,12,5,5,4,2,3,0,4,4,4,3,6,5,2,5
2021년09월_남_총인구수,"220,075","14,814","14,580","10,463","12,476","20,511","10,546","10,166","8,055","8,826","7,302","6,754","9,765","9,962","9,574","24,141","16,046","11,977","14,117"
2021년09월_남_연령구간인구수,"220,075","14,814","14,580","10,463","12,476","20,511","10,546","10,166","8,055","8,826","7,302","6,754","9,765","9,962","9,574","24,141","16,046","11,977","14,117"
2021년09월_남_0~9세,"15,454","1,416",837,659,617,"1,700",488,692,446,671,465,763,511,916,626,"1,855",813,"1,030",949
2021년09월_남_10~19세,"25,828","2,511","1,263",810,"1,740","4,030",648,853,559,850,650,591,641,"1,489","1,538","2,870","1,160","1,862","1,763"
2021년09월_남_20~29세,"29,528","1,586","2,386","1,629","2,178","2,244","1,354","1,330","1,062","1,116","1,080",768,"1,325","1,206","1,220","3,201","2,479","1,570","1,794"
2021년09월_남_30~39세,"27,682","1,312","2,652","1,930","1,350","1,660","1,484","1,446","1,059","1,126","1,075","1,271","1,368",874,825,"2,986","2,602","1,189","1,473"
2021년09월_남_40~49세,"36,845","3,027","2,197","1,494","1,963","3,915","1,580","1,645","1,189","1,538","1,100","1,099","1,475","1,876","1,698","4,043","2,537","2,081","2,388"
2021년09월_남_50~59세,"37,850","2,648","2,286","1,632","2,388","3,517","1,964","1,606","1,543","1,368","1,203",971,"1,684","1,772","1,809","4,180","2,548","2,175","2,556"
2021년09월_남_60~69세,"28,716","1,452","1,884","1,433","1,360","2,170","1,886","1,537","1,376","1,296","1,078",826,"1,657","1,109","1,179","2,975","2,220","1,337","1,941"
2021년09월_남_70~79세,"13,675",655,817,654,671,955,890,833,621,659,497,374,799,510,500,"1,525","1,257",553,905
2021년09월_남_80~89세,"4,078",180,236,199,189,276,236,207,190,183,146,86,281,187,160,461,403,147,311
2021년09월_남_90~99세,402,25,22,22,17,44,15,16,9,19,8,5,21,22,19,45,26,32,35
2021년09월_남_100세 이상,17,2,0,1,3,0,1,1,1,0,0,0,3,1,0,0,1,1,2
2021년09월_여_총인구수,"228,935","16,047","15,390","11,488","13,013","20,794","9,989","10,605","7,251","9,258","7,409","7,033","10,201","10,491","9,980","25,446","16,795","12,658","15,087"
2021년09월_여_연령구간인구수,"228,935","16,047","15,390","11,488","13,013","20,794","9,989","10,605","7,251","9,258","7,409","7,033","10,201","10,491","9,980","25,446","16,795","12,658","15,087"
2021년09월_여_0~9세,"14,597","1,379",778,596,672,"1,509",445,657,355,701,445,711,463,860,639,"1,785",715,963,924
2021년09월_여_10~19세,"23,780","2,544","1,170",678,"1,499","3,315",622,881,530,758,568,616,619,"1,418","1,411","2,715","1,104","1,728","1,604"
2021년09월_여_20~29세,"28,588","1,654","2,487","1,776","1,904","2,058","1,242","1,266",939,"1,019","1,032",792,"1,194","1,172","1,166","2,978","2,789","1,467","1,653"
2021년09월_여_30~39세,"28,377","1,787","2,566","2,008","1,352","2,075","1,194","1,402",882,"1,191",955,"1,279","1,212","1,097",916,"3,095","2,288","1,487","1,591"
2021년09월_여_40~49세,"40,212","3,679","2,367","1,631","2,417","4,929","1,409","1,581",965,"1,482","1,115","1,073","1,373","2,131","2,015","4,355","2,540","2,548","2,602"
2021년09월_여_50~59세,"38,261","2,372","2,530","1,951","2,478","3,238","1,760","1,692","1,287","1,459","1,283","1,037","1,802","1,690","1,703","4,367","2,764","2,221","2,627"
2021년09월_여_60~69세,"31,336","1,558","2,089","1,660","1,438","2,259","1,863","1,816","1,198","1,515","1,175",937,"1,873","1,203","1,170","3,436","2,586","1,413","2,147"
2021년09월_여_70~79세,"15,303",682,888,725,813,831,996,907,744,735,546,407,"1,027",559,610,"1,766","1,414",489,"1,164"
2021년09월_여_80~89세,"7,138",324,441,396,374,463,376,333,310,347,244,153,557,283,292,802,513,270,660
2021년09월_여_90~99세,"1,283",66,71,62,57,112,78,67,40,48,46,24,80,75,55,141,78,71,112
2021년09월_여_100세 이상,60,2,3,5,9,5,4,3,1,3,0,4,1,3,3,6,4,1,3
