,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년02월_계_총인구수,"464,208","39,036","36,253","26,149","17,558","25,580","22,612","35,284","15,418","18,253","27,363","34,259","26,550","20,218","24,207","23,461","46,372",247,"25,388"
2021년02월_계_연령구간인구수,"464,208","39,036","36,253","26,149","17,558","25,580","22,612","35,284","15,418","18,253","27,363","34,259","26,550","20,218","24,207","23,461","46,372",247,"25,388"
2021년02월_계_0~9세,"35,236","3,487","4,761","2,136","1,153","3,004","2,585","2,163","1,406","2,004","1,425","1,684","1,291","1,578","1,078","1,263","2,470",3,"1,745"
2021년02월_계_10~19세,"39,230","4,860","3,729","2,489","2,526","3,477","1,968","2,595","1,006","1,926","1,749","1,833","1,289","1,721","1,191","1,773","2,985",7,"2,106"
2021년02월_계_20~29세,"61,536","4,617","3,786","3,221","2,252","2,387","2,420","4,821","1,998","1,961","3,813","4,917","4,255","2,757","3,960","3,652","7,131",18,"3,570"
2021년02월_계_30~39세,"72,610","5,106","5,788","4,115","1,879","3,437","4,029","5,242","2,889","2,533","4,066","6,197","4,786","3,327","4,341","3,539","7,585",18,"3,733"
2021년02월_계_40~49세,"74,980","6,513","6,662","4,237","3,097","5,440","3,859","5,559","2,414","3,286","4,053","5,006","3,796","3,324","3,442","3,591","6,864",50,"3,787"
2021년02월_계_50~59세,"72,488","5,725","5,088","4,054","2,758","3,439","3,294","5,991","2,243","2,684","4,610","5,691","4,248","3,055","3,821","4,029","7,508",28,"4,222"
2021년02월_계_60~69세,"64,291","4,886","4,337","3,600","2,480","2,750","2,821","5,069","1,952","2,364","4,455","5,113","3,972","2,598","3,707","3,278","7,093",55,"3,761"
2021년02월_계_70~79세,"31,004","2,558","1,557","1,616",978,"1,082","1,156","2,753","1,099","1,071","2,290","2,717","2,059","1,336","1,889","1,695","3,383",39,"1,726"
2021년02월_계_80~89세,"10,676","1,068",443,564,341,421,384,921,350,346,751,930,745,445,676,547,"1,123",13,608
2021년02월_계_90~99세,"1,901",201,96,109,89,114,91,144,49,69,132,146,94,71,84,81,205,8,118
2021년02월_계_100세 이상,256,15,6,8,5,29,5,26,12,9,19,25,15,6,18,13,25,8,12
2021년02월_남_총인구수,"228,256","18,769","17,897","12,761","8,670","13,004","11,411","17,497","7,470","8,940","13,444","16,922","12,971","9,804","11,899","11,528","22,646",116,"12,507"
2021년02월_남_연령구간인구수,"228,256","18,769","17,897","12,761","8,670","13,004","11,411","17,497","7,470","8,940","13,444","16,922","12,971","9,804","11,899","11,528","22,646",116,"12,507"
2021년02월_남_0~9세,"18,293","1,820","2,456","1,103",584,"1,591","1,340","1,076",720,"1,031",705,880,693,833,575,654,"1,301",2,929
2021년02월_남_10~19세,"20,657","2,507","1,895","1,300","1,388","1,981","1,032","1,363",487,"1,011",912,951,644,882,580,"1,058","1,557",3,"1,106"
2021년02월_남_20~29세,"30,264","2,275","1,953","1,623","1,146","1,262","1,273","2,516",956,977,"1,917","2,319","1,863","1,362","1,779","1,872","3,363",11,"1,797"
2021년02월_남_30~39세,"36,149","2,425","2,664","2,043",929,"1,609","1,955","2,719","1,436","1,151","2,125","3,198","2,404","1,613","2,295","1,807","3,879",8,"1,889"
2021년02월_남_40~49세,"37,581","3,129","3,359","2,039","1,394","2,729","1,995","2,862","1,211","1,633","2,126","2,583","1,965","1,616","1,783","1,732","3,508",24,"1,893"
2021년02월_남_50~59세,"35,379","2,775","2,438","1,949","1,359","1,758","1,663","2,931","1,075","1,304","2,192","2,851","2,196","1,449","1,899","1,926","3,586",17,"2,011"
