,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년09월_계_총인구수,"377,536","21,153","29,226","33,186","20,333","37,468","17,810","32,800","18,098","22,371","17,265","16,617","12,309","10,704","19,162","19,956","14,594","12,047","22,437"
2021년09월_계_연령구간인구수,"377,536","21,153","29,226","33,186","20,333","37,468","17,810","32,800","18,098","22,371","17,265","16,617","12,309","10,704","19,162","19,956","14,594","12,047","22,437"
2021년09월_계_0~9세,"25,154","1,363","1,198","2,745","1,075","2,763",909,"3,292","1,292","1,578",543,"1,123",854,793,"1,162","2,077",878,400,"1,109"
2021년09월_계_10~19세,"23,744","1,203",872,"2,891",940,"2,247",925,"2,965",997,"1,490",827,"1,092",808,726,"1,241","1,704",873,561,"1,382"
2021년09월_계_20~29세,"59,122","2,844","7,474","3,699","3,435","7,309","2,670","3,653","2,897","3,815","3,402","2,167","1,555","1,297","3,199","2,648","2,083","1,874","3,101"
2021년09월_계_30~39세,"69,313","3,200","7,442","4,917","4,256","8,243","3,174","6,042","4,573","5,305","3,045","2,482","1,868","1,520","3,094","3,339","1,941","1,655","3,217"
2021년09월_계_40~49세,"55,684","3,011","3,572","5,361","2,791","5,248","2,632","5,994","2,949","3,261","2,348","2,388","1,865","1,604","2,676","3,346","2,011","1,595","3,032"
2021년09월_계_50~59세,"56,220","3,620","3,539","5,144","2,971","4,792","2,921","4,245","2,077","3,030","2,504","2,850","2,010","1,818","3,041","2,995","2,518","2,100","4,045"
2021년09월_계_60~69세,"48,050","3,276","3,021","4,174","2,703","3,852","2,410","3,584","1,735","2,264","2,343","2,495","1,889","1,680","2,680","2,224","2,199","1,869","3,652"
2021년09월_계_70~79세,"26,912","1,817","1,449","2,565","1,420","1,986","1,425","2,034","1,058","1,070","1,470","1,404",987,889,"1,403","1,094","1,468","1,375","1,998"
