,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2021년07월_계_총인구수,"103,185","4,478","3,883","10,642","9,568","8,627","10,408","4,232","4,635","3,074","7,812","11,590","7,862","16,374"
2021년07월_계_연령구간인구수,"103,185","4,478","3,883","10,642","9,568","8,627","10,408","4,232","4,635","3,074","7,812","11,590","7,862","16,374"
2021년07월_계_0~9세,"7,294",65,86,906,"1,001",525,605,171,194,85,726,588,530,"1,812"
2021년07월_계_10~19세,"7,301",136,200,607,845,633,796,316,360,139,544,918,628,"1,179"
2021년07월_계_20~29세,"14,823","1,133",793,"1,370","1,047","1,170","1,315",867,937,867,"1,073","1,341",921,"1,989"
2021년07월_계_30~39세,"13,473",614,440,"1,811","1,361","1,092","1,081",449,415,360,"1,050","1,051",977,"2,772"
2021년07월_계_40~49세,"14,043",484,498,"1,483","1,481","1,204","1,383",543,578,319,"1,095","1,426","1,070","2,479"
2021년07월_계_50~59세,"15,478",626,493,"1,646","1,260","1,421","1,716",597,727,387,"1,168","1,800","1,260","2,377"
2021년07월_계_60~69세,"14,983",731,580,"1,492","1,164","1,229","1,711",596,625,429,"1,036","2,020","1,285","2,085"
2021년07월_계_70~79세,"10,256",469,498,907,906,877,"1,185",441,484,314,754,"1,488",818,"1,115"
2021년07월_계_80~89세,"4,825",191,258,355,449,418,551,217,271,153,327,827,323,485
2021년07월_계_90~99세,675,28,35,60,52,55,62,28,43,19,39,127,49,78
2021년07월_계_100세 이상,34,1,2,5,2,3,3,7,1,2,0,4,1,3
2021년07월_남_총인구수,"50,938","2,296","1,953","5,553","4,660","4,324","5,054","2,129","2,366","1,633","3,725","5,479","3,822","7,944"
2021년07월_남_연령구간인구수,"50,938","2,296","1,953","5,553","4,660","4,324","5,054","2,129","2,366","1,633","3,725","5,479","3,822","7,944"
2021년07월_남_0~9세,"3,767",36,38,458,526,275,307,104,114,41,376,296,283,913
2021년07월_남_10~19세,"3,740",58,107,313,453,328,401,160,197,58,270,480,327,588
2021년07월_남_20~29세,"7,604",449,399,721,565,641,674,459,518,460,513,714,470,"1,021"
2021년07월_남_30~39세,"6,975",338,255,985,678,573,555,260,221,205,502,536,498,"1,369"
2021년07월_남_40~49세,"7,341",306,269,826,721,649,718,288,302,199,576,676,559,"1,252"
2021년07월_남_50~59세,"7,667",360,256,912,618,716,830,291,373,227,560,839,593,"1,092"
2021년07월_남_60~69세,"7,084",396,281,751,527,593,784,278,305,218,470,895,591,995
2021년07월_남_70~79세,"4,543",257,207,432,369,373,521,191,197,146,316,645,372,517
2021년07월_남_80~89세,"2,018",86,133,140,186,161,243,90,123,71,130,354,118,183
2021년07월_남_90~99세,191,10,8,15,16,15,21,5,16,7,12,42,11,13
2021년07월_남_100세 이상,8,0,0,0,1,0,0,3,0,1,0,2,0,1
2021년07월_여_총인구수,"52,247","2,182","1,930","5,089","4,908","4,303","5,354","2,103","2,269","1,441","4,087","6,111","4,040","8,430"
2021년07월_여_연령구간인구수,"52,247","2,182","1,930","5,089","4,908","4,303","5,354","2,103","2,269","1,441","4,087","6,111","4,040","8,430"
2021년07월_여_0~9세,"3,527",29,48,448,475,250,298,67,80,44,350,292,247,899
2021년07월_여_10~19세,"3,561",78,93,294,392,305,395,156,163,81,274,438,301,591
2021년07월_여_20~29세,"7,219",684,394,649,482,529,641,408,419,407,560,627,451,968
2021년07월_여_30~39세,"6,498",276,185,826,683,519,526,189,194,155,548,515,479,"1,403"
2021년07월_여_40~49세,"6,702",178,229,657,760,555,665,255,276,120,519,750,511,"1,227"
2021년07월_여_50~59세,"7,811",266,237,734,642,705,886,306,354,160,608,961,667,"1,285"
2021년07월_여_60~69세,"7,899",335,299,741,637,636,927,318,320,211,566,"1,125",694,"1,090"
2021년07월_여_70~79세,"5,713",212,291,475,537,504,664,250,287,168,438,843,446,598
2021년07월_여_80~89세,"2,807",105,125,215,263,257,308,127,148,82,197,473,205,302
2021년07월_여_90~99세,484,18,27,45,36,40,41,23,27,12,27,85,38,65
2021년07월_여_100세 이상,26,1,2,5,1,3,3,4,1,1,0,2,1,2
