카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2021년08월_계_총인구수,"349,809","34,656","35,093","39,989","22,047","24,735","37,610","26,103","27,145","27,673","28,904","45,854"
2021년08월_계_연령구간인구수,"349,809","34,656","35,093","39,989","22,047","24,735","37,610","26,103","27,145","27,673","28,904","45,854"
2021년08월_계_0~9세,"33,589","3,173","1,511","3,407","2,181","2,321","4,825","2,910","2,554","2,391","3,074","5,242"
2021년08월_계_10~19세,"37,635","3,308","1,465","3,158","2,993","3,405","4,587","2,871","3,154","3,021","4,454","5,219"
2021년08월_계_20~29세,"52,291","4,341","8,319","8,399","2,839","3,119","3,787","4,131","4,333","4,229","3,744","5,050"
2021년08월_계_30~39세,"54,917","4,305","6,904","6,321","3,128","3,096","5,982","5,226","4,451","4,013","4,009","7,482"
2021년08월_계_40~49세,"59,862","5,782","4,378","5,592","4,270","4,636","7,428","4,245","4,260","4,674","5,831","8,766"
2021년08월_계_50~59세,"54,248","6,196","5,464","5,821","3,321","4,090","5,328","3,514","4,459","4,724","4,580","6,751"
2021년08월_계_60~69세,"35,767","4,570","4,282","4,663","1,912","2,295","3,613","2,078","2,604","2,657","2,203","4,890"
2021년08월_계_70~79세,"13,727","1,899","1,792","1,724",901,"1,105","1,407",666,744,"1,191",651,"1,647"
2021년08월_계_80~89세,"6,641",946,831,777,432,576,554,403,474,671,304,673
2021년08월_계_90~99세,"1,102",133,138,127,68,91,95,59,110,98,54,129
2021년08월_계_100세 이상,30,3,9,0,2,1,4,0,2,4,0,5
2021년08월_남_총인구수,"176,672","17,630","18,179","20,782","10,959","12,161","18,468","13,698","13,918","14,152","14,784","21,941"
2021년08월_남_연령구간인구수,"176,672","17,630","18,179","20,782","10,959","12,161","18,468","13,698","13,918","14,152","14,784","21,941"
2021년08월_남_0~9세,"17,271","1,612",795,"1,718","1,139","1,212","2,445","1,517","1,346","1,211","1,578","2,698"
2021년08월_남_10~19세,"19,463","1,757",758,"1,626","1,533","1,750","2,335","1,481","1,606","1,567","2,354","2,696"
2021년08월_남_20~29세,"28,066","2,367","4,221","4,889","1,485","1,600","1,999","2,288","2,400","2,341","1,976","2,500"
2021년08월_남_30~39세,"28,745","2,231","3,980","3,442","1,575","1,532","2,838","2,903","2,465","2,171","2,067","3,541"
2021년08월_남_40~49세,"29,460","2,989","2,356","2,826","2,022","2,189","3,619","2,146","2,033","2,362","2,774","4,144"
2021년08월_남_50~59세,"27,035","3,110","2,713","2,816","1,695","2,043","2,594","1,812","2,179","2,464","2,483","3,126"
2021년08월_남_60~69세,"17,730","2,298","2,210","2,305",921,"1,114","1,727","1,086","1,365","1,334","1,132","2,238"
2021년08월_남_70~79세,"6,414",921,814,846,419,484,684,329,359,478,326,754
2021년08월_남_80~89세,"2,239",316,294,278,156,219,209,124,131,203,82,227
2021년08월_남_90~99세,245,28,37,36,13,18,18,12,34,21,12,16
2021년08월_남_100세 이상,4,1,1,0,1,0,0,0,0,0,0,1
2021년08월_여_총인구수,"173,137","17,026","16,914","19,207","11,088","12,574","19,142","12,405","13,227","13,521","14,120","23,913"
2021년08월_여_연령구간인구수,"173,137","17,026","16,914","19,207","11,088","12,574","19,142","12,405","13,227","13,521","14,120","23,913"
2021년08월_여_0~9세,"16,318","1,561",716,"1,689","1,042","1,109","2,380","1,393","1,208","1,180","1,496","2,544"
2021년08월_여_10~19세,"18,172","1,551",707,"1,532","1,460","1,655","2,252","1,390","1,548","1,454","2,100","2,523"
2021년08월_여_20~29세,"24,225","1,974","4,098","3,510","1,354","1,519","1,788","1,843","1,933","1,888","1,768","2,550"
2021년08월_여_30~39세,"26,172","2,074","2,924","2,879","1,553","1,564","3,144","2,323","1,986","1,842","1,942","3,941"
2021년08월_여_40~49세,"30,402","2,793","2,022","2,766","2,248","2,447","3,809","2,099","2,227","2,312","3,057","4,622"
2021년08월_여_50~59세,"27,213","3,086","2,751","3,005","1,626","2,047","2,734","1,702","2,280","2,260","2,097","3,625"
2021년08월_여_60~69세,"18,037","2,272","2,072","2,358",991,"1,181","1,886",992,"1,239","1,323","1,071","2,652"
2021년08월_여_70~79세,"7,313",978,978,878,482,621,723,337,385,713,325,893
2021년08월_여_80~89세,"4,402",630,537,499,276,357,345,279,343,468,222,446
2021년08월_여_90~99세,857,105,101,91,55,73,77,47,76,77,42,113
2021년08월_여_100세 이상,26,2,8,0,1,1,4,0,2,4,0,4
