,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년09월_계_총인구수,"223,482","14,576","36,018","13,989","11,352","6,459","15,810","14,504","4,371","4,698","2,644","16,952","56,933","14,983","10,193"
2021년09월_계_연령구간인구수,"223,482","14,576","36,018","13,989","11,352","6,459","15,810","14,504","4,371","4,698","2,644","16,952","56,933","14,983","10,193"
2021년09월_계_0~9세,"18,157",908,"3,028","1,048",748,294,"1,555","1,124",126,155,56,876,"6,812",884,543
2021년09월_계_10~19세,"23,409","1,328","4,410","1,092",863,882,"1,828","1,176",244,212,121,"1,495","8,108",896,754
2021년09월_계_20~29세,"31,299","1,516","5,250","1,627","1,335",770,"2,386","2,636",373,403,169,"2,771","7,344","3,211","1,508"
2021년09월_계_30~39세,"30,805","1,455","4,955","1,813","1,250",670,"2,740","2,491",348,351,154,"2,185","8,669","2,436","1,288"
2021년09월_계_40~49세,"34,862","1,971","6,579","1,964","1,611",698,"2,117","2,108",474,485,223,"2,496","10,867","1,838","1,431"
2021년09월_계_50~59세,"35,504","2,419","5,582","2,599","2,144","1,086","2,093","1,930",822,849,427,"2,841","8,496","2,265","1,951"
2021년09월_계_60~69세,"28,218","2,622","3,670","2,244","1,874","1,116","1,702","1,670","1,004","1,083",699,"2,553","4,304","2,036","1,641"
2021년09월_계_70~79세,"13,153","1,394","1,640","1,030",893,580,879,852,558,655,408,"1,149","1,489",902,724
2021년09월_계_80~89세,"7,066",851,813,487,534,316,440,451,374,433,337,519,743,450,318
2021년09월_계_90~99세,976,109,89,82,97,46,67,65,46,65,48,66,101,61,34
2021년09월_계_100세 이상,33,3,2,3,3,1,3,1,2,7,2,1,0,4,1
2021년09월_남_총인구수,"115,995","7,411","18,995","7,342","5,785","3,526","8,658","7,430","2,338","2,487","1,374","8,466","28,398","8,572","5,213"
2021년09월_남_연령구간인구수,"115,995","7,411","18,995","7,342","5,785","3,526","8,658","7,430","2,338","2,487","1,374","8,466","28,398","8,572","5,213"
2021년09월_남_0~9세,"9,379",460,"1,551",532,391,150,814,568,72,75,35,457,"3,521",466,287
2021년09월_남_10~19세,"12,251",706,"2,274",612,453,533,954,605,147,106,64,758,"4,216",466,357
2021년09월_남_20~29세,"17,836",889,"3,160",861,745,444,"1,468","1,339",228,246,99,"1,504","3,840","2,238",775
2021년09월_남_30~39세,"16,593",784,"2,644",984,635,395,"1,572","1,335",214,220,95,"1,241","4,174","1,556",744
2021년09월_남_40~49세,"18,071","1,018","3,365","1,091",847,408,"1,214","1,159",271,294,144,"1,238","5,248","1,014",760
2021년09월_남_50~59세,"18,480","1,264","3,013","1,356","1,085",629,"1,141","1,010",450,482,228,"1,360","4,296","1,176",990
2021년09월_남_60~69세,"14,483","1,301","1,917","1,199",979,579,892,850,534,573,372,"1,177","2,222","1,035",853
2021년09월_남_70~79세,"6,065",651,757,497,407,263,422,395,268,315,193,531,624,420,322
2021년09월_남_80~89세,"2,599",313,296,192,217,115,162,152,143,159,131,181,240,182,116
2021년09월_남_90~99세,230,25,18,17,26,10,17,17,11,15,12,19,17,17,9
2021년09월_남_100세 이상,8,0,0,1,0,0,2,0,0,2,1,0,0,2,0
2021년09월_여_총인구수,"107,487","7,165","17,023","6,647","5,567","2,933","7,152","7,074","2,033","2,211","1,270","8,486","28,535","6,411","4,980"
2021년09월_여_연령구간인구수,"107,487","7,165","17,023","6,647","5,567","2,933","7,152","7,074","2,033","2,211","1,270","8,486","28,535","6,411","4,980"
2021년09월_여_0~9세,"8,778",448,"1,477",516,357,144,741,556,54,80,21,419,"3,291",418,256
2021년09월_여_10~19세,"11,158",622,"2,136",480,410,349,874,571,97,106,57,737,"3,892",430,397
2021년09월_여_20~29세,"13,463",627,"2,090",766,590,326,918,"1,297",145,157,70,"1,267","3,504",973,733
2021년09월_여_30~39세,"14,212",671,"2,311",829,615,275,"1,168","1,156",134,131,59,944,"4,495",880,544
2021년09월_여_40~49세,"16,791",953,"3,214",873,764,290,903,949,203,191,79,"1,258","5,619",824,671
2021년09월_여_50~59세,"17,024","1,155","2,569","1,243","1,059",457,952,920,372,367,199,"1,481","4,200","1,089",961
2021년09월_여_60~69세,"13,735","1,321","1,753","1,045",895,537,810,820,470,510,327,"1,376","2,082","1,001",788
2021년09월_여_70~79세,"7,088",743,883,533,486,317,457,457,290,340,215,618,865,482,402
2021년09월_여_80~89세,"4,467",538,517,295,317,201,278,299,231,274,206,338,503,268,202
2021년09월_여_90~99세,746,84,71,65,71,36,50,48,35,50,36,47,84,44,25
2021년09월_여_100세 이상,25,3,2,2,3,1,1,1,2,5,1,1,0,2,1
