,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년05월_계_총인구수,"257,043","48,779","4,537","14,108","51,196","38,702","29,892","25,061","23,522","8,045","3,723","9,478"
2020년05월_계_연령구간인구수,"257,043","48,779","4,537","14,108","51,196","38,702","29,892","25,061","23,522","8,045","3,723","9,478"
2020년05월_계_0~9세,"29,900","3,501",250,910,"6,236","6,449","5,526","2,680","2,591",427,113,"1,217"
2020년05월_계_10~19세,"23,548","4,738",174,"1,568","5,822","3,373","3,291","1,714","1,696",514,126,532
2020년05월_계_20~29세,"29,179","6,487",473,"1,961","5,882","4,007","2,503","2,741","3,214",705,301,905
2020년05월_계_30~39세,"42,341","5,434",554,"1,459","7,703","8,907","6,636","4,101","4,626",692,274,"1,955"
2020년05월_계_40~49세,"42,697","7,393",550,"2,712","9,499","6,820","5,745","3,548","3,665",982,347,"1,436"
2020년05월_계_50~59세,"40,631","9,878",919,"3,021","7,943","4,933","2,902","4,344","3,239","1,387",853,"1,212"
2020년05월_계_60~69세,"28,295","6,712",854,"1,452","4,924","2,787","2,068","3,516","2,481","1,621",830,"1,050"
2020년05월_계_70~79세,"13,592","3,201",476,649,"2,243","1,057",802,"1,653","1,330",999,507,675
2020년05월_계_80~89세,"6,094","1,263",251,335,842,327,368,694,607,614,342,451
2020년05월_계_90~99세,738,162,35,38,102,40,48,70,70,100,29,44
2020년05월_계_100세 이상,28,10,1,3,0,2,3,0,3,4,1,1
2020년05월_남_총인구수,"130,560","24,346","2,474","7,438","25,371","19,795","15,063","12,693","12,277","4,009","2,006","5,088"
2020년05월_남_연령구간인구수,"130,560","24,346","2,474","7,438","25,371","19,795","15,063","12,693","12,277","4,009","2,006","5,088"
2020년05월_남_0~9세,"15,219","1,814",131,455,"3,120","3,292","2,831","1,391","1,311",211,54,609
2020년05월_남_10~19세,"12,321","2,445",87,822,"3,055","1,785","1,701",917,890,275,64,280
2020년05월_남_20~29세,"16,043","3,573",283,"1,173","3,138","2,111","1,310","1,489","1,838",409,188,531
2020년05월_남_30~39세,"22,089","2,856",339,779,"3,795","4,576","3,288","2,165","2,625",350,162,"1,154"
2020년05월_남_40~49세,"22,265","3,564",347,"1,453","4,743","3,650","3,007","1,863","2,014",523,224,877
2020년05월_남_50~59세,"20,262","4,786",513,"1,640","3,790","2,411","1,429","2,138","1,635",742,492,686
2020년05월_남_60~69세,"14,052","3,360",477,761,"2,331","1,380","1,004","1,735","1,216",791,481,516
2020년05월_남_70~79세,"6,167","1,436",208,252,"1,069",493,371,768,554,482,238,296
2020년05월_남_80~89세,"1,984",464,83,99,309,92,106,213,181,204,99,134
2020년05월_남_90~99세,150,43,6,4,21,5,15,14,12,21,4,5
2020년05월_남_100세 이상,8,5,0,0,0,0,1,0,1,1,0,0
2020년05월_여_총인구수,"126,483","24,433","2,063","6,670","25,825","18,907","14,829","12,368","11,245","4,036","1,717","4,390"
2020년05월_여_연령구간인구수,"126,483","24,433","2,063","6,670","25,825","18,907","14,829","12,368","11,245","4,036","1,717","4,390"
2020년05월_여_0~9세,"14,681","1,687",119,455,"3,116","3,157","2,695","1,289","1,280",216,59,608
2020년05월_여_10~19세,"11,227","2,293",87,746,"2,767","1,588","1,590",797,806,239,62,252
2020년05월_여_20~29세,"13,136","2,914",190,788,"2,744","1,896","1,193","1,252","1,376",296,113,374
2020년05월_여_30~39세,"20,252","2,578",215,680,"3,908","4,331","3,348","1,936","2,001",342,112,801
2020년05월_여_40~49세,"20,432","3,829",203,"1,259","4,756","3,170","2,738","1,685","1,651",459,123,559
2020년05월_여_50~59세,"20,369","5,092",406,"1,381","4,153","2,522","1,473","2,206","1,604",645,361,526
2020년05월_여_60~69세,"14,243","3,352",377,691,"2,593","1,407","1,064","1,781","1,265",830,349,534
2020년05월_여_70~79세,"7,425","1,765",268,397,"1,174",564,431,885,776,517,269,379
2020년05월_여_80~89세,"4,110",799,168,236,533,235,262,481,426,410,243,317
2020년05월_여_90~99세,588,119,29,34,81,35,33,56,58,79,25,39
2020년05월_여_100세 이상,20,5,1,3,0,2,2,0,2,3,1,1
