카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년03월_계_총인구수,"218,565","14,633","36,127","13,798","11,276","5,739","14,585","14,475","4,451","4,713","2,640","17,172","53,819","14,873","10,264"
2021년03월_계_연령구간인구수,"218,565","14,633","36,127","13,798","11,276","5,739","14,585","14,475","4,451","4,713","2,640","17,172","53,819","14,873","10,264"
2021년03월_계_0~9세,"18,515",962,"3,226","1,084",787,312,"1,530","1,189",139,165,58,966,"6,607",916,574
2021년03월_계_10~19세,"21,956","1,362","4,474",989,855,327,"1,108","1,186",275,223,118,"1,530","7,802",923,784
2021년03월_계_20~29세,"30,300","1,531","5,144","1,620","1,323",632,"2,204","2,614",372,395,176,"2,847","6,902","3,056","1,484"
2021년03월_계_30~39세,"30,378","1,488","5,049","1,840","1,257",653,"2,639","2,492",362,368,148,"2,191","8,081","2,441","1,369"
2021년03월_계_40~49세,"34,666","1,994","6,684","2,005","1,612",717,"2,051","2,100",504,494,238,"2,555","10,382","1,873","1,457"
2021년03월_계_50~59세,"35,186","2,487","5,554","2,570","2,171","1,088","2,045","1,962",841,872,430,"2,918","8,006","2,293","1,949"
2021년03월_계_60~69세,"26,686","2,466","3,475","2,131","1,758","1,084","1,641","1,581",979,"1,048",682,"2,482","3,819","1,939","1,601"
2021년03월_계_70~79세,"13,059","1,420","1,625","1,008",895,574,862,870,571,661,397,"1,117","1,416",944,699
2021년03월_계_80~89세,"6,836",822,803,467,524,306,430,411,361,419,345,507,709,424,308
2021년03월_계_90~99세,950,99,91,81,90,45,72,69,45,61,46,57,95,61,38
2021년03월_계_100세 이상,33,2,2,3,4,1,3,1,2,7,2,2,0,3,1
2021년03월_남_총인구수,"113,087","7,440","18,962","7,205","5,753","3,032","7,941","7,372","2,392","2,488","1,360","8,552","26,905","8,439","5,246"
2021년03월_남_연령구간인구수,"113,087","7,440","18,962","7,205","5,753","3,032","7,941","7,372","2,392","2,488","1,360","8,552","26,905","8,439","5,246"
2021년03월_남_0~9세,"9,583",486,"1,642",557,406,158,806,622,80,78,35,505,"3,426",474,308
2021년03월_남_10~19세,"11,387",727,"2,313",522,448,173,559,589,164,117,61,785,"4,086",478,365
2021년03월_남_20~29세,"17,147",917,"3,027",869,742,341,"1,346","1,291",232,236,104,"1,515","3,644","2,113",770
2021년03월_남_30~39세,"16,320",787,"2,685","1,003",640,388,"1,504","1,326",229,227,92,"1,233","3,868","1,544",794
2021년03월_남_40~49세,"17,930","1,026","3,423","1,087",849,420,"1,174","1,148",290,303,157,"1,259","5,012","1,026",756
2021년03월_남_50~59세,"18,329","1,300","2,990","1,357","1,105",605,"1,106","1,038",460,486,226,"1,392","4,084","1,189",991
2021년03월_남_60~69세,"13,641","1,220","1,813","1,129",916,565,859,800,515,551,357,"1,151","1,947",979,839
2021년03월_남_70~79세,"6,009",658,757,477,409,259,409,394,274,319,186,520,592,451,304
2021년03월_남_80~89세,"2,511",295,293,186,212,114,158,146,137,159,131,174,229,168,109
2021년03월_남_90~99세,222,24,19,17,25,9,18,18,11,10,10,18,17,16,10
2021년03월_남_100세 이상,8,0,0,1,1,0,2,0,0,2,1,0,0,1,0
2021년03월_여_총인구수,"105,478","7,193","17,165","6,593","5,523","2,707","6,644","7,103","2,059","2,225","1,280","8,620","26,914","6,434","5,018"
2021년03월_여_연령구간인구수,"105,478","7,193","17,165","6,593","5,523","2,707","6,644","7,103","2,059","2,225","1,280","8,620","26,914","6,434","5,018"
2021년03월_여_0~9세,"8,932",476,"1,584",527,381,154,724,567,59,87,23,461,"3,181",442,266
2021년03월_여_10~19세,"10,569",635,"2,161",467,407,154,549,597,111,106,57,745,"3,716",445,419
2021년03월_여_20~29세,"13,153",614,"2,117",751,581,291,858,"1,323",140,159,72,"1,332","3,258",943,714
2021년03월_여_30~39세,"14,058",701,"2,364",837,617,265,"1,135","1,166",133,141,56,958,"4,213",897,575
2021년03월_여_40~49세,"16,736",968,"3,261",918,763,297,877,952,214,191,81,"1,296","5,370",847,701
2021년03월_여_50~59세,"16,857","1,187","2,564","1,213","1,066",483,939,924,381,386,204,"1,526","3,922","1,104",958
2021년03월_여_60~69세,"13,045","1,246","1,662","1,002",842,519,782,781,464,497,325,"1,331","1,872",960,762
2021년03월_여_70~79세,"7,050",762,868,531,486,315,453,476,297,342,211,597,824,493,395
2021년03월_여_80~89세,"4,325",527,510,281,312,192,272,265,224,260,214,333,480,256,199
2021년03월_여_90~99세,728,75,72,64,65,36,54,51,34,51,36,39,78,45,28
2021년03월_여_100세 이상,25,2,2,2,3,1,1,1,2,5,1,2,0,2,1
