카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020년09월_계_총인구수,"174,922","14,975","7,359","13,054","16,895","28,298","19,941","11,143","15,802","13,768","6,712","10,149","16,826"
2020년09월_계_연령구간인구수,"174,922","14,975","7,359","13,054","16,895","28,298","19,941","11,143","15,802","13,768","6,712","10,149","16,826"
2020년09월_계_0~9세,"11,247",709,328,726,"1,023","2,142","1,051",520,"1,981",794,482,508,983
2020년09월_계_10~19세,"16,890","1,020",536,"1,048","1,763","3,986","1,656",933,"1,424","1,305",620,878,"1,721"
2020년09월_계_20~29세,"24,297","2,357",838,"1,520","2,336","4,168","3,004","1,501","1,930","2,014","1,045","1,312","2,272"
2020년09월_계_30~39세,"19,699","1,630",877,"1,269","1,722","2,791","2,322","1,127","2,752","1,604","1,027",968,"1,610"
2020년09월_계_40~49세,"27,399","2,014","1,131","1,854","2,648","5,234","3,173","1,596","2,570","2,170","1,199","1,360","2,450"
2020년09월_계_50~59세,"33,518","2,880","1,379","2,506","3,235","5,629","3,791","2,182","2,551","2,677","1,187","2,049","3,452"
2020년09월_계_60~69세,"23,972","2,548","1,292","2,272","2,412","2,562","2,906","1,768","1,593","1,727",702,"1,611","2,579"
2020년09월_계_70~79세,"11,984","1,287",675,"1,202","1,204","1,134","1,435","1,018",634,981,297,957,"1,160"
2020년09월_계_80~89세,"5,202",448,256,580,493,575,537,436,328,437,129,455,528
2020년09월_계_90~99세,678,77,44,70,54,74,65,55,38,57,23,51,70
2020년09월_계_100세 이상,36,5,3,7,5,3,1,7,1,2,1,0,1
2020년09월_남_총인구수,"88,954","7,939","3,885","6,622","8,424","14,018","10,328","5,705","8,106","7,280","3,646","4,804","8,197"
2020년09월_남_연령구간인구수,"88,954","7,939","3,885","6,622","8,424","14,018","10,328","5,705","8,106","7,280","3,646","4,804","8,197"
2020년09월_남_0~9세,"5,649",368,172,352,503,"1,084",531,241,"1,011",420,231,241,495
2020년09월_남_10~19세,"8,820",563,294,549,925,"2,037",885,501,745,675,313,443,890
2020년09월_남_20~29세,"13,499","1,300",496,834,"1,291","2,258","1,651",841,"1,048","1,178",619,730,"1,253"
2020년09월_남_30~39세,"10,742",926,477,681,942,"1,381","1,348",644,"1,440",927,621,509,846
2020년09월_남_40~49세,"13,916","1,139",640,984,"1,302","2,341","1,676",844,"1,350","1,182",678,661,"1,119"
2020년09월_남_50~59세,"17,078","1,523",750,"1,287","1,599","2,904","1,930","1,148","1,258","1,430",633,994,"1,622"
2020년09월_남_60~69세,"11,880","1,310",669,"1,140","1,122","1,294","1,426",855,827,845,368,733,"1,291"
2020년09월_남_70~79세,"5,389",623,295,558,536,496,659,469,297,451,137,364,504
2020년09월_남_80~89세,"1,834",174,88,211,187,207,209,156,121,159,42,115,165
2020년09월_남_90~99세,139,11,4,22,16,15,13,6,9,13,4,14,12
2020년09월_남_100세 이상,8,2,0,4,1,1,0,0,0,0,0,0,0
2020년09월_여_총인구수,"85,968","7,036","3,474","6,432","8,471","14,280","9,613","5,438","7,696","6,488","3,066","5,345","8,629"
2020년09월_여_연령구간인구수,"85,968","7,036","3,474","6,432","8,471","14,280","9,613","5,438","7,696","6,488","3,066","5,345","8,629"
2020년09월_여_0~9세,"5,598",341,156,374,520,"1,058",520,279,970,374,251,267,488
2020년09월_여_10~19세,"8,070",457,242,499,838,"1,949",771,432,679,630,307,435,831
2020년09월_여_20~29세,"10,798","1,057",342,686,"1,045","1,910","1,353",660,882,836,426,582,"1,019"
2020년09월_여_30~39세,"8,957",704,400,588,780,"1,410",974,483,"1,312",677,406,459,764
2020년09월_여_40~49세,"13,483",875,491,870,"1,346","2,893","1,497",752,"1,220",988,521,699,"1,331"
2020년09월_여_50~59세,"16,440","1,357",629,"1,219","1,636","2,725","1,861","1,034","1,293","1,247",554,"1,055","1,830"
2020년09월_여_60~69세,"12,092","1,238",623,"1,132","1,290","1,268","1,480",913,766,882,334,878,"1,288"
2020년09월_여_70~79세,"6,595",664,380,644,668,638,776,549,337,530,160,593,656
2020년09월_여_80~89세,"3,368",274,168,369,306,368,328,280,207,278,87,340,363
2020년09월_여_90~99세,539,66,40,48,38,59,52,49,29,44,19,37,58
2020년09월_여_100세 이상,28,3,3,3,4,2,1,7,1,2,1,0,1
