,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년09월_계_총인구수,"28,062","12,777","2,828","2,294","2,587","2,998","4,578"
2021년09월_계_연령구간인구수,"28,062","12,777","2,828","2,294","2,587","2,998","4,578"
2021년09월_계_0~9세,"1,299",842,55,59,72,94,177
2021년09월_계_10~19세,"1,802","1,123",155,91,91,114,228
2021년09월_계_20~29세,"2,362","1,241",214,192,149,146,420
2021년09월_계_30~39세,"2,277","1,262",154,148,192,208,313
2021년09월_계_40~49세,"3,484","1,946",290,220,240,316,472
2021년09월_계_50~59세,"4,976","2,186",522,429,454,491,894
2021년09월_계_60~69세,"5,894","2,173",669,516,688,749,"1,099"
2021년09월_계_70~79세,"3,645","1,241",477,368,425,506,628
2021년09월_계_80~89세,"1,977",643,254,236,238,316,290
2021년09월_계_90~99세,333,115,38,33,36,55,56
2021년09월_계_100세 이상,13,5,0,2,2,3,1
2021년09월_남_총인구수,"14,330","6,512","1,466","1,153","1,331","1,539","2,329"
2021년09월_남_연령구간인구수,"14,330","6,512","1,466","1,153","1,331","1,539","2,329"
2021년09월_남_0~9세,666,428,31,28,37,46,96
2021년09월_남_10~19세,954,605,90,37,51,57,114
2021년09월_남_20~29세,"1,409",753,128,108,91,90,239
2021년09월_남_30~39세,"1,246",657,93,81,115,116,184
2021년09월_남_40~49세,"1,906",992,164,136,145,201,268
2021년09월_남_50~59세,"2,674","1,155",301,238,221,280,479
2021년09월_남_60~69세,"2,969","1,073",331,263,364,391,547
2021년09월_남_70~79세,"1,701",585,212,163,202,247,292
2021년09월_남_80~89세,733,236,111,91,96,106,93
2021년09월_남_90~99세,70,26,5,8,9,5,17
2021년09월_남_100세 이상,2,2,0,0,0,0,0
2021년09월_여_총인구수,"13,732","6,265","1,362","1,141","1,256","1,459","2,249"
2021년09월_여_연령구간인구수,"13,732","6,265","1,362","1,141","1,256","1,459","2,249"
2021년09월_여_0~9세,633,414,24,31,35,48,81
2021년09월_여_10~19세,848,518,65,54,40,57,114
2021년09월_여_20~29세,953,488,86,84,58,56,181
2021년09월_여_30~39세,"1,031",605,61,67,77,92,129
2021년09월_여_40~49세,"1,578",954,126,84,95,115,204
2021년09월_여_50~59세,"2,302","1,031",221,191,233,211,415
2021년09월_여_60~69세,"2,925","1,100",338,253,324,358,552
2021년09월_여_70~79세,"1,944",656,265,205,223,259,336
2021년09월_여_80~89세,"1,244",407,143,145,142,210,197
2021년09월_여_90~99세,263,89,33,25,27,50,39
2021년09월_여_100세 이상,11,3,0,2,2,3,1
