,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년10월_계_총인구수,"404,579","10,894","6,578","15,327","4,594","32,915","29,042","10,909","15,732","7,473","27,401","43,366","18,464","30,956","77,525","26,033","2,132","1,878","4,064","2,213","2,024","35,059"
2021년10월_계_연령구간인구수,"404,579","10,894","6,578","15,327","4,594","32,915","29,042","10,909","15,732","7,473","27,401","43,366","18,464","30,956","77,525","26,033","2,132","1,878","4,064","2,213","2,024","35,059"
2021년10월_계_0~9세,"37,904",643,318,"1,362",295,"3,790","2,334",662,"1,008",681,"1,977","3,649","1,993","2,706","9,525","3,128",54,41,126,48,31,"3,533"
2021년10월_계_10~19세,"51,335","1,087",360,"1,574",392,"3,675","2,153","1,083","1,908",786,"3,385","5,450","2,774","3,778","13,642","3,422",115,68,139,117,91,"5,336"
2021년10월_계_20~29세,"58,727","1,701","1,021","2,115",578,"4,035","4,325","1,835","2,427",865,"5,000","7,887","2,624","4,650","9,701","3,471",158,161,413,166,143,"5,451"
2021년10월_계_30~39세,"53,285","1,167",883,"2,065",533,"5,308","4,608","1,226","1,717",902,"3,437","5,768","2,286","3,882","9,798","3,859",116,145,455,143,129,"4,858"
2021년10월_계_40~49세,"75,184","1,788",820,"2,637",701,"6,106","4,253","1,558","2,680","1,415","4,222","7,829","3,818","5,637","17,814","5,292",182,165,485,203,212,"7,367"
2021년10월_계_50~59세,"65,890","1,847","1,103","2,461",784,"4,669","5,089","2,175","3,040","1,415","5,523","7,789","2,904","5,595","10,473","3,812",385,305,646,368,309,"5,198"
2021년10월_계_60~69세,"35,695","1,368",935,"1,607",645,"3,202","3,671","1,490","1,817",744,"2,534","3,107","1,194","2,645","4,148","2,073",473,419,821,473,395,"1,934"
2021년10월_계_70~79세,"17,228",896,777,"1,018",459,"1,386","1,613",578,779,408,833,"1,178",613,"1,378","1,738",659,326,354,572,361,353,949
2021년10월_계_80~89세,"8,091",347,313,430,175,651,859,259,318,228,410,623,224,614,586,266,264,191,343,291,313,386
2021년10월_계_90~99세,"1,187",47,42,56,29,87,137,43,36,29,78,83,33,67,97,49,58,26,61,41,46,42
2021년10월_계_100세 이상,53,3,6,2,3,6,0,0,2,0,2,3,1,4,3,2,1,3,3,2,2,5
2021년10월_남_총인구수,"203,871","5,531","3,286","7,741","2,330","16,827","14,750","5,529","7,933","3,950","13,605","21,862","9,371","15,154","38,219","13,408","1,099",962,"2,271","1,150","1,008","17,885"
2021년10월_남_연령구간인구수,"203,871","5,531","3,286","7,741","2,330","16,827","14,750","5,529","7,933","3,950","13,605","21,862","9,371","15,154","38,219","13,408","1,099",962,"2,271","1,150","1,008","17,885"
2021년10월_남_0~9세,"19,436",340,167,716,156,"1,962","1,212",345,509,350,"1,022","1,843","1,036","1,378","4,865","1,596",21,22,65,19,16,"1,796"
2021년10월_남_10~19세,"26,370",556,184,830,206,"1,859","1,107",577,992,413,"1,706","2,835","1,410","1,974","6,798","1,794",61,42,79,64,50,"2,833"
2021년10월_남_20~29세,"31,241",964,541,"1,166",323,"2,236","2,267",995,"1,270",497,"2,636","4,189","1,402","2,368","5,070","1,872",92,87,256,107,76,"2,827"
2021년10월_남_30~39세,"27,174",615,500,"1,059",298,"2,712","2,508",665,894,474,"1,781","3,028","1,116","1,931","4,516","1,969",69,95,279,92,66,"2,507"
2021년10월_남_40~49세,"37,360",921,448,"1,363",363,"3,294","2,232",770,"1,316",761,"1,926","3,705","1,883","2,731","8,527","2,738",115,104,342,120,132,"3,569"
2021년10월_남_50~59세,"34,136",979,563,"1,247",398,"2,360","2,594","1,066","1,561",796,"2,623","3,947","1,606","2,779","5,582","1,960",232,176,418,233,185,"2,831"
2021년10월_남_60~69세,"18,002",652,422,763,307,"1,576","1,895",751,909,405,"1,387","1,633",574,"1,270","1,958","1,095",265,216,448,263,231,982
2021년10월_남_70~79세,"7,483",363,337,439,214,616,711,276,361,184,366,484,270,514,731,305,150,165,273,175,137,412
2021년10월_남_80~89세,"2,446",127,112,146,59,200,210,75,114,63,146,182,66,188,155,72,88,49,99,71,104,120
2021년10월_남_90~99세,216,13,12,12,6,11,14,9,6,7,11,16,8,21,16,7,6,5,12,6,11,7
2021년10월_남_100세 이상,7,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
2021년10월_여_총인구수,"200,708","5,363","3,292","7,586","2,264","16,088","14,292","5,380","7,799","3,523","13,796","21,504","9,093","15,802","39,306","12,625","1,033",916,"1,793","1,063","1,016","17,174"
2021년10월_여_연령구간인구수,"200,708","5,363","3,292","7,586","2,264","16,088","14,292","5,380","7,799","3,523","13,796","21,504","9,093","15,802","39,306","12,625","1,033",916,"1,793","1,063","1,016","17,174"
2021년10월_여_0~9세,"18,468",303,151,646,139,"1,828","1,122",317,499,331,955,"1,806",957,"1,328","4,660","1,532",33,19,61,29,15,"1,737"
2021년10월_여_10~19세,"24,965",531,176,744,186,"1,816","1,046",506,916,373,"1,679","2,615","1,364","1,804","6,844","1,628",54,26,60,53,41,"2,503"
2021년10월_여_20~29세,"27,486",737,480,949,255,"1,799","2,058",840,"1,157",368,"2,364","3,698","1,222","2,282","4,631","1,599",66,74,157,59,67,"2,624"
2021년10월_여_30~39세,"26,111",552,383,"1,006",235,"2,596","2,100",561,823,428,"1,656","2,740","1,170","1,951","5,282","1,890",47,50,176,51,63,"2,351"
