카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년04월_계_총인구수,"164,701","11,977","29,501","38,376","21,312","27,303","36,232"
2020년04월_계_연령구간인구수,"164,701","11,977","29,501","38,376","21,312","27,303","36,232"
2020년04월_계_0~9세,"13,545",807,"2,277","3,015","1,604","2,549","3,293"
2020년04월_계_10~19세,"15,092",977,"2,532","4,011","2,135","2,296","3,141"
2020년04월_계_20~29세,"23,268","1,520","4,171","5,115","3,351","4,047","5,064"
2020년04월_계_30~39세,"22,905","1,603","4,298","5,023","2,517","4,069","5,395"
2020년04월_계_40~49세,"25,318","1,702","4,429","6,181","3,274","4,095","5,637"
2020년04월_계_50~59세,"29,980","2,065","5,098","6,832","4,297","4,985","6,703"
2020년04월_계_60~69세,"20,637","1,946","3,548","5,098","2,489","3,209","4,347"
2020년04월_계_70~79세,"9,012",906,"1,989","2,122","1,003","1,275","1,717"
2020년04월_계_80~89세,"4,181",373,"1,001",826,540,661,780
2020년04월_계_90~99세,711,74,146,147,88,111,145
2020년04월_계_100세 이상,52,4,12,6,14,6,10
2020년04월_남_총인구수,"82,049","6,068","15,025","19,116","10,427","13,494","17,919"
2020년04월_남_연령구간인구수,"82,049","6,068","15,025","19,116","10,427","13,494","17,919"
2020년04월_남_0~9세,"7,023",436,"1,202","1,528",828,"1,301","1,728"
2020년04월_남_10~19세,"7,796",496,"1,297","2,087","1,144","1,213","1,559"
2020년04월_남_20~29세,"12,314",838,"2,272","2,703","1,705","2,119","2,677"
2020년04월_남_30~39세,"11,763",859,"2,354","2,541","1,232","2,030","2,747"
2020년04월_남_40~49세,"12,460",874,"2,307","2,982","1,537","2,018","2,742"
2020년04월_남_50~59세,"14,514",983,"2,509","3,357","2,049","2,417","3,199"
2020년04월_남_60~69세,"10,373",988,"1,789","2,568","1,277","1,606","2,145"
2020년04월_남_70~79세,"4,214",454,891,"1,028",450,551,840
2020년04월_남_80~89세,"1,414",125,361,292,182,213,241
2020년04월_남_90~99세,162,13,39,28,21,24,37
2020년04월_남_100세 이상,16,2,4,2,2,2,4
2020년04월_여_총인구수,"82,652","5,909","14,476","19,260","10,885","13,809","18,313"
2020년04월_여_연령구간인구수,"82,652","5,909","14,476","19,260","10,885","13,809","18,313"
2020년04월_여_0~9세,"6,522",371,"1,075","1,487",776,"1,248","1,565"
2020년04월_여_10~19세,"7,296",481,"1,235","1,924",991,"1,083","1,582"
2020년04월_여_20~29세,"10,954",682,"1,899","2,412","1,646","1,928","2,387"
2020년04월_여_30~39세,"11,142",744,"1,944","2,482","1,285","2,039","2,648"
2020년04월_여_40~49세,"12,858",828,"2,122","3,199","1,737","2,077","2,895"
2020년04월_여_50~59세,"15,466","1,082","2,589","3,475","2,248","2,568","3,504"
2020년04월_여_60~69세,"10,264",958,"1,759","2,530","1,212","1,603","2,202"
2020년04월_여_70~79세,"4,798",452,"1,098","1,094",553,724,877
2020년04월_여_80~89세,"2,767",248,640,534,358,448,539
2020년04월_여_90~99세,549,61,107,119,67,87,108
2020년04월_여_100세 이상,36,2,8,4,12,4,6
