,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년08월_계_총인구수,"1,454,154","99,159","298,644","215,701","433,279","407,371"
2020년08월_계_연령구간인구수,"1,454,154","99,159","298,644","215,701","433,279","407,371"
2020년08월_계_0~9세,"122,309","6,602","22,444","17,645","34,380","41,238"
2020년08월_계_10~19세,"159,172","7,179","32,260","22,988","43,616","53,129"
2020년08월_계_20~29세,"209,096","14,228","45,346","28,162","62,944","58,416"
2020년08월_계_30~39세,"188,454","12,457","37,587","26,107","56,557","55,746"
2020년08월_계_40~49세,"243,152","13,596","49,579","34,243","68,297","77,437"
2020년08월_계_50~59세,"233,774","15,389","49,537","33,251","72,344","63,253"
2020년08월_계_60~69세,"160,460","14,292","33,740","27,721","52,363","32,344"
2020년08월_계_70~79세,"92,458","10,134","19,001","17,238","29,104","16,981"
2020년08월_계_80~89세,"39,133","4,581","7,899","7,153","11,874","7,626"
2020년08월_계_90~99세,"5,723",631,"1,176","1,096","1,682","1,138"
2020년08월_계_100세 이상,423,70,75,97,118,63
2020년08월_남_총인구수,"719,601","49,005","146,398","103,846","215,168","205,184"
2020년08월_남_연령구간인구수,"719,601","49,005","146,398","103,846","215,168","205,184"
2020년08월_남_0~9세,"62,839","3,442","11,655","9,017","17,524","21,201"
2020년08월_남_10~19세,"82,619","3,730","16,932","11,557","23,045","27,355"
2020년08월_남_20~29세,"109,164","7,295","23,273","14,498","33,156","30,942"
2020년08월_남_30~39세,"96,131","6,499","19,006","12,948","29,393","28,285"
2020년08월_남_40~49세,"120,628","7,109","23,861","16,853","34,207","38,598"
2020년08월_남_50~59세,"115,907","7,612","24,301","15,721","35,365","32,908"
2020년08월_남_60~69세,"76,411","6,742","15,856","12,686","24,954","16,173"
2020년08월_남_70~79세,"40,917","4,468","8,444","7,711","13,022","7,272"
2020년08월_남_80~89세,"13,712","1,922","2,805","2,596","4,151","2,238"
2020년08월_남_90~99세,"1,220",171,256,247,339,207
2020년08월_남_100세 이상,53,15,9,12,12,5
2020년08월_여_총인구수,"734,553","50,154","152,246","111,855","218,111","202,187"
2020년08월_여_연령구간인구수,"734,553","50,154","152,246","111,855","218,111","202,187"
2020년08월_여_0~9세,"59,470","3,160","10,789","8,628","16,856","20,037"
2020년08월_여_10~19세,"76,553","3,449","15,328","11,431","20,571","25,774"
2020년08월_여_20~29세,"99,932","6,933","22,073","13,664","29,788","27,474"
2020년08월_여_30~39세,"92,323","5,958","18,581","13,159","27,164","27,461"
2020년08월_여_40~49세,"122,524","6,487","25,718","17,390","34,090","38,839"
2020년08월_여_50~59세,"117,867","7,777","25,236","17,530","36,979","30,345"
2020년08월_여_60~69세,"84,049","7,550","17,884","15,035","27,409","16,171"
2020년08월_여_70~79세,"51,541","5,666","10,557","9,527","16,082","9,709"
2020년08월_여_80~89세,"25,421","2,659","5,094","4,557","7,723","5,388"
2020년08월_여_90~99세,"4,503",460,920,849,"1,343",931
2020년08월_여_100세 이상,370,55,66,85,106,58
