,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년04월_계_총인구수,"219,224","14,604","36,170","14,007","11,320","5,776","14,738","14,460","4,466","4,675","2,650","17,161","53,994","14,922","10,281"
2021년04월_계_연령구간인구수,"219,224","14,604","36,170","14,007","11,320","5,776","14,738","14,460","4,466","4,675","2,650","17,161","53,994","14,922","10,281"
2021년04월_계_0~9세,"18,422",953,"3,219","1,076",781,314,"1,523","1,184",142,153,55,959,"6,574",908,581
2021년04월_계_10~19세,"22,216","1,347","4,460","1,157",856,337,"1,213","1,175",271,222,121,"1,534","7,821",926,776
2021년04월_계_20~29세,"30,399","1,538","5,141","1,642","1,336",631,"2,210","2,601",377,388,178,"2,827","6,954","3,088","1,488"
2021년04월_계_30~39세,"30,408","1,476","5,076","1,850","1,258",670,"2,650","2,494",364,352,148,"2,193","8,049","2,463","1,365"
2021년04월_계_40~49세,"34,733","1,990","6,695","1,996","1,615",717,"2,062","2,097",499,492,239,"2,561","10,435","1,875","1,460"
2021년04월_계_50~59세,"35,129","2,452","5,528","2,563","2,174","1,087","2,059","1,959",847,871,430,"2,886","8,048","2,282","1,943"
2021년04월_계_60~69세,"26,978","2,500","3,528","2,139","1,794","1,091","1,648","1,605",984,"1,049",695,"2,500","3,882","1,954","1,609"
2021년04월_계_70~79세,"13,059","1,415","1,632","1,026",881,574,867,862,567,657,393,"1,126","1,418",930,711
2021년04월_계_80~89세,"6,902",833,799,474,527,309,435,416,368,424,343,515,715,434,310
2021년04월_계_90~99세,944,97,89,81,94,45,68,67,45,61,46,58,97,59,37
2021년04월_계_100세 이상,34,3,3,3,4,1,3,0,2,6,2,2,1,3,1
2021년04월_남_총인구수,"113,538","7,436","18,996","7,342","5,777","3,060","8,036","7,374","2,398","2,466","1,363","8,552","27,002","8,480","5,256"
2021년04월_남_연령구간인구수,"113,538","7,436","18,996","7,342","5,777","3,060","8,036","7,374","2,398","2,466","1,363","8,552","27,002","8,480","5,256"
2021년04월_남_0~9세,"9,535",479,"1,639",553,405,160,798,615,82,70,34,503,"3,413",471,313
2021년04월_남_10~19세,"11,566",721,"2,302",644,451,183,626,584,161,117,63,782,"4,092",479,361
2021년04월_남_20~29세,"17,227",918,"3,033",878,740,342,"1,358","1,296",236,231,103,"1,514","3,676","2,133",769
2021년04월_남_30~39세,"16,365",788,"2,701","1,012",645,399,"1,509","1,330",227,219,91,"1,240","3,849","1,567",788
2021년04월_남_40~49세,"17,942","1,021","3,426","1,084",849,415,"1,175","1,144",286,302,157,"1,258","5,040","1,023",762
2021년04월_남_50~59세,"18,308","1,285","2,983","1,342","1,106",609,"1,117","1,039",462,486,227,"1,370","4,104","1,184",994
2021년04월_남_60~69세,"13,808","1,241","1,844","1,138",936,566,861,812,520,550,363,"1,162","1,983",990,842
2021년04월_남_70~79세,"6,021",659,759,488,404,262,410,394,274,316,183,526,596,442,308
2021년04월_남_80~89세,"2,536",301,290,185,214,115,163,142,139,163,131,179,231,174,109
2021년04월_남_90~99세,222,23,19,17,26,9,17,18,11,10,10,18,18,16,10
2021년04월_남_100세 이상,8,0,0,1,1,0,2,0,0,2,1,0,0,1,0
2021년04월_여_총인구수,"105,686","7,168","17,174","6,665","5,543","2,716","6,702","7,086","2,068","2,209","1,287","8,609","26,992","6,442","5,025"
2021년04월_여_연령구간인구수,"105,686","7,168","17,174","6,665","5,543","2,716","6,702","7,086","2,068","2,209","1,287","8,609","26,992","6,442","5,025"
2021년04월_여_0~9세,"8,887",474,"1,580",523,376,154,725,569,60,83,21,456,"3,161",437,268
2021년04월_여_10~19세,"10,650",626,"2,158",513,405,154,587,591,110,105,58,752,"3,729",447,415
2021년04월_여_20~29세,"13,172",620,"2,108",764,596,289,852,"1,305",141,157,75,"1,313","3,278",955,719
2021년04월_여_30~39세,"14,043",688,"2,375",838,613,271,"1,141","1,164",137,133,57,953,"4,200",896,577
2021년04월_여_40~49세,"16,791",969,"3,269",912,766,302,887,953,213,190,82,"1,303","5,395",852,698
2021년04월_여_50~59세,"16,821","1,167","2,545","1,221","1,068",478,942,920,385,385,203,"1,516","3,944","1,098",949
2021년04월_여_60~69세,"13,170","1,259","1,684","1,001",858,525,787,793,464,499,332,"1,338","1,899",964,767
2021년04월_여_70~79세,"7,038",756,873,538,477,312,457,468,293,341,210,600,822,488,403
2021년04월_여_80~89세,"4,366",532,509,289,313,194,272,274,229,261,212,336,484,260,201
2021년04월_여_90~99세,722,74,70,64,68,36,51,49,34,51,36,40,79,43,27
2021년04월_여_100세 이상,26,3,3,2,3,1,1,0,2,4,1,2,1,2,1
