카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년09월_계_총인구수,"232,077","15,769","14,465","12,666","13,860","4,679","15,723","5,466","6,702","9,565","10,701","13,411","25,882","6,642","13,775","22,541","12,762","27,468"
2021년09월_계_연령구간인구수,"232,077","15,769","14,465","12,666","13,860","4,679","15,723","5,466","6,702","9,565","10,701","13,411","25,882","6,642","13,775","22,541","12,762","27,468"
2021년09월_계_0~9세,"14,273",878,"1,404",638,838,169,686,156,294,503,644,"1,108","1,856",333,886,"1,859",603,"1,418"
2021년09월_계_10~19세,"21,228",996,"2,439","1,126","1,108",285,"1,097",263,425,727,770,"1,590","3,004",328,949,"2,784","1,050","2,287"
2021년09월_계_20~29세,"30,367","2,738","1,571","1,481","2,404",499,"1,763","1,026",792,"1,782","1,555","1,507","3,016",878,"1,793","2,851","1,535","3,176"
2021년09월_계_30~39세,"25,306","2,333","1,433","1,275","1,930",426,"1,573",632,661,"1,279","1,372","1,480","2,263",870,"1,563","2,360","1,246","2,610"
2021년09월_계_40~49세,"35,602","2,439","3,212","1,933","2,141",577,"2,006",592,842,"1,351","1,459","2,387","4,246",944,"1,904","3,856","1,803","3,910"
2021년09월_계_50~59세,"39,039","2,510","2,105","2,250","1,986",828,"2,778",867,"1,229","1,463","1,776","2,227","4,495","1,137","2,213","3,586","2,381","5,208"
2021년09월_계_60~69세,"34,705","2,190","1,251","2,076","1,822",909,"3,115",945,"1,257","1,187","1,502","1,591","3,581","1,215","2,294","2,665","2,131","4,974"
2021년09월_계_70~79세,"20,576","1,122",686,"1,208","1,062",628,"1,866",601,753,802,965,"1,032","2,235",625,"1,436","1,656","1,232","2,667"
2021년09월_계_80~89세,"9,602",475,318,590,468,315,739,343,380,411,561,441,"1,039",280,655,820,688,"1,079"
2021년09월_계_90~99세,"1,328",84,41,86,98,42,93,39,68,57,96,48,140,31,80,102,89,134
2021년09월_계_100세 이상,51,4,5,3,3,1,7,2,1,3,1,0,7,1,2,2,4,5
2021년09월_남_총인구수,"114,361","8,109","6,923","6,177","6,855","2,441","7,886","2,658","3,399","4,630","5,045","6,497","12,435","3,490","6,802","10,868","6,189","13,957"
2021년09월_남_연령구간인구수,"114,361","8,109","6,923","6,177","6,855","2,441","7,886","2,658","3,399","4,630","5,045","6,497","12,435","3,490","6,802","10,868","6,189","13,957"
2021년09월_남_0~9세,"7,286",416,712,314,459,93,355,88,167,244,319,588,944,182,438,968,303,696
2021년09월_남_10~19세,"10,981",495,"1,212",592,600,157,555,156,238,331,380,770,"1,554",192,512,"1,450",562,"1,225"
2021년09월_남_20~29세,"15,464","1,285",781,815,"1,104",277,939,439,405,849,755,796,"1,596",481,922,"1,405",838,"1,777"
2021년09월_남_30~39세,"13,044","1,262",644,670,979,239,890,356,383,671,701,719,"1,061",482,808,"1,110",692,"1,377"
2021년09월_남_40~49세,"18,010","1,370","1,490",990,"1,134",337,"1,096",326,455,698,696,"1,131","1,975",551,"1,001","1,794",886,"2,080"
2021년09월_남_50~59세,"19,781","1,424","1,112","1,094","1,032",477,"1,392",444,635,767,845,"1,127","2,196",591,"1,082","1,779","1,144","2,640"
2021년09월_남_60~69세,"16,564","1,141",552,949,873,460,"1,508",441,603,564,704,753,"1,622",621,"1,071","1,265",990,"2,447"
2021년09월_남_70~79세,"9,234",519,287,528,462,277,846,256,344,343,414,446,"1,036",278,685,728,503,"1,282"
2021년09월_남_80~89세,"3,669",176,122,197,182,119,284,141,153,150,208,158,420,106,260,340,252,401
2021년09월_남_90~99세,317,19,10,27,29,5,20,11,16,12,22,9,31,6,22,28,19,31
2021년09월_남_100세 이상,11,2,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1
2021년09월_여_총인구수,"117,716","7,660","7,542","6,489","7,005","2,238","7,837","2,808","3,303","4,935","5,656","6,914","13,447","3,152","6,973","11,673","6,573","13,511"
2021년09월_여_연령구간인구수,"117,716","7,660","7,542","6,489","7,005","2,238","7,837","2,808","3,303","4,935","5,656","6,914","13,447","3,152","6,973","11,673","6,573","13,511"
2021년09월_여_0~9세,"6,987",462,692,324,379,76,331,68,127,259,325,520,912,151,448,891,300,722
2021년09월_여_10~19세,"10,247",501,"1,227",534,508,128,542,107,187,396,390,820,"1,450",136,437,"1,334",488,"1,062"
2021년09월_여_20~29세,"14,903","1,453",790,666,"1,300",222,824,587,387,933,800,711,"1,420",397,871,"1,446",697,"1,399"
2021년09월_여_30~39세,"12,262","1,071",789,605,951,187,683,276,278,608,671,761,"1,202",388,755,"1,250",554,"1,233"
2021년09월_여_40~49세,"17,592","1,069","1,722",943,"1,007",240,910,266,387,653,763,"1,256","2,271",393,903,"2,062",917,"1,830"
2021년09월_여_50~59세,"19,258","1,086",993,"1,156",954,351,"1,386",423,594,696,931,"1,100","2,299",546,"1,131","1,807","1,237","2,568"
2021년09월_여_60~69세,"18,141","1,049",699,"1,127",949,449,"1,607",504,654,623,798,838,"1,959",594,"1,223","1,400","1,141","2,527"
2021년09월_여_70~79세,"11,342",603,399,680,600,351,"1,020",345,409,459,551,586,"1,199",347,751,928,729,"1,385"
2021년09월_여_80~89세,"5,933",299,196,393,286,196,455,202,227,261,353,283,619,174,395,480,436,678
2021년09월_여_90~99세,"1,011",65,31,59,69,37,73,28,52,45,74,39,109,25,58,74,70,103
2021년09월_여_100세 이상,40,2,4,2,2,1,6,2,1,2,0,0,7,1,1,1,4,4
