,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년06월_계_총인구수,"455,520","31,413","31,601","36,434","35,592","20,847","44,879","44,195","34,385","34,196","46,170","27,680","26,370","19,330","22,428"
2020년06월_계_연령구간인구수,"455,520","31,413","31,601","36,434","35,592","20,847","44,879","44,195","34,385","34,196","46,170","27,680","26,370","19,330","22,428"
2020년06월_계_0~9세,"34,754","1,173","1,862","2,455","2,604","1,598","2,969","3,076","2,711","2,961","6,882","2,061","1,570","1,158","1,674"
2020년06월_계_10~19세,"42,919","1,660","2,233","2,877","3,519","2,107","4,291","5,015","3,227","4,410","5,058","2,623","2,061","1,666","2,172"
2020년06월_계_20~29세,"63,363","5,957","5,232","4,714","4,593","2,415","6,364","6,477","4,755","4,637","5,105","3,842","3,665","2,501","3,106"
2020년06월_계_30~39세,"59,777","4,709","4,720","4,757","4,223","2,422","5,427","4,657","4,593","3,906","8,642","3,279","3,358","2,296","2,788"
2020년06월_계_40~49세,"74,609","4,454","4,956","5,896","5,762","3,506","7,124","7,219","5,563","6,579","8,763","4,394","3,896","2,897","3,600"
2020년06월_계_50~59세,"79,341","5,619","5,591","5,820","6,022","3,448","8,635","8,363","6,134","5,848","5,890","5,184","5,171","3,633","3,983"
2020년06월_계_60~69세,"54,529","4,352","3,870","5,096","4,424","2,771","5,676","5,234","4,156","2,920","3,473","3,385","3,618","2,803","2,751"
2020년06월_계_70~79세,"30,732","2,270","2,156","3,429","3,010","1,710","2,943","2,692","2,007","1,891","1,624","1,870","2,083","1,530","1,517"
2020년06월_계_80~89세,"13,481","1,018",860,"1,237","1,286",745,"1,284","1,267","1,071",908,640,904,826,714,721
2020년06월_계_90~99세,"1,804",142,110,135,140,115,155,187,157,132,92,120,109,96,114
2020년06월_계_100세 이상,211,59,11,18,9,10,11,8,11,4,1,18,13,36,2
2020년06월_남_총인구수,"224,416","16,033","15,641","17,824","17,273","9,949","22,155","21,390","17,051","16,886","22,480","13,588","13,169","9,804","11,173"
2020년06월_남_연령구간인구수,"224,416","16,033","15,641","17,824","17,273","9,949","22,155","21,390","17,051","16,886","22,480","13,588","13,169","9,804","11,173"
2020년06월_남_0~9세,"17,912",624,970,"1,281","1,333",792,"1,599","1,583","1,358","1,526","3,512","1,029",807,603,895
2020년06월_남_10~19세,"22,091",829,"1,196","1,465","1,780","1,074","2,167","2,616","1,682","2,237","2,536","1,380","1,069",894,"1,166"
2020년06월_남_20~29세,"32,317","2,838","2,558","2,304","2,337","1,222","3,349","3,299","2,508","2,445","2,549","2,031","1,923","1,347","1,607"
2020년06월_남_30~39세,"30,471","2,612","2,461","2,436","2,100","1,202","2,780","2,332","2,416","1,910","4,108","1,627","1,789","1,280","1,418"
2020년06월_남_40~49세,"37,335","2,483","2,528","3,062","2,816","1,737","3,452","3,438","2,726","3,169","4,413","2,149","1,994","1,539","1,829"
2020년06월_남_50~59세,"39,080","3,009","2,768","2,793","2,935","1,611","4,210","3,959","3,043","3,029","2,825","2,517","2,562","1,858","1,961"
2020년06월_남_60~69세,"26,312","2,216","1,835","2,343","2,079","1,316","2,796","2,520","2,042","1,405","1,601","1,691","1,802","1,336","1,330"
2020년06월_남_70~79세,"13,475",993,948,"1,565","1,313",727,"1,316","1,171",901,782,724,813,900,651,671
2020년06월_남_80~89세,"4,942",388,339,532,531,250,448,431,343,351,190,305,299,271,264
2020년06월_남_90~99세,435,29,34,39,48,17,35,38,30,30,22,36,23,22,32
2020년06월_남_100세 이상,46,12,4,4,1,1,3,3,2,2,0,10,1,3,0
2020년06월_여_총인구수,"231,104","15,380","15,960","18,610","18,319","10,898","22,724","22,805","17,334","17,310","23,690","14,092","13,201","9,526","11,255"
2020년06월_여_연령구간인구수,"231,104","15,380","15,960","18,610","18,319","10,898","22,724","22,805","17,334","17,310","23,690","14,092","13,201","9,526","11,255"
2020년06월_여_0~9세,"16,842",549,892,"1,174","1,271",806,"1,370","1,493","1,353","1,435","3,370","1,032",763,555,779
2020년06월_여_10~19세,"20,828",831,"1,037","1,412","1,739","1,033","2,124","2,399","1,545","2,173","2,522","1,243",992,772,"1,006"
2020년06월_여_20~29세,"31,046","3,119","2,674","2,410","2,256","1,193","3,015","3,178","2,247","2,192","2,556","1,811","1,742","1,154","1,499"
2020년06월_여_30~39세,"29,306","2,097","2,259","2,321","2,123","1,220","2,647","2,325","2,177","1,996","4,534","1,652","1,569","1,016","1,370"
2020년06월_여_40~49세,"37,274","1,971","2,428","2,834","2,946","1,769","3,672","3,781","2,837","3,410","4,350","2,245","1,902","1,358","1,771"
2020년06월_여_50~59세,"40,261","2,610","2,823","3,027","3,087","1,837","4,425","4,404","3,091","2,819","3,065","2,667","2,609","1,775","2,022"
2020년06월_여_60~69세,"28,217","2,136","2,035","2,753","2,345","1,455","2,880","2,714","2,114","1,515","1,872","1,694","1,816","1,467","1,421"
2020년06월_여_70~79세,"17,257","1,277","1,208","1,864","1,697",983,"1,627","1,521","1,106","1,109",900,"1,057","1,183",879,846
2020년06월_여_80~89세,"8,539",630,521,705,755,495,836,836,728,557,450,599,527,443,457
2020년06월_여_90~99세,"1,369",113,76,96,92,98,120,149,127,102,70,84,86,74,82
2020년06월_여_100세 이상,165,47,7,14,8,9,8,5,9,2,1,8,12,33,2
