,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년09월_계_총인구수,"294,895",169,"3,241","9,813","13,630","14,176","10,555","21,301","10,976","5,908","34,777","13,163","26,056","13,879","20,138","12,378","31,778","50,831","2,126"
2021년09월_계_연령구간인구수,"294,895",169,"3,241","9,813","13,630","14,176","10,555","21,301","10,976","5,908","34,777","13,163","26,056","13,879","20,138","12,378","31,778","50,831","2,126"
2021년09월_계_0~9세,"22,258",0,110,337,635,815,769,"1,584",870,192,"3,029",988,"2,155",935,"1,394",922,"2,860","4,605",58
2021년09월_계_10~19세,"29,821",4,226,619,915,"1,218","1,117","1,823","1,365",384,"4,364","1,158","3,178","1,006","1,796","1,355","4,261","4,949",83
2021년09월_계_20~29세,"37,204",7,374,"1,244","1,751","1,775","1,250","2,722","1,475",863,"4,344","1,651","3,180","1,744","2,409","1,644","3,673","6,904",194
2021년09월_계_30~39세,"40,452",18,365,"1,186","1,800","1,706","1,204","3,184","1,471",756,"4,049","2,285","2,956","2,501","2,790","1,984","3,848","8,149",200
2021년09월_계_40~49세,"50,210",25,450,"1,335","1,907","2,260","1,766","3,312","1,977",804,"6,455","2,239","4,852","2,318","3,316","2,249","6,051","8,682",212
2021년09월_계_50~59세,"49,107",50,568,"1,862","2,369","2,413","1,779","3,494","1,832","1,266","5,806","2,158","4,450","2,181","3,321","2,059","4,930","8,153",416
2021년09월_계_60~69세,"39,266",45,639,"1,829","2,496","2,299","1,580","3,159","1,223",969,"4,229","1,636","3,287","1,757","2,649","1,307","3,803","5,828",531
2021년09월_계_70~79세,"17,690",15,358,970,"1,258","1,146",762,"1,404",517,435,"1,638",767,"1,331",825,"1,453",547,"1,593","2,434",237
2021년09월_계_80~89세,"7,737",2,138,387,443,482,298,534,218,205,751,249,570,524,875,274,644,976,167
2021년09월_계_90~99세,"1,111",3,13,40,55,61,28,84,27,34,109,29,92,86,129,36,112,146,27
2021년09월_계_100세 이상,39,0,0,4,1,1,2,1,1,0,3,3,5,2,6,1,3,5,1
2021년09월_남_총인구수,"145,398",93,"1,660","4,763","6,686","6,994","5,205","10,525","5,433","3,111","17,062","6,599","12,974","6,537","9,516","6,009","15,485","25,543","1,203"
2021년09월_남_연령구간인구수,"145,398",93,"1,660","4,763","6,686","6,994","5,205","10,525","5,433","3,111","17,062","6,599","12,974","6,537","9,516","6,009","15,485","25,543","1,203"
2021년09월_남_0~9세,"11,328",0,64,168,309,425,369,772,442,92,"1,510",519,"1,104",460,749,485,"1,460","2,370",30
2021년09월_남_10~19세,"15,387",3,136,330,461,630,584,915,716,192,"2,277",598,"1,633",515,924,691,"2,189","2,540",53
2021년09월_남_20~29세,"19,371",4,205,648,899,973,649,"1,457",777,450,"2,251",886,"1,681",867,"1,203",835,"1,878","3,598",110
2021년09월_남_30~39세,"20,563",11,214,673,988,870,603,"1,631",741,438,"1,924","1,153","1,476","1,319","1,400","1,035","1,826","4,143",118
2021년09월_남_40~49세,"24,759",14,244,680,965,"1,150",867,"1,682",919,428,"3,048","1,117","2,357","1,143","1,624","1,044","2,896","4,444",137
2021년09월_남_50~59세,"24,491",32,290,890,"1,168","1,166",890,"1,692",908,706,"2,900","1,106","2,266","1,026","1,613","1,002","2,442","4,146",248
2021년09월_남_60~69세,"18,655",20,296,808,"1,169","1,080",761,"1,500",603,524,"2,051",773,"1,622",724,"1,188",598,"1,819","2,817",302
2021년09월_남_70~79세,"8,010",7,160,418,564,519,364,667,240,198,794,362,639,329,536,222,747,"1,120",124
2021년09월_남_80~89세,"2,594",1,46,142,152,166,111,191,81,76,283,80,178,137,250,91,204,329,76
2021년09월_남_90~99세,231,1,5,4,11,14,7,18,6,7,23,3,18,17,28,6,24,34,5
2021년09월_남_100세 이상,9,0,0,2,0,1,0,0,0,0,1,2,0,0,1,0,0,2,0
2021년09월_여_총인구수,"149,497",76,"1,581","5,050","6,944","7,182","5,350","10,776","5,543","2,797","17,715","6,564","13,082","7,342","10,622","6,369","16,293","25,288",923
2021년09월_여_연령구간인구수,"149,497",76,"1,581","5,050","6,944","7,182","5,350","10,776","5,543","2,797","17,715","6,564","13,082","7,342","10,622","6,369","16,293","25,288",923
2021년09월_여_0~9세,"10,930",0,46,169,326,390,400,812,428,100,"1,519",469,"1,051",475,645,437,"1,400","2,235",28
2021년09월_여_10~19세,"14,434",1,90,289,454,588,533,908,649,192,"2,087",560,"1,545",491,872,664,"2,072","2,409",30
2021년09월_여_20~29세,"17,833",3,169,596,852,802,601,"1,265",698,413,"2,093",765,"1,499",877,"1,206",809,"1,795","3,306",84
2021년09월_여_30~39세,"19,889",7,151,513,812,836,601,"1,553",730,318,"2,125","1,132","1,480","1,182","1,390",949,"2,022","4,006",82
2021년09월_여_40~49세,"25,451",11,206,655,942,"1,110",899,"1,630","1,058",376,"3,407","1,122","2,495","1,175","1,692","1,205","3,155","4,238",75
2021년09월_여_50~59세,"24,616",18,278,972,"1,201","1,247",889,"1,802",924,560,"2,906","1,052","2,184","1,155","1,708","1,057","2,488","4,007",168
2021년09월_여_60~69세,"20,611",25,343,"1,021","1,327","1,219",819,"1,659",620,445,"2,178",863,"1,665","1,033","1,461",709,"1,984","3,011",229
2021년09월_여_70~79세,"9,680",8,198,552,694,627,398,737,277,237,844,405,692,496,917,325,846,"1,314",113
2021년09월_여_80~89세,"5,143",1,92,245,291,316,187,343,137,129,468,169,392,387,625,183,440,647,91
2021년09월_여_90~99세,880,2,8,36,44,47,21,66,21,27,86,26,74,69,101,30,88,112,22
2021년09월_여_100세 이상,30,0,0,2,1,0,2,1,1,0,2,1,5,2,5,1,3,3,1
