,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년06월_계_총인구수,"27,808","12,282","2,895","2,362","2,547","3,079","4,643"
2020년06월_계_연령구간인구수,"27,808","12,282","2,895","2,362","2,547","3,079","4,643"
2020년06월_계_0~9세,"1,377",874,73,70,77,89,194
2020년06월_계_10~19세,"1,901","1,136",180,111,94,136,244
2020년06월_계_20~29세,"2,386","1,208",220,197,163,166,432
2020년06월_계_30~39세,"2,379","1,261",178,148,181,247,364
2020년06월_계_40~49세,"3,540","1,893",320,260,237,320,510
2020년06월_계_50~59세,"5,093","2,124",544,457,495,531,942
2020년06월_계_60~69세,"5,362","1,906",640,485,617,707,"1,007"
2020년06월_계_70~79세,"3,667","1,205",467,395,437,530,633
2020년06월_계_80~89세,"1,777",571,234,209,211,290,262
2020년06월_계_90~99세,310,102,39,25,32,59,53
2020년06월_계_100세 이상,16,2,0,5,3,4,2
2020년06월_남_총인구수,"14,136","6,200","1,484","1,196","1,315","1,584","2,357"
2020년06월_남_연령구간인구수,"14,136","6,200","1,484","1,196","1,315","1,584","2,357"
2020년06월_남_0~9세,713,454,38,36,39,50,96
2020년06월_남_10~19세,994,604,100,45,54,69,122
2020년06월_남_20~29세,"1,403",696,134,111,102,101,259
2020년06월_남_30~39세,"1,286",628,109,79,112,144,214
2020년06월_남_40~49세,"1,942",966,179,153,144,207,293
2020년06월_남_50~59세,"2,739","1,128",307,262,245,302,495
2020년06월_남_60~69세,"2,658",930,310,250,327,356,485
2020년06월_남_70~79세,"1,689",556,210,170,202,252,299
2020년06월_남_80~89세,648,210,92,83,82,99,82
2020년06월_남_90~99세,63,27,5,7,8,4,12
2020년06월_남_100세 이상,1,1,0,0,0,0,0
2020년06월_여_총인구수,"13,672","6,082","1,411","1,166","1,232","1,495","2,286"
2020년06월_여_연령구간인구수,"13,672","6,082","1,411","1,166","1,232","1,495","2,286"
2020년06월_여_0~9세,664,420,35,34,38,39,98
2020년06월_여_10~19세,907,532,80,66,40,67,122
2020년06월_여_20~29세,983,512,86,86,61,65,173
2020년06월_여_30~39세,"1,093",633,69,69,69,103,150
2020년06월_여_40~49세,"1,598",927,141,107,93,113,217
2020년06월_여_50~59세,"2,354",996,237,195,250,229,447
2020년06월_여_60~69세,"2,704",976,330,235,290,351,522
2020년06월_여_70~79세,"1,978",649,257,225,235,278,334
2020년06월_여_80~89세,"1,129",361,142,126,129,191,180
2020년06월_여_90~99세,247,75,34,18,24,55,41
2020년06월_여_100세 이상,15,1,0,5,3,4,2
