,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020년10월_계_총인구수,"177,085","14,020","12,331","14,958","27,861","11,611","26,193","18,696","9,862","12,842","28,711"
2020년10월_계_연령구간인구수,"177,085","14,020","12,331","14,958","27,861","11,611","26,193","18,696","9,862","12,842","28,711"
2020년10월_계_0~9세,"10,399",719,859,614,"1,708",717,"1,314","1,136",320,759,"2,253"
2020년10월_계_10~19세,"11,933","1,188","1,197",664,"1,975",857,"1,669","1,274",434,835,"1,840"
2020년10월_계_20~29세,"24,377","1,874","1,422","1,812","3,141","1,260","5,099","2,875","1,885","1,676","3,333"
2020년10월_계_30~39세,"23,997","1,647","1,249","1,813","3,457","1,471","4,098","2,715","1,491","1,889","4,167"
2020년10월_계_40~49세,"25,564","2,038","1,976","1,909","3,723","1,737","3,702","2,860","1,259","1,946","4,414"
2020년10월_계_50~59세,"27,783","2,432","2,180","2,351","4,424","1,889","3,588","2,763","1,409","2,021","4,726"
2020년10월_계_60~69세,"28,388","2,117","1,906","2,947","5,072","1,987","3,606","2,587","1,620","1,966","4,580"
2020년10월_계_70~79세,"17,047","1,289","1,047","1,976","2,953","1,235","2,203","1,745","1,007","1,152","2,440"
2020년10월_계_80~89세,"6,658",613,404,778,"1,228",399,797,671,390,536,842
2020년10월_계_90~99세,877,98,81,89,172,55,110,63,41,57,111
2020년10월_계_100세 이상,62,5,10,5,8,4,7,7,6,5,5
2020년10월_남_총인구수,"83,696","6,450","5,740","7,155","13,355","5,713","12,290","8,688","4,677","5,786","13,842"
2020년10월_남_연령구간인구수,"83,696","6,450","5,740","7,155","13,355","5,713","12,290","8,688","4,677","5,786","13,842"
2020년10월_남_0~9세,"5,334",345,439,313,888,373,698,582,170,394,"1,132"
2020년10월_남_10~19세,"6,135",597,595,343,"1,038",457,897,634,221,412,941
2020년10월_남_20~29세,"11,881",938,736,897,"1,624",697,"2,268","1,332",829,800,"1,760"
2020년10월_남_30~39세,"11,964",798,588,959,"1,746",759,"2,059","1,316",785,884,"2,070"
2020년10월_남_40~49세,"12,560",925,889,"1,010","1,877",909,"1,803","1,403",652,873,"2,219"
2020년10월_남_50~59세,"12,737","1,115",950,"1,106","2,017",902,"1,626","1,267",676,890,"2,188"
2020년10월_남_60~69세,"12,668",925,872,"1,302","2,268",898,"1,599","1,126",751,826,"2,101"
2020년10월_남_70~79세,"7,663",546,496,896,"1,384",548,"1,010",739,438,499,"1,107"
2020년10월_남_80~89세,"2,525",227,158,308,461,162,296,270,146,195,302
2020년10월_남_90~99세,216,34,14,21,49,8,31,17,9,13,20
2020년10월_남_100세 이상,13,0,3,0,3,0,3,2,0,0,2
2020년10월_여_총인구수,"93,389","7,570","6,591","7,803","14,506","5,898","13,903","10,008","5,185","7,056","14,869"
2020년10월_여_연령구간인구수,"93,389","7,570","6,591","7,803","14,506","5,898","13,903","10,008","5,185","7,056","14,869"
2020년10월_여_0~9세,"5,065",374,420,301,820,344,616,554,150,365,"1,121"
2020년10월_여_10~19세,"5,798",591,602,321,937,400,772,640,213,423,899
2020년10월_여_20~29세,"12,496",936,686,915,"1,517",563,"2,831","1,543","1,056",876,"1,573"
2020년10월_여_30~39세,"12,033",849,661,854,"1,711",712,"2,039","1,399",706,"1,005","2,097"
2020년10월_여_40~49세,"13,004","1,113","1,087",899,"1,846",828,"1,899","1,457",607,"1,073","2,195"
2020년10월_여_50~59세,"15,046","1,317","1,230","1,245","2,407",987,"1,962","1,496",733,"1,131","2,538"
2020년10월_여_60~69세,"15,720","1,192","1,034","1,645","2,804","1,089","2,007","1,461",869,"1,140","2,479"
2020년10월_여_70~79세,"9,384",743,551,"1,080","1,569",687,"1,193","1,006",569,653,"1,333"
2020년10월_여_80~89세,"4,133",386,246,470,767,237,501,401,244,341,540
2020년10월_여_90~99세,661,64,67,68,123,47,79,46,32,44,91
2020년10월_여_100세 이상,49,5,7,5,5,4,4,5,6,5,3
