,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년06월_계_총인구수,"405,075","36,370","21,452","24,832","24,037","20,685","29,732","9,373","23,508","27,815","31,996","32,058","21,413","22,698","39,483","24,125","15,498"
2020년06월_계_연령구간인구수,"405,075","36,370","21,452","24,832","24,037","20,685","29,732","9,373","23,508","27,815","31,996","32,058","21,413","22,698","39,483","24,125","15,498"
2020년06월_계_0~9세,"29,305","3,660","1,983",968,"1,434",883,"1,940",260,"1,406","1,927","2,049","2,376","1,342","1,287","3,633","1,540","2,617"
2020년06월_계_10~19세,"30,719","3,550","2,007","1,462","1,465","1,167","1,694",323,"2,045","2,328","2,403","2,417","1,537","1,274","3,906","2,062","1,079"
2020년06월_계_20~29세,"55,607","4,424","2,901","3,283","4,176","2,927","5,132","1,427","3,326","3,701","4,207","3,866","2,690","3,991","4,699","3,133","1,724"
2020년06월_계_30~39세,"63,726","6,340","3,966","2,949","5,109","3,022","5,538","1,228","2,969","3,416","4,411","4,832","3,054","4,390","5,340","3,372","3,790"
2020년06월_계_40~49세,"63,841","6,538","3,665","3,638","4,038","3,113","4,219","1,242","3,640","4,414","4,769","4,912","3,312","3,209","6,841","3,887","2,404"
2020년06월_계_50~59세,"63,382","5,164","3,041","4,775","3,046","3,548","4,626","1,962","3,990","4,887","5,499","4,913","3,552","3,074","5,670","3,964","1,671"
2020년06월_계_60~69세,"54,624","3,957","2,508","3,970","2,565","3,060","3,671","1,607","3,489","3,913","4,815","4,941","3,406","2,919","4,918","3,500","1,385"
2020년06월_계_70~79세,"31,264","1,955",967,"2,665","1,539","2,081","2,084",881,"1,919","2,275","2,774","2,809","1,781","1,802","3,193","1,966",573
2020년06월_계_80~89세,"10,991",685,346,969,582,780,739,364,624,851,934,863,651,658,"1,127",604,214
2020년06월_계_90~99세,"1,448",90,65,123,62,87,88,56,95,95,127,120,77,88,148,86,41
2020년06월_계_100세 이상,168,7,3,30,21,17,1,23,5,8,8,9,11,6,8,11,0
2020년06월_남_총인구수,"200,098","17,790","10,543","12,488","12,262","10,061","14,367","5,078","11,738","13,795","16,031","15,675","10,488","11,128","19,083","11,928","7,643"
2020년06월_남_연령구간인구수,"200,098","17,790","10,543","12,488","12,262","10,061","14,367","5,078","11,738","13,795","16,031","15,675","10,488","11,128","19,083","11,928","7,643"
2020년06월_남_0~9세,"14,990","1,822","1,036",496,758,447,984,141,735,965,"1,015","1,235",670,652,"1,869",781,"1,384"
2020년06월_남_10~19세,"15,830","1,833","1,059",775,748,582,866,169,"1,061","1,203","1,217","1,201",810,654,"1,981","1,134",537
2020년06월_남_20~29세,"27,256","2,160","1,374","1,699","2,021","1,394","2,209",760,"1,744","1,910","2,185","1,947","1,372","1,784","2,280","1,614",803
2020년06월_남_30~39세,"32,560","3,028","2,000","1,606","2,779","1,576","2,762",719,"1,551","1,740","2,305","2,439","1,577","2,273","2,616","1,754","1,835"
2020년06월_남_40~49세,"32,759","3,217","1,841","1,937","2,238","1,589","2,143",690,"1,828","2,223","2,491","2,519","1,694","1,684","3,448","1,928","1,289"
2020년06월_남_50~59세,"31,272","2,540","1,435","2,469","1,588","1,777","2,326","1,171","1,948","2,427","2,734","2,301","1,660","1,520","2,713","1,889",774
2020년06월_남_60~69세,"25,792","1,897","1,168","1,896","1,157","1,398","1,778",864,"1,694","1,891","2,318","2,279","1,574","1,398","2,210","1,645",625
2020년06월_남_70~79세,"14,879","1,006",483,"1,189",726,949,979,418,926,"1,061","1,345","1,356",850,883,"1,461",936,311
2020년06월_남_80~89세,"4,371",266,128,390,223,320,295,127,230,350,395,362,256,265,464,225,75
2020년06월_남_90~99세,352,21,18,25,22,24,25,14,21,23,23,33,22,14,38,19,10
2020년06월_남_100세 이상,37,0,1,6,2,5,0,5,0,2,3,3,3,1,3,3,0
2020년06월_여_총인구수,"204,977","18,580","10,909","12,344","11,775","10,624","15,365","4,295","11,770","14,020","15,965","16,383","10,925","11,570","20,400","12,197","7,855"
2020년06월_여_연령구간인구수,"204,977","18,580","10,909","12,344","11,775","10,624","15,365","4,295","11,770","14,020","15,965","16,383","10,925","11,570","20,400","12,197","7,855"
2020년06월_여_0~9세,"14,315","1,838",947,472,676,436,956,119,671,962,"1,034","1,141",672,635,"1,764",759,"1,233"
2020년06월_여_10~19세,"14,889","1,717",948,687,717,585,828,154,984,"1,125","1,186","1,216",727,620,"1,925",928,542
2020년06월_여_20~29세,"28,351","2,264","1,527","1,584","2,155","1,533","2,923",667,"1,582","1,791","2,022","1,919","1,318","2,207","2,419","1,519",921
2020년06월_여_30~39세,"31,166","3,312","1,966","1,343","2,330","1,446","2,776",509,"1,418","1,676","2,106","2,393","1,477","2,117","2,724","1,618","1,955"
2020년06월_여_40~49세,"31,082","3,321","1,824","1,701","1,800","1,524","2,076",552,"1,812","2,191","2,278","2,393","1,618","1,525","3,393","1,959","1,115"
2020년06월_여_50~59세,"32,110","2,624","1,606","2,306","1,458","1,771","2,300",791,"2,042","2,460","2,765","2,612","1,892","1,554","2,957","2,075",897
2020년06월_여_60~69세,"28,832","2,060","1,340","2,074","1,408","1,662","1,893",743,"1,795","2,022","2,497","2,662","1,832","1,521","2,708","1,855",760
2020년06월_여_70~79세,"16,385",949,484,"1,476",813,"1,132","1,105",463,993,"1,214","1,429","1,453",931,919,"1,732","1,030",262
2020년06월_여_80~89세,"6,620",419,218,579,359,460,444,237,394,501,539,501,395,393,663,379,139
2020년06월_여_90~99세,"1,096",69,47,98,40,63,63,42,74,72,104,87,55,74,110,67,31
2020년06월_여_100세 이상,131,7,2,24,19,12,1,18,5,6,5,6,8,5,5,8,0
