카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2020년01월_계_총인구수,"349,824","35,698","33,657","40,024","22,351","25,152","36,267","25,480","27,393","28,331","28,906","46,565"
2020년01월_계_연령구간인구수,"349,824","35,698","33,657","40,024","22,351","25,152","36,267","25,480","27,393","28,331","28,906","46,565"
2020년01월_계_0~9세,"36,488","3,472","1,582","3,632","2,426","2,615","5,032","3,095","2,697","2,797","3,336","5,804"
2020년01월_계_10~19세,"39,139","3,566","1,562","3,388","3,109","3,594","4,434","3,009","3,411","3,296","4,694","5,076"
2020년01월_계_20~29세,"51,885","4,637","7,862","8,015","2,859","3,223","3,674","3,904","4,337","4,268","3,559","5,547"
2020년01월_계_30~39세,"56,761","4,743","6,417","6,516","3,314","3,281","6,284","5,131","4,409","4,368","4,023","8,275"
2020년01월_계_40~49세,"60,882","6,076","4,359","5,671","4,410","4,938","7,093","4,135","4,551","4,892","6,152","8,605"
2020년01월_계_50~59세,"53,506","6,272","5,585","6,118","3,201","3,920","4,923","3,446","4,454","4,593","4,209","6,785"
2020년01월_계_60~69세,"31,035","4,040","3,654","4,218","1,715","1,936","3,032","1,739","2,249","2,264","1,969","4,219"
2020년01월_계_70~79세,"12,891","1,867","1,697","1,613",848,"1,037","1,212",621,708,"1,144",627,"1,517"
2020년01월_계_80~89세,"6,177",887,786,734,402,521,497,351,472,616,285,626
2020년01월_계_90~99세,"1,004",128,131,111,67,86,82,48,102,88,52,109
2020년01월_계_100세 이상,56,10,22,8,0,1,4,1,3,5,0,2
2020년01월_남_총인구수,"176,617","18,166","17,372","20,755","11,026","12,378","17,869","13,365","13,980","14,501","14,793","22,412"
2020년01월_남_연령구간인구수,"176,617","18,166","17,372","20,755","11,026","12,378","17,869","13,365","13,980","14,501","14,793","22,412"
2020년01월_남_0~9세,"18,839","1,769",814,"1,822","1,246","1,350","2,564","1,611","1,436","1,454","1,759","3,014"
2020년01월_남_10~19세,"20,369","1,902",808,"1,792","1,615","1,846","2,265","1,613","1,748","1,694","2,457","2,629"
2020년01월_남_20~29세,"27,881","2,561","4,052","4,696","1,461","1,649","1,952","2,154","2,385","2,352","1,879","2,740"
2020년01월_남_30~39세,"29,301","2,445","3,677","3,469","1,613","1,606","2,990","2,818","2,350","2,346","2,047","3,940"
2020년01월_남_40~49세,"29,961","3,116","2,332","2,851","2,075","2,336","3,477","2,057","2,176","2,476","2,931","4,134"
2020년01월_남_50~59세,"26,593","3,138","2,728","2,932","1,640","1,981","2,394","1,784","2,188","2,395","2,309","3,104"
2020년01월_남_60~69세,"15,560","2,060","1,891","2,146",822,947,"1,462",908,"1,208","1,127","1,033","1,956"
2020년01월_남_70~79세,"5,878",875,747,764,385,458,575,310,328,455,291,690
2020년01월_남_80~89세,"2,000",275,281,250,150,187,174,97,132,183,77,194
2020년01월_남_90~99세,223,22,39,32,19,17,15,13,27,18,10,11
2020년01월_남_100세 이상,12,3,3,1,0,1,1,0,2,1,0,0
2020년01월_여_총인구수,"173,207","17,532","16,285","19,269","11,325","12,774","18,398","12,115","13,413","13,830","14,113","24,153"
2020년01월_여_연령구간인구수,"173,207","17,532","16,285","19,269","11,325","12,774","18,398","12,115","13,413","13,830","14,113","24,153"
2020년01월_여_0~9세,"17,649","1,703",768,"1,810","1,180","1,265","2,468","1,484","1,261","1,343","1,577","2,790"
2020년01월_여_10~19세,"18,770","1,664",754,"1,596","1,494","1,748","2,169","1,396","1,663","1,602","2,237","2,447"
2020년01월_여_20~29세,"24,004","2,076","3,810","3,319","1,398","1,574","1,722","1,750","1,952","1,916","1,680","2,807"
2020년01월_여_30~39세,"27,460","2,298","2,740","3,047","1,701","1,675","3,294","2,313","2,059","2,022","1,976","4,335"
2020년01월_여_40~49세,"30,921","2,960","2,027","2,820","2,335","2,602","3,616","2,078","2,375","2,416","3,221","4,471"
2020년01월_여_50~59세,"26,913","3,134","2,857","3,186","1,561","1,939","2,529","1,662","2,266","2,198","1,900","3,681"
2020년01월_여_60~69세,"15,475","1,980","1,763","2,072",893,989,"1,570",831,"1,041","1,137",936,"2,263"
2020년01월_여_70~79세,"7,013",992,950,849,463,579,637,311,380,689,336,827
2020년01월_여_80~89세,"4,177",612,505,484,252,334,323,254,340,433,208,432
2020년01월_여_90~99세,781,106,92,79,48,69,67,35,75,70,42,98
2020년01월_여_100세 이상,44,7,19,7,0,0,3,1,1,4,0,2
