,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년04월_계_총인구수,"2,406,296","75,366","342,468","169,022","146,188","438,248","421,840","552,975","260,189"
2021년04월_계_연령구간인구수,"2,406,296","75,366","342,468","169,022","146,188","438,248","421,840","552,975","260,189"
2021년04월_계_0~9세,"174,060","4,927","24,699","7,246","6,690","33,119","29,429","38,849","29,101"
2021년04월_계_10~19세,"222,409","4,985","26,403","10,608","9,296","42,601","50,395","54,088","24,033"
2021년04월_계_20~29세,"317,686","11,638","41,527","21,178","20,407","61,826","54,594","77,713","28,803"
2021년04월_계_30~39세,"290,180","10,606","43,586","17,217","17,037","53,180","42,300","65,019","41,235"
2021년04월_계_40~49세,"379,728","10,544","51,249","22,413","20,091","71,588","72,001","87,955","43,887"
2021년04월_계_50~59세,"422,181","11,167","56,856","33,522","24,741","77,882","74,874","102,459","40,680"
2021년04월_계_60~69세,"333,756","10,262","52,693","31,657","24,344","55,431","53,051","75,304","31,014"
2021년04월_계_70~79세,"175,962","7,248","30,324","17,256","15,063","28,460","28,889","34,577","14,145"
2021년04월_계_80~89세,"79,992","3,432","13,501","7,111","7,467","12,597","14,297","15,143","6,444"
2021년04월_계_90~99세,"9,815",485,"1,548",755,983,"1,474","1,928","1,816",826
2021년04월_계_100세 이상,527,72,82,59,69,90,82,52,21
2021년04월_남_총인구수,"1,186,663","36,199","168,584","84,624","70,219","218,144","204,076","272,745","132,072"
2021년04월_남_연령구간인구수,"1,186,663","36,199","168,584","84,624","70,219","218,144","204,076","272,745","132,072"
2021년04월_남_0~9세,"89,201","2,540","12,615","3,743","3,447","16,979","15,162","19,860","14,855"
2021년04월_남_10~19세,"116,065","2,552","13,833","5,488","4,895","22,122","26,603","28,040","12,532"
2021년04월_남_20~29세,"169,519","5,572","22,191","11,638","10,183","33,420","29,282","41,439","15,794"
2021년04월_남_30~39세,"151,345","5,491","23,069","9,777","8,993","27,930","20,617","33,911","21,557"
2021년04월_남_40~49세,"187,387","5,337","26,279","12,051","10,148","35,125","32,849","42,698","22,900"
2021년04월_남_50~59세,"206,898","5,532","27,692","16,920","12,093","38,645","36,224","49,540","20,252"
2021년04월_남_60~69세,"158,693","4,740","24,447","14,816","11,120","26,901","25,046","36,239","15,384"
2021년04월_남_70~79세,"77,098","3,043","13,246","7,556","6,406","12,294","12,580","15,438","6,535"
2021년04월_남_80~89세,"28,225","1,266","4,849","2,490","2,700","4,407","5,235","5,182","2,096"
2021년04월_남_90~99세,"2,112",111,336,130,220,305,457,389,164
2021년04월_남_100세 이상,120,15,27,15,14,16,21,9,3
2021년04월_여_총인구수,"1,219,633","39,167","173,884","84,398","75,969","220,104","217,764","280,230","128,117"
2021년04월_여_연령구간인구수,"1,219,633","39,167","173,884","84,398","75,969","220,104","217,764","280,230","128,117"
2021년04월_여_0~9세,"84,859","2,387","12,084","3,503","3,243","16,140","14,267","18,989","14,246"
2021년04월_여_10~19세,"106,344","2,433","12,570","5,120","4,401","20,479","23,792","26,048","11,501"
2021년04월_여_20~29세,"148,167","6,066","19,336","9,540","10,224","28,406","25,312","36,274","13,009"
2021년04월_여_30~39세,"138,835","5,115","20,517","7,440","8,044","25,250","21,683","31,108","19,678"
2021년04월_여_40~49세,"192,341","5,207","24,970","10,362","9,943","36,463","39,152","45,257","20,987"
2021년04월_여_50~59세,"215,283","5,635","29,164","16,602","12,648","39,237","38,650","52,919","20,428"
2021년04월_여_60~69세,"175,063","5,522","28,246","16,841","13,224","28,530","28,005","39,065","15,630"
2021년04월_여_70~79세,"98,864","4,205","17,078","9,700","8,657","16,166","16,309","19,139","7,610"
2021년04월_여_80~89세,"51,767","2,166","8,652","4,621","4,767","8,190","9,062","9,961","4,348"
2021년04월_여_90~99세,"7,703",374,"1,212",625,763,"1,169","1,471","1,427",662
2021년04월_여_100세 이상,407,57,55,44,55,74,61,43,18
