,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년09월_계_총인구수,"146,864","12,469","9,293","10,829","17,369","11,666","11,140","11,166","11,290","7,912","9,734","16,016","9,443","8,537"
2020년09월_계_연령구간인구수,"146,864","12,469","9,293","10,829","17,369","11,666","11,140","11,166","11,290","7,912","9,734","16,016","9,443","8,537"
2020년09월_계_0~9세,"6,868",827,397,676,873,538,401,382,483,282,565,780,347,317
2020년09월_계_10~19세,"9,536","1,052",523,889,"1,391",778,663,638,645,446,636,926,496,453
2020년09월_계_20~29세,"20,453","1,235","1,140","1,107","2,095","1,775","2,062","1,552","1,653","1,525","1,426","2,437","1,418","1,028"
2020년09월_계_30~39세,"17,266","1,323","1,166","1,099","1,926","1,453","1,383","1,154","1,236",918,"1,363","2,178","1,145",922
2020년09월_계_40~49세,"20,529","2,035","1,374","1,484","2,622","1,625","1,444","1,520","1,407",962,"1,439","2,343","1,191","1,083"
2020년09월_계_50~59세,"25,130","1,965","1,655","1,844","2,971","2,052","1,768","2,043","2,045","1,290","1,565","2,725","1,666","1,541"
2020년09월_계_60~69세,"23,738","1,758","1,489","1,838","2,795","1,823","1,658","1,976","2,051","1,202","1,424","2,372","1,658","1,694"
2020년09월_계_70~79세,"15,163","1,383",943,"1,155","1,686","1,104","1,163","1,292","1,221",840,855,"1,516","1,001","1,004"
2020년09월_계_80~89세,"7,180",756,543,634,891,441,529,535,492,398,407,637,473,444
2020년09월_계_90~99세,916,127,56,96,107,74,62,64,50,45,49,92,46,48
2020년09월_계_100세 이상,85,8,7,7,12,3,7,10,7,4,5,10,2,3
2020년09월_남_총인구수,"70,576","5,890","4,455","5,193","8,235","5,689","5,248","5,561","5,516","3,776","4,667","7,792","4,476","4,078"
2020년09월_남_연령구간인구수,"70,576","5,890","4,455","5,193","8,235","5,689","5,248","5,561","5,516","3,776","4,667","7,792","4,476","4,078"
2020년09월_남_0~9세,"3,558",456,197,350,462,281,196,207,242,166,280,389,178,154
2020년09월_남_10~19세,"5,022",570,286,456,704,427,313,343,355,237,330,494,267,240
2020년09월_남_20~29세,"10,280",627,537,594,"1,061",897,968,813,871,684,711,"1,262",702,553
2020년09월_남_30~39세,"9,015",659,624,559,985,750,712,642,682,486,671,"1,116",602,527
2020년09월_남_40~49세,"10,355",985,703,706,"1,232",849,749,843,734,519,708,"1,191",598,538
2020년09월_남_50~59세,"12,223",969,823,866,"1,482",962,876,"1,069",994,625,774,"1,298",766,719
2020년09월_남_60~69세,"10,835",774,696,859,"1,236",847,764,898,933,550,670,"1,099",751,758
2020년09월_남_70~79세,"6,459",541,378,520,703,501,476,549,534,356,375,666,439,421
2020년09월_남_80~89세,"2,580",277,198,249,342,157,174,183,158,139,140,248,159,156
2020년09월_남_90~99세,231,32,11,32,26,18,17,13,10,13,8,27,13,11
2020년09월_남_100세 이상,18,0,2,2,2,0,3,1,3,1,0,2,1,1
2020년09월_여_총인구수,"76,288","6,579","4,838","5,636","9,134","5,977","5,892","5,605","5,774","4,136","5,067","8,224","4,967","4,459"
2020년09월_여_연령구간인구수,"76,288","6,579","4,838","5,636","9,134","5,977","5,892","5,605","5,774","4,136","5,067","8,224","4,967","4,459"
2020년09월_여_0~9세,"3,310",371,200,326,411,257,205,175,241,116,285,391,169,163
2020년09월_여_10~19세,"4,514",482,237,433,687,351,350,295,290,209,306,432,229,213
2020년09월_여_20~29세,"10,173",608,603,513,"1,034",878,"1,094",739,782,841,715,"1,175",716,475
2020년09월_여_30~39세,"8,251",664,542,540,941,703,671,512,554,432,692,"1,062",543,395
2020년09월_여_40~49세,"10,174","1,050",671,778,"1,390",776,695,677,673,443,731,"1,152",593,545
2020년09월_여_50~59세,"12,907",996,832,978,"1,489","1,090",892,974,"1,051",665,791,"1,427",900,822
2020년09월_여_60~69세,"12,903",984,793,979,"1,559",976,894,"1,078","1,118",652,754,"1,273",907,936
2020년09월_여_70~79세,"8,704",842,565,635,983,603,687,743,687,484,480,850,562,583
2020년09월_여_80~89세,"4,600",479,345,385,549,284,355,352,334,259,267,389,314,288
2020년09월_여_90~99세,685,95,45,64,81,56,45,51,40,32,41,65,33,37
2020년09월_여_100세 이상,67,8,5,5,10,3,4,9,4,3,5,8,1,2
