카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년10월_계_총인구수,"163,960","14,449","29,570","37,921","21,348","23,655","37,017"
2020년10월_계_연령구간인구수,"163,960","14,449","29,570","37,921","21,348","23,655","37,017"
2020년10월_계_0~9세,"13,281",897,"2,238","2,849","1,581","2,392","3,324"
2020년10월_계_10~19세,"14,756",996,"2,480","3,923","2,077","2,129","3,151"
2020년10월_계_20~29세,"23,466","2,448","4,156","5,024","3,366","3,332","5,140"
2020년10월_계_30~39세,"22,982","2,555","4,189","4,764","2,452","3,614","5,408"
2020년10월_계_40~49세,"24,743","1,789","4,444","6,017","3,238","3,599","5,656"
2020년10월_계_50~59세,"29,521","2,102","5,132","6,877","4,262","4,250","6,898"
2020년10월_계_60~69세,"21,228","2,134","3,749","5,321","2,657","2,694","4,673"
2020년10월_계_70~79세,"9,023","1,023","2,002","2,137","1,046","1,022","1,793"
2020년10월_계_80~89세,"4,196",418,"1,027",850,564,528,809
2020년10월_계_90~99세,715,83,140,152,93,91,156
2020년10월_계_100세 이상,49,4,13,7,12,4,9
2020년10월_남_총인구수,"81,603","7,368","15,042","18,843","10,461","11,628","18,261"
2020년10월_남_연령구간인구수,"81,603","7,368","15,042","18,843","10,461","11,628","18,261"
2020년10월_남_0~9세,"6,891",490,"1,165","1,426",829,"1,220","1,761"
2020년10월_남_10~19세,"7,594",518,"1,271","2,040","1,093","1,132","1,540"
2020년10월_남_20~29세,"12,348","1,290","2,265","2,645","1,727","1,708","2,713"
2020년10월_남_30~39세,"11,795","1,403","2,270","2,415","1,212","1,745","2,750"
2020년10월_남_40~49세,"12,218",932,"2,325","2,910","1,528","1,783","2,740"
2020년10월_남_50~59세,"14,237","1,002","2,549","3,349","2,034","2,025","3,278"
2020년10월_남_60~69세,"10,680","1,063","1,899","2,682","1,362","1,364","2,310"
2020년10월_남_70~79세,"4,220",508,878,"1,038",467,453,876
2020년10월_남_80~89세,"1,450",147,376,306,191,175,255
2020년10월_남_90~99세,157,13,40,30,17,22,35
2020년10월_남_100세 이상,13,2,4,2,1,1,3
2020년10월_여_총인구수,"82,357","7,081","14,528","19,078","10,887","12,027","18,756"
2020년10월_여_연령구간인구수,"82,357","7,081","14,528","19,078","10,887","12,027","18,756"
2020년10월_여_0~9세,"6,390",407,"1,073","1,423",752,"1,172","1,563"
2020년10월_여_10~19세,"7,162",478,"1,209","1,883",984,997,"1,611"
2020년10월_여_20~29세,"11,118","1,158","1,891","2,379","1,639","1,624","2,427"
2020년10월_여_30~39세,"11,187","1,152","1,919","2,349","1,240","1,869","2,658"
2020년10월_여_40~49세,"12,525",857,"2,119","3,107","1,710","1,816","2,916"
2020년10월_여_50~59세,"15,284","1,100","2,583","3,528","2,228","2,225","3,620"
2020년10월_여_60~69세,"10,548","1,071","1,850","2,639","1,295","1,330","2,363"
2020년10월_여_70~79세,"4,803",515,"1,124","1,099",579,569,917
2020년10월_여_80~89세,"2,746",271,651,544,373,353,554
2020년10월_여_90~99세,558,70,100,122,76,69,121
2020년10월_여_100세 이상,36,2,9,5,11,3,6
