카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020년12월_계_총인구수,"125,240","2,069","5,136","2,914","4,034","4,664","5,224","1,816","7,692","14,243","17,128","14,056","10,527","10,656","12,583","12,498"
2020년12월_계_연령구간인구수,"125,240","2,069","5,136","2,914","4,034","4,664","5,224","1,816","7,692","14,243","17,128","14,056","10,527","10,656","12,583","12,498"
2020년12월_계_0~9세,"6,836",166,199,83,191,183,131,48,276,580,"1,118",776,576,743,737,"1,029"
2020년12월_계_10~19세,"6,773",113,195,131,170,290,200,37,288,821,958,882,548,855,517,768
2020년12월_계_20~29세,"18,586",219,511,357,726,"1,256",896,190,"1,367","2,377","2,022","2,014","1,676","1,434","2,088","1,453"
2020년12월_계_30~39세,"20,107",419,537,387,622,664,819,301,"1,308","2,261","2,424","2,212","1,747","1,344","2,803","2,259"
2020년12월_계_40~49세,"18,011",449,665,429,493,564,638,197,"1,055","2,066","2,464","1,953","1,548","1,597","1,831","2,062"
2020년12월_계_50~59세,"20,702",307,969,496,610,594,873,327,"1,394","2,316","2,845","2,371","1,877","1,956","1,781","1,986"
2020년12월_계_60~69세,"17,551",235,"1,036",527,624,516,851,398,"1,025","1,980","2,677","1,951","1,322","1,426","1,516","1,467"
2020년12월_계_70~79세,"10,733",106,601,323,351,379,551,207,665,"1,236","1,645","1,191",841,792,906,939
2020년12월_계_80~89세,"4,836",40,292,144,185,185,209,79,248,510,813,608,330,425,341,427
2020년12월_계_90~99세,900,10,88,28,52,30,41,21,58,82,153,88,49,70,54,76
2020년12월_계_100세 이상,205,5,43,9,10,3,15,11,8,14,9,10,13,14,9,32
2020년12월_남_총인구수,"61,222","1,027","2,720","1,242","2,083","2,359","2,704","1,096","3,849","6,907","8,066","6,668","5,122","5,143","6,004","6,232"
2020년12월_남_연령구간인구수,"61,222","1,027","2,720","1,242","2,083","2,359","2,704","1,096","3,849","6,907","8,066","6,668","5,122","5,143","6,004","6,232"
2020년12월_남_0~9세,"3,505",92,109,52,101,99,69,23,122,297,544,388,287,408,383,531
2020년12월_남_10~19세,"3,408",35,82,58,94,141,102,14,148,443,490,441,277,432,257,394
2020년12월_남_20~29세,"8,851",91,226,159,370,673,380,85,652,"1,153","1,013",980,775,709,874,711
2020년12월_남_30~39세,"10,027",204,253,195,344,347,457,175,666,"1,180","1,143","1,104",884,621,"1,380","1,074"
2020년12월_남_40~49세,"9,222",241,365,188,275,302,357,128,573,"1,048","1,227",955,787,781,900,"1,095"
2020년12월_남_50~59세,"10,508",159,570,206,346,300,496,232,744,"1,099","1,353","1,145",986,940,907,"1,025"
2020년12월_남_60~69세,"8,714",131,609,219,302,250,451,271,514,922,"1,232",938,636,724,737,778
2020년12월_남_70~79세,"4,839",55,307,117,166,168,289,117,309,558,722,462,359,353,432,425
2020년12월_남_80~89세,"1,800",15,142,38,66,69,79,39,103,186,294,227,115,147,116,164
2020년12월_남_90~99세,283,3,37,7,16,10,18,8,15,18,44,25,16,24,18,24
2020년12월_남_100세 이상,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2020년12월_여_총인구수,"64,018","1,042","2,416","1,672","1,951","2,305","2,520",720,"3,843","7,336","9,062","7,388","5,405","5,513","6,579","6,266"
2020년12월_여_연령구간인구수,"64,018","1,042","2,416","1,672","1,951","2,305","2,520",720,"3,843","7,336","9,062","7,388","5,405","5,513","6,579","6,266"
2020년12월_여_0~9세,"3,331",74,90,31,90,84,62,25,154,283,574,388,289,335,354,498
2020년12월_여_10~19세,"3,365",78,113,73,76,149,98,23,140,378,468,441,271,423,260,374
2020년12월_여_20~29세,"9,735",128,285,198,356,583,516,105,715,"1,224","1,009","1,034",901,725,"1,214",742
2020년12월_여_30~39세,"10,080",215,284,192,278,317,362,126,642,"1,081","1,281","1,108",863,723,"1,423","1,185"
2020년12월_여_40~49세,"8,789",208,300,241,218,262,281,69,482,"1,018","1,237",998,761,816,931,967
2020년12월_여_50~59세,"10,194",148,399,290,264,294,377,95,650,"1,217","1,492","1,226",891,"1,016",874,961
2020년12월_여_60~69세,"8,837",104,427,308,322,266,400,127,511,"1,058","1,445","1,013",686,702,779,689
2020년12월_여_70~79세,"5,894",51,294,206,185,211,262,90,356,678,923,729,482,439,474,514
2020년12월_여_80~89세,"3,036",25,150,106,119,116,130,40,145,324,519,381,215,278,225,263
2020년12월_여_90~99세,617,7,51,21,36,20,23,13,43,64,109,63,33,46,36,52
2020년12월_여_100세 이상,140,4,23,6,7,3,9,7,5,11,5,7,13,10,9,21
