카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2020년04월_계_총인구수,"275,954","33,340","54,161","16,302","27,895","17,486","19,584","22,610","17,238","21,356","20,369","25,613"
2020년04월_계_연령구간인구수,"275,954","33,340","54,161","16,302","27,895","17,486","19,584","22,610","17,238","21,356","20,369","25,613"
2020년04월_계_0~9세,"21,951","2,090","5,008",773,"2,456",892,"1,308","2,125","1,193","1,962","2,277","1,867"
2020년04월_계_10~19세,"27,547","2,759","6,306",931,"2,878","1,234","1,562","2,285","1,711","3,253","1,773","2,855"
2020년04월_계_20~29세,"38,524","5,256","7,424","2,507","3,894","2,724","2,823","2,850","2,182","2,578","2,656","3,630"
2020년04월_계_30~39세,"39,427","4,682","7,454","2,217","3,751","2,364","3,342","3,914","2,282","2,278","3,788","3,355"
2020년04월_계_40~49세,"45,495","5,077","9,372","2,150","4,557","2,634","2,908","3,978","2,818","4,312","3,250","4,439"
2020년04월_계_50~59세,"48,380","6,503","9,437","3,181","4,883","3,546","3,228","3,427","3,019","3,548","3,230","4,378"
2020년04월_계_60~69세,"31,430","4,286","5,548","2,558","3,340","2,550","2,419","2,182","2,003","1,831","2,086","2,627"
2020년04월_계_70~79세,"14,712","1,812","2,400","1,322","1,345","1,083","1,239","1,122","1,185",930,893,"1,381"
2020년04월_계_80~89세,"7,278",741,"1,022",567,672,400,649,643,751,581,345,907
2020년04월_계_90~99세,"1,138",124,176,88,117,52,100,84,90,79,66,162
2020년04월_계_100세 이상,72,10,14,8,2,7,6,0,4,4,5,12
2020년04월_남_총인구수,"137,034","17,537","26,959","8,143","13,556","9,107","9,294","11,034","8,266","10,419","10,264","12,455"
2020년04월_남_연령구간인구수,"137,034","17,537","26,959","8,143","13,556","9,107","9,294","11,034","8,266","10,419","10,264","12,455"
2020년04월_남_0~9세,"11,265","1,086","2,604",401,"1,249",480,664,"1,065",561,"1,056","1,131",968
2020년04월_남_10~19세,"14,174","1,432","3,230",485,"1,491",650,794,"1,197",888,"1,630",916,"1,461"
2020년04월_남_20~29세,"20,153","2,916","3,839","1,343","2,035","1,442","1,414","1,494","1,123","1,370","1,347","1,830"
2020년04월_남_30~39세,"20,373","2,659","3,763","1,273","1,798","1,336","1,717","1,947","1,162","1,062","1,972","1,684"
2020년04월_남_40~49세,"22,349","2,668","4,567","1,134","2,163","1,417","1,386","1,904","1,356","1,977","1,677","2,100"
2020년04월_남_50~59세,"23,718","3,393","4,615","1,506","2,268","1,825","1,482","1,646","1,460","1,767","1,555","2,201"
2020년04월_남_60~69세,"15,558","2,207","2,806","1,215","1,681","1,287","1,118","1,028",920,924,"1,077","1,295"
2020년04월_남_70~79세,"6,555",856,"1,136",594,598,519,476,474,469,397,448,588
2020년04월_남_80~89세,"2,558",283,347,172,243,137,217,253,290,206,124,286
2020년04월_남_90~99세,308,33,47,19,30,11,24,26,35,29,15,39
2020년04월_남_100세 이상,23,4,5,1,0,3,2,0,2,1,2,3
2020년04월_여_총인구수,"138,920","15,803","27,202","8,159","14,339","8,379","10,290","11,576","8,972","10,937","10,105","13,158"
2020년04월_여_연령구간인구수,"138,920","15,803","27,202","8,159","14,339","8,379","10,290","11,576","8,972","10,937","10,105","13,158"
2020년04월_여_0~9세,"10,686","1,004","2,404",372,"1,207",412,644,"1,060",632,906,"1,146",899
2020년04월_여_10~19세,"13,373","1,327","3,076",446,"1,387",584,768,"1,088",823,"1,623",857,"1,394"
2020년04월_여_20~29세,"18,371","2,340","3,585","1,164","1,859","1,282","1,409","1,356","1,059","1,208","1,309","1,800"
2020년04월_여_30~39세,"19,054","2,023","3,691",944,"1,953","1,028","1,625","1,967","1,120","1,216","1,816","1,671"
2020년04월_여_40~49세,"23,146","2,409","4,805","1,016","2,394","1,217","1,522","2,074","1,462","2,335","1,573","2,339"
2020년04월_여_50~59세,"24,662","3,110","4,822","1,675","2,615","1,721","1,746","1,781","1,559","1,781","1,675","2,177"
2020년04월_여_60~69세,"15,872","2,079","2,742","1,343","1,659","1,263","1,301","1,154","1,083",907,"1,009","1,332"
2020년04월_여_70~79세,"8,157",956,"1,264",728,747,564,763,648,716,533,445,793
2020년04월_여_80~89세,"4,720",458,675,395,429,263,432,390,461,375,221,621
2020년04월_여_90~99세,830,91,129,69,87,41,76,58,55,50,51,123
2020년04월_여_100세 이상,49,6,9,7,2,4,4,0,2,3,3,9
