카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2020년05월_계_총인구수,"111,234","15,589","4,626","5,030","2,975","6,411","7,112","4,917","4,145","2,555","21,987","18,576","17,311"
2020년05월_계_연령구간인구수,"111,234","15,589","4,626","5,030","2,975","6,411","7,112","4,917","4,145","2,555","21,987","18,576","17,311"
2020년05월_계_0~9세,"7,627","1,077",175,186,98,299,225,151,142,117,"1,637","1,433","2,087"
2020년05월_계_10~19세,"9,751","1,312",287,284,138,442,443,387,259,141,"2,060","2,304","1,694"
2020년05월_계_20~29세,"12,118","1,664",460,432,242,556,612,406,358,218,"2,808","2,367","1,995"
2020년05월_계_30~39세,"11,769","1,864",300,353,193,516,466,308,313,190,"2,595","2,039","2,632"
2020년05월_계_40~49세,"16,078","2,268",420,507,281,704,732,606,490,274,"3,556","3,188","3,052"
2020년05월_계_50~59세,"20,138","2,816",881,"1,000",588,"1,208","1,382",995,847,453,"3,918","3,300","2,750"
2020년05월_계_60~69세,"17,634","2,426","1,002","1,121",723,"1,279","1,560",978,843,581,"3,101","2,248","1,772"
2020년05월_계_70~79세,"10,143","1,341",666,697,455,847,"1,003",642,542,368,"1,531","1,160",891
2020년05월_계_80~89세,"5,160",712,385,382,215,476,596,386,293,188,671,471,385
2020년05월_계_90~99세,773,100,49,67,41,84,89,53,56,23,102,62,47
2020년05월_계_100세 이상,43,9,1,1,1,0,4,5,2,2,8,4,6
2020년05월_남_총인구수,"56,545","8,082","2,403","2,620","1,537","3,297","3,695","2,550","2,140","1,270","11,008","9,307","8,636"
2020년05월_남_연령구간인구수,"56,545","8,082","2,403","2,620","1,537","3,297","3,695","2,550","2,140","1,270","11,008","9,307","8,636"
2020년05월_남_0~9세,"3,929",534,104,101,53,127,122,80,70,52,843,749,"1,094"
2020년05월_남_10~19세,"5,052",680,157,154,65,235,242,221,138,67,"1,054","1,200",839
2020년05월_남_20~29세,"6,644",930,265,242,150,313,374,229,210,117,"1,488","1,256","1,070"
2020년05월_남_30~39세,"6,159","1,041",168,208,106,278,267,165,169,103,"1,332","1,036","1,286"
2020년05월_남_40~49세,"8,355","1,220",235,284,156,417,390,333,274,151,"1,796","1,553","1,546"
2020년05월_남_50~59세,"10,577","1,502",475,538,315,663,748,566,473,225,"1,974","1,723","1,375"
2020년05월_남_60~69세,"8,966","1,241",513,582,378,666,833,515,413,292,"1,545","1,109",879
2020년05월_남_70~79세,"4,769",642,342,341,224,421,453,280,274,177,705,504,406
2020년05월_남_80~89세,"1,914",263,133,155,83,160,237,145,110,78,247,167,136
2020년05월_남_90~99세,164,24,10,15,7,17,27,15,8,7,20,10,4
2020년05월_남_100세 이상,16,5,1,0,0,0,2,1,1,1,4,0,1
2020년05월_여_총인구수,"54,689","7,507","2,223","2,410","1,438","3,114","3,417","2,367","2,005","1,285","10,979","9,269","8,675"
2020년05월_여_연령구간인구수,"54,689","7,507","2,223","2,410","1,438","3,114","3,417","2,367","2,005","1,285","10,979","9,269","8,675"
2020년05월_여_0~9세,"3,698",543,71,85,45,172,103,71,72,65,794,684,993
2020년05월_여_10~19세,"4,699",632,130,130,73,207,201,166,121,74,"1,006","1,104",855
2020년05월_여_20~29세,"5,474",734,195,190,92,243,238,177,148,101,"1,320","1,111",925
2020년05월_여_30~39세,"5,610",823,132,145,87,238,199,143,144,87,"1,263","1,003","1,346"
2020년05월_여_40~49세,"7,723","1,048",185,223,125,287,342,273,216,123,"1,760","1,635","1,506"
2020년05월_여_50~59세,"9,561","1,314",406,462,273,545,634,429,374,228,"1,944","1,577","1,375"
2020년05월_여_60~69세,"8,668","1,185",489,539,345,613,727,463,430,289,"1,556","1,139",893
2020년05월_여_70~79세,"5,374",699,324,356,231,426,550,362,268,191,826,656,485
2020년05월_여_80~89세,"3,246",449,252,227,132,316,359,241,183,110,424,304,249
2020년05월_여_90~99세,609,76,39,52,34,67,62,38,48,16,82,52,43
2020년05월_여_100세 이상,27,4,0,1,1,0,2,4,1,1,4,4,5
