,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020년08월_계_총인구수,"51,839,953","9,708,247","3,401,072","2,428,228","2,943,491","1,454,154","1,469,431","1,140,310","347,232","13,370,714","1,540,689","1,598,162","2,120,519","1,807,094","1,851,985","2,640,932","3,345,169","672,524"
2020년08월_계_연령구간인구수,"51,839,953","9,708,247","3,401,072","2,428,228","2,943,491","1,454,154","1,469,431","1,140,310","347,232","13,370,714","1,540,689","1,598,162","2,120,519","1,807,094","1,851,985","2,640,932","3,345,169","672,524"
2020년08월_계_0~9세,"4,045,950","639,596","236,814","182,168","233,407","122,309","117,415","100,818","46,987","1,161,588","107,032","125,667","176,291","131,521","134,604","193,259","275,256","61,218"
2020년08월_계_10~19세,"4,838,700","794,131","274,958","228,864","275,994","159,172","148,434","113,185","41,416","1,338,833","139,068","150,379","203,833","176,668","168,964","227,836","326,156","70,809"
2020년08월_계_20~29세,"6,800,612","1,465,467","433,203","323,345","402,504","209,096","212,919","145,980","36,241","1,795,440","179,267","198,229","242,317","211,321","199,787","284,298","379,408","81,790"
2020년08월_계_30~39세,"6,939,804","1,490,070","425,362","299,184","409,809","188,454","196,687","154,757","60,795","1,912,042","167,651","196,123","271,792","191,716","188,450","295,559","407,944","83,409"
2020년08월_계_40~49세,"8,330,276","1,542,023","513,686","386,857","485,648","243,152","239,441","188,931","66,950","2,297,528","225,317","242,036","328,767","270,761","261,788","385,603","539,194","112,594"
2020년08월_계_50~59세,"8,651,547","1,529,802","573,461","427,501","513,155","233,774","242,755","210,425","43,814","2,223,814","268,684","274,200","340,074","300,573","314,234","460,960","582,524","111,797"
2020년08월_계_60~69세,"6,590,179","1,225,960","522,542","319,802","357,885","160,460","175,168","141,600","28,836","1,486,778","235,672","217,212","272,578","250,774","266,839","399,790","450,275","78,008"
2020년08월_계_70~79세,"3,676,849","700,846","291,533","174,435","176,064","92,458","90,599","59,134","14,020","759,138","135,836","120,092","170,826","168,927","192,281","241,185","244,289","45,186"
2020년08월_계_80~89세,"1,698,445","271,967","112,849","76,234","76,036","39,133","39,872","22,267","6,963","340,520","70,320","64,660","99,177","90,648","108,471","133,193","122,654","23,481"
2020년08월_계_90~99세,"246,180","41,753","14,800","9,129","12,061","5,723","5,776","3,046","1,154","50,809","11,003","9,003","13,960","13,333","15,726","18,280","16,680","3,944"
2020년08월_계_100세 이상,"21,411","6,632","1,864",709,928,423,365,167,56,"4,224",839,561,904,852,841,969,789,288
2020년08월_남_총인구수,"25,851,388","4,724,585","1,666,462","1,198,662","1,474,620","719,601","733,547","585,922","173,183","6,727,226","775,113","810,023","1,081,807","898,296","930,466","1,329,919","1,684,134","337,822"
2020년08월_남_연령구간인구수,"25,851,388","4,724,585","1,666,462","1,198,662","1,474,620","719,601","733,547","585,922","173,183","6,727,226","775,113","810,023","1,081,807","898,296","930,466","1,329,919","1,684,134","337,822"
2020년08월_남_0~9세,"2,075,085","328,489","121,423","93,380","119,788","62,839","60,287","51,822","24,076","594,930","54,767","64,251","90,254","67,476","68,615","99,661","141,613","31,414"
2020년08월_남_10~19세,"2,503,612","407,212","142,167","119,602","141,922","82,619","76,800","59,623","20,777","689,249","72,409","78,284","105,807","91,556","87,798","119,857","170,840","37,090"
2020년08월_남_20~29세,"3,572,033","712,228","226,054","173,114","209,904","109,164","111,753","81,937","18,362","944,910","100,634","110,184","133,757","114,030","111,275","160,646","210,757","43,324"
2020년08월_남_30~39세,"3,573,829","745,595","217,418","155,262","211,851","96,131","102,423","82,064","29,633","984,436","87,933","103,926","146,143","98,793","99,247","157,580","213,188","42,206"
2020년08월_남_40~49세,"4,231,843","763,773","258,368","190,808","248,154","120,628","119,299","96,042","34,237","1,167,046","115,854","125,398","175,173","139,756","140,129","201,388","277,686","58,104"
2020년08월_남_50~59세,"4,365,556","751,118","278,113","209,314","256,654","115,907","121,080","107,223","22,783","1,127,677","138,066","141,082","179,499","155,283","168,204","238,222","297,180","58,151"
2020년08월_남_60~69세,"3,222,386","578,951","247,645","152,241","177,354","76,411","85,171","71,424","14,293","738,664","117,102","108,705","135,921","123,784","134,178","198,052","223,810","38,680"
2020년08월_남_70~79세,"1,652,021","319,373","131,230","76,119","80,115","40,917","41,097","27,971","6,418","344,081","60,768","53,932","77,086","74,225","83,776","106,928","107,545","20,440"
