,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년08월_계_총인구수,"147,235","12,501","9,304","10,850","17,367","11,647","11,325","11,166","11,281","8,054","9,742","16,025","9,457","8,516"
2020년08월_계_연령구간인구수,"147,235","12,501","9,304","10,850","17,367","11,647","11,325","11,166","11,281","8,054","9,742","16,025","9,457","8,516"
2020년08월_계_0~9세,"6,966",835,408,687,871,548,407,383,480,295,575,800,348,329
2020년08월_계_10~19세,"9,585","1,051",528,888,"1,400",772,682,646,644,449,641,930,507,447
2020년08월_계_20~29세,"20,459","1,248","1,138","1,098","2,083","1,761","2,077","1,557","1,658","1,558","1,418","2,437","1,406","1,020"
2020년08월_계_30~39세,"17,378","1,338","1,182","1,121","1,940","1,458","1,396","1,150","1,230",941,"1,366","2,184","1,148",924
2020년08월_계_40~49세,"20,593","2,035","1,369","1,495","2,629","1,621","1,468","1,527","1,406",988,"1,431","2,336","1,206","1,082"
2020년08월_계_50~59세,"25,205","1,962","1,663","1,829","2,968","2,055","1,815","2,043","2,057","1,307","1,576","2,730","1,658","1,542"
2020년08월_계_60~69세,"23,733","1,766","1,482","1,850","2,799","1,816","1,684","1,960","2,032","1,219","1,420","2,365","1,657","1,683"
2020년08월_계_70~79세,"15,156","1,385",933,"1,148","1,677","1,098","1,192","1,286","1,221",845,861,"1,508","1,006",996
2020년08월_계_80~89세,"7,163",750,536,630,883,442,534,541,493,404,401,636,469,444
2020년08월_계_90~99세,913,123,58,98,106,73,63,63,52,44,48,89,50,46
2020년08월_계_100세 이상,84,8,7,6,11,3,7,10,8,4,5,10,2,3
2020년08월_남_총인구수,"70,744","5,906","4,461","5,202","8,240","5,678","5,349","5,562","5,503","3,831","4,677","7,803","4,481","4,051"
2020년08월_남_연령구간인구수,"70,744","5,906","4,461","5,202","8,240","5,678","5,349","5,562","5,503","3,831","4,677","7,803","4,481","4,051"
2020년08월_남_0~9세,"3,613",459,202,358,463,284,202,208,240,168,286,405,180,158
2020년08월_남_10~19세,"5,031",568,292,454,707,420,323,344,355,239,330,493,271,235
2020년08월_남_20~29세,"10,297",634,543,589,"1,064",893,979,818,867,694,716,"1,263",692,545
2020년08월_남_30~39세,"9,080",670,627,569,987,755,725,641,679,498,675,"1,126",602,526
2020년08월_남_40~49세,"10,365",982,697,708,"1,230",840,765,848,737,532,700,"1,178",608,540
2020년08월_남_50~59세,"12,247",963,828,860,"1,481",970,896,"1,063",997,628,784,"1,303",765,709
2020년08월_남_60~69세,"10,839",775,686,868,"1,244",842,778,893,924,560,662,"1,101",751,755
2020년08월_남_70~79세,"6,442",544,376,515,694,499,485,549,533,353,378,659,440,417
2020년08월_남_80~89세,"2,581",279,196,247,344,157,174,185,156,147,138,246,157,155
2020년08월_남_90~99세,231,32,12,32,24,18,19,12,12,11,8,27,14,10
2020년08월_남_100세 이상,18,0,2,2,2,0,3,1,3,1,0,2,1,1
2020년08월_여_총인구수,"76,491","6,595","4,843","5,648","9,127","5,969","5,976","5,604","5,778","4,223","5,065","8,222","4,976","4,465"
2020년08월_여_연령구간인구수,"76,491","6,595","4,843","5,648","9,127","5,969","5,976","5,604","5,778","4,223","5,065","8,222","4,976","4,465"
2020년08월_여_0~9세,"3,353",376,206,329,408,264,205,175,240,127,289,395,168,171
2020년08월_여_10~19세,"4,554",483,236,434,693,352,359,302,289,210,311,437,236,212
2020년08월_여_20~29세,"10,162",614,595,509,"1,019",868,"1,098",739,791,864,702,"1,174",714,475
2020년08월_여_30~39세,"8,298",668,555,552,953,703,671,509,551,443,691,"1,058",546,398
2020년08월_여_40~49세,"10,228","1,053",672,787,"1,399",781,703,679,669,456,731,"1,158",598,542
2020년08월_여_50~59세,"12,958",999,835,969,"1,487","1,085",919,980,"1,060",679,792,"1,427",893,833
2020년08월_여_60~69세,"12,894",991,796,982,"1,555",974,906,"1,067","1,108",659,758,"1,264",906,928
2020년08월_여_70~79세,"8,714",841,557,633,983,599,707,737,688,492,483,849,566,579
2020년08월_여_80~89세,"4,582",471,340,383,539,285,360,356,337,257,263,390,312,289
2020년08월_여_90~99세,682,91,46,66,82,55,44,51,40,33,40,62,36,36
2020년08월_여_100세 이상,66,8,5,4,9,3,4,9,5,3,5,8,1,2
