,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년05월_계_총인구수,"510,833","44,879","36,292","9,991","55,933","12,119","42,261","22,005","16,096","20,334","22,531","32,184","22,953","21,306","71,217","1,970","23,814","31,312","23,636"
2021년05월_계_연령구간인구수,"510,833","44,879","36,292","9,991","55,933","12,119","42,261","22,005","16,096","20,334","22,531","32,184","22,953","21,306","71,217","1,970","23,814","31,312","23,636"
2021년05월_계_0~9세,"49,027","3,506","1,602",431,"7,309",664,"5,794","1,519","1,385","1,134","1,278","2,366","1,711","1,645","10,806",41,"1,708","3,701","2,427"
2021년05월_계_10~19세,"50,384","3,512","3,168",737,"5,712","1,175","3,386","2,187","1,495","1,117","1,955","3,524","2,105","2,669","8,098",50,"2,832","3,968","2,694"
2021년05월_계_20~29세,"70,324","6,776","5,910","1,406","6,677","1,670","4,180","2,867","1,892","3,227","3,787","5,204","3,055","3,567","9,047",163,"3,694","3,964","3,238"
2021년05월_계_30~39세,"78,680","7,004","3,896",970,"9,784","1,109","8,289","2,632","2,372","3,996","3,349","4,342","3,141","2,420","14,379",172,"2,568","4,695","3,562"
2021년05월_계_40~49세,"92,108","6,586","5,181","1,280","9,798","1,900","7,507","3,813","3,170","4,199","4,520","6,170","4,599","3,800","14,920",176,"4,142","6,204","4,143"
2021년05월_계_50~59세,"88,962","8,560","8,084","2,242","8,634","2,487","5,728","4,091","2,712","3,786","4,320","6,248","4,586","4,324","8,653",463,"4,877","5,156","4,011"
2021년05월_계_60~69세,"50,676","5,668","5,251","1,727","5,174","1,709","4,641","2,878","1,818","1,900","2,184","2,667","2,394","1,684","3,828",566,"2,264","2,233","2,090"
2021년05월_계_70~79세,"19,825","2,059","2,105",755,"1,849",877,"1,831","1,297",843,658,748,"1,028",876,723,"1,040",228,"1,076",912,920
2021년05월_계_80~89세,"9,319","1,031",953,378,844,459,764,624,356,273,332,563,404,431,379,88,566,412,462
2021년05월_계_90~99세,"1,423",168,119,56,147,66,126,86,49,41,55,69,80,42,66,19,82,65,87
2021년05월_계_100세 이상,105,9,23,9,5,3,15,11,4,3,3,3,2,1,1,4,5,2,2
2021년05월_남_총인구수,"266,839","22,766","18,749","5,250","27,938","6,354","21,409","11,550","8,389","12,836","13,307","17,431","12,931","10,558","36,471","1,205","12,130","15,796","11,769"
2021년05월_남_연령구간인구수,"266,839","22,766","18,749","5,250","27,938","6,354","21,409","11,550","8,389","12,836","13,307","17,431","12,931","10,558","36,471","1,205","12,130","15,796","11,769"
2021년05월_남_0~9세,"24,915","1,801",852,217,"3,680",320,"2,922",788,685,574,640,"1,185",868,857,"5,472",21,884,"1,897","1,252"
2021년05월_남_10~19세,"25,893","1,805","1,661",384,"2,913",620,"1,733","1,137",787,575,"1,012","1,817","1,094","1,356","4,070",28,"1,476","2,059","1,366"
2021년05월_남_20~29세,"38,203","3,555","3,219",786,"3,422",971,"2,122","1,592","1,015","2,130","2,422","3,030","1,754","1,834","4,741",101,"1,949","1,990","1,570"
2021년05월_남_30~39세,"42,084","3,651","2,165",558,"4,809",587,"4,153","1,484","1,254","2,737","2,118","2,537","1,875","1,226","7,305",117,"1,341","2,305","1,862"
2021년05월_남_40~49세,"49,623","3,397","2,709",666,"5,065","1,006","4,089","2,116","1,749","2,838","2,811","3,424","2,795","1,790","7,905",125,"2,030","3,102","2,006"
2021년05월_남_50~59세,"46,786","4,242","4,134","1,185","4,278","1,377","2,879","2,145","1,477","2,411","2,610","3,308","2,606","2,162","4,363",292,"2,559","2,703","2,055"
2021년05월_남_60~69세,"26,934","3,015","2,784",936,"2,631",915,"2,354","1,469",878,"1,137","1,242","1,487","1,377",894,"2,009",342,"1,200","1,189","1,075"
2021년05월_남_70~79세,"9,045",945,930,363,866,398,890,580,395,340,335,430,403,278,473,135,468,404,412
2021년05월_남_80~89세,"3,049",326,267,130,249,141,240,222,138,87,109,193,148,147,123,37,208,132,152
2021년05월_남_90~99세,277,28,25,20,24,18,23,14,9,6,6,20,10,14,10,5,13,14,18
2021년05월_남_100세 이상,30,1,3,5,1,1,4,3,2,1,2,0,1,0,0,2,2,1,1
2021년05월_여_총인구수,"243,994","22,113","17,543","4,741","27,995","5,765","20,852","10,455","7,707","7,498","9,224","14,753","10,022","10,748","34,746",765,"11,684","15,516","11,867"
2021년05월_여_연령구간인구수,"243,994","22,113","17,543","4,741","27,995","5,765","20,852","10,455","7,707","7,498","9,224","14,753","10,022","10,748","34,746",765,"11,684","15,516","11,867"
2021년05월_여_0~9세,"24,112","1,705",750,214,"3,629",344,"2,872",731,700,560,638,"1,181",843,788,"5,334",20,824,"1,804","1,175"
2021년05월_여_10~19세,"24,491","1,707","1,507",353,"2,799",555,"1,653","1,050",708,542,943,"1,707","1,011","1,313","4,028",22,"1,356","1,909","1,328"
2021년05월_여_20~29세,"32,121","3,221","2,691",620,"3,255",699,"2,058","1,275",877,"1,097","1,365","2,174","1,301","1,733","4,306",62,"1,745","1,974","1,668"
2021년05월_여_30~39세,"36,596","3,353","1,731",412,"4,975",522,"4,136","1,148","1,118","1,259","1,231","1,805","1,266","1,194","7,074",55,"1,227","2,390","1,700"
2021년05월_여_40~49세,"42,485","3,189","2,472",614,"4,733",894,"3,418","1,697","1,421","1,361","1,709","2,746","1,804","2,010","7,015",51,"2,112","3,102","2,137"
