카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2020년10월_계_총인구수,"111,605","15,624","4,658","5,090","3,023","6,401","7,091","4,907","4,183","2,547","22,043","18,632","17,406"
2020년10월_계_연령구간인구수,"111,605","15,624","4,658","5,090","3,023","6,401","7,091","4,907","4,183","2,547","22,043","18,632","17,406"
2020년10월_계_0~9세,"7,488","1,048",185,181,99,287,231,153,139,111,"1,596","1,416","2,042"
2020년10월_계_10~19세,"9,638","1,312",270,282,148,441,421,372,258,142,"2,037","2,256","1,699"
2020년10월_계_20~29세,"12,124","1,669",465,416,234,549,616,407,348,205,"2,839","2,395","1,981"
2020년10월_계_30~39세,"11,563","1,829",295,364,199,515,455,301,304,173,"2,558","2,012","2,558"
2020년10월_계_40~49세,"16,022","2,259",413,527,283,683,700,593,481,282,"3,541","3,194","3,066"
2020년10월_계_50~59세,"20,092","2,811",866,968,585,"1,151","1,346",997,870,457,"3,903","3,331","2,807"
2020년10월_계_60~69세,"18,338","2,512","1,053","1,191",752,"1,358","1,617",994,876,598,"3,181","2,323","1,883"
2020년10월_계_70~79세,"10,193","1,356",654,711,457,850,996,625,546,367,"1,571","1,142",918
2020년10월_계_80~89세,"5,269",710,401,376,222,487,613,398,296,183,697,496,390
2020년10월_계_90~99세,826,108,54,72,43,79,91,61,63,27,110,62,56
2020년10월_계_100세 이상,52,10,2,2,1,1,5,6,2,2,10,5,6
2020년10월_남_총인구수,"56,710","8,077","2,410","2,660","1,566","3,285","3,707","2,544","2,154","1,286","11,029","9,325","8,667"
2020년10월_남_연령구간인구수,"56,710","8,077","2,410","2,660","1,566","3,285","3,707","2,544","2,154","1,286","11,029","9,325","8,667"
2020년10월_남_0~9세,"3,852",508,106,94,53,123,126,80,71,53,827,744,"1,067"
2020년10월_남_10~19세,"4,963",677,148,156,71,225,234,218,134,65,"1,046","1,151",838
2020년10월_남_20~29세,"6,662",934,272,236,150,306,382,222,203,115,"1,519","1,275","1,048"
2020년10월_남_30~39세,"6,079","1,028",165,210,107,282,260,168,162,96,"1,308","1,035","1,258"
2020년10월_남_40~49세,"8,299","1,206",233,295,159,406,376,325,264,156,"1,780","1,549","1,550"
2020년10월_남_50~59세,"10,557","1,499",465,530,319,635,732,569,487,237,"1,960","1,737","1,387"
2020년10월_남_60~69세,"9,328","1,278",533,620,389,710,864,522,432,301,"1,580","1,152",947
2020년10월_남_70~79세,"4,818",654,335,353,225,414,459,276,279,178,726,496,423
2020년10월_남_80~89세,"1,951",260,140,151,86,168,244,144,109,77,258,174,140
2020년10월_남_90~99세,185,29,12,15,7,15,28,19,12,7,21,12,8
2020년10월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1
2020년10월_여_총인구수,"54,895","7,547","2,248","2,430","1,457","3,116","3,384","2,363","2,029","1,261","11,014","9,307","8,739"
2020년10월_여_연령구간인구수,"54,895","7,547","2,248","2,430","1,457","3,116","3,384","2,363","2,029","1,261","11,014","9,307","8,739"
2020년10월_여_0~9세,"3,636",540,79,87,46,164,105,73,68,58,769,672,975
2020년10월_여_10~19세,"4,675",635,122,126,77,216,187,154,124,77,991,"1,105",861
2020년10월_여_20~29세,"5,462",735,193,180,84,243,234,185,145,90,"1,320","1,120",933
2020년10월_여_30~39세,"5,484",801,130,154,92,233,195,133,142,77,"1,250",977,"1,300"
2020년10월_여_40~49세,"7,723","1,053",180,232,124,277,324,268,217,126,"1,761","1,645","1,516"
2020년10월_여_50~59세,"9,535","1,312",401,438,266,516,614,428,383,220,"1,943","1,594","1,420"
2020년10월_여_60~69세,"9,010","1,234",520,571,363,648,753,472,444,297,"1,601","1,171",936
2020년10월_여_70~79세,"5,375",702,319,358,232,436,537,349,267,189,845,646,495
2020년10월_여_80~89세,"3,318",450,261,225,136,319,369,254,187,106,439,322,250
2020년10월_여_90~99세,641,79,42,57,36,64,63,42,51,20,89,50,48
2020년10월_여_100세 이상,36,6,1,2,1,0,3,5,1,1,6,5,5
