,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년11월_계_총인구수,"27,977","12,746","2,793","2,291","2,597","2,975","4,575"
2021년11월_계_연령구간인구수,"27,977","12,746","2,793","2,291","2,597","2,975","4,575"
2021년11월_계_0~9세,"1,272",819,53,59,71,87,183
2021년11월_계_10~19세,"1,780","1,119",153,90,90,114,214
2021년11월_계_20~29세,"2,350","1,239",201,185,165,147,413
2021년11월_계_30~39세,"2,261","1,246",153,156,184,207,315
2021년11월_계_40~49세,"3,441","1,931",280,215,246,305,464
2021년11월_계_50~59세,"4,964","2,182",515,428,449,484,906
2021년11월_계_60~69세,"5,944","2,202",676,522,686,750,"1,108"
2021년11월_계_70~79세,"3,629","1,240",469,365,426,507,622
2021년11월_계_80~89세,"1,988",648,254,237,240,315,294
2021년11월_계_90~99세,335,115,39,32,38,56,55
2021년11월_계_100세 이상,13,5,0,2,2,3,1
2021년11월_남_총인구수,"14,289","6,485","1,446","1,152","1,339","1,532","2,335"
2021년11월_남_연령구간인구수,"14,289","6,485","1,446","1,152","1,339","1,532","2,335"
2021년11월_남_0~9세,656,421,30,28,36,41,100
2021년11월_남_10~19세,941,594,88,37,52,58,112
2021년11월_남_20~29세,"1,400",754,119,98,102,90,237
2021년11월_남_30~39세,"1,243",648,90,88,113,115,189
2021년11월_남_40~49세,"1,870",973,160,132,146,197,262
2021년11월_남_50~59세,"2,671","1,153",296,239,222,279,482
2021년11월_남_60~69세,"3,003","1,084",336,269,364,395,555
2021년11월_남_70~79세,"1,691",593,207,159,199,246,287
2021년11월_남_80~89세,742,237,114,94,96,107,94
2021년11월_남_90~99세,70,26,6,8,9,4,17
2021년11월_남_100세 이상,2,2,0,0,0,0,0
2021년11월_여_총인구수,"13,688","6,261","1,347","1,139","1,258","1,443","2,240"
2021년11월_여_연령구간인구수,"13,688","6,261","1,347","1,139","1,258","1,443","2,240"
2021년11월_여_0~9세,616,398,23,31,35,46,83
2021년11월_여_10~19세,839,525,65,53,38,56,102
2021년11월_여_20~29세,950,485,82,87,63,57,176
2021년11월_여_30~39세,"1,018",598,63,68,71,92,126
2021년11월_여_40~49세,"1,571",958,120,83,100,108,202
2021년11월_여_50~59세,"2,293","1,029",219,189,227,205,424
2021년11월_여_60~69세,"2,941","1,118",340,253,322,355,553
2021년11월_여_70~79세,"1,938",647,262,206,227,261,335
2021년11월_여_80~89세,"1,246",411,140,143,144,208,200
2021년11월_여_90~99세,265,89,33,24,29,52,38
2021년11월_여_100세 이상,11,3,0,2,2,3,1
