카테고리,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2021년08월_계_총인구수,"103,333","4,525","3,901","10,860","9,669","8,583","10,404","4,237","4,589","3,063","7,805","11,532","7,874","16,291"
2021년08월_계_연령구간인구수,"103,333","4,525","3,901","10,860","9,669","8,583","10,404","4,237","4,589","3,063","7,805","11,532","7,874","16,291"
2021년08월_계_0~9세,"7,283",67,87,926,"1,018",517,599,170,194,81,726,572,524,"1,802"
2021년08월_계_10~19세,"7,294",138,198,613,846,632,786,319,354,131,550,911,635,"1,181"
2021년08월_계_20~29세,"14,873","1,167",804,"1,414","1,057","1,165","1,318",870,929,884,"1,051","1,322",921,"1,971"
2021년08월_계_30~39세,"13,471",628,451,"1,861","1,382","1,070","1,080",450,411,355,"1,036","1,046",974,"2,727"
2021년08월_계_40~49세,"14,032",480,489,"1,521","1,486","1,185","1,371",540,567,316,"1,100","1,420","1,076","2,481"
2021년08월_계_50~59세,"15,520",620,497,"1,678","1,289","1,432","1,721",604,723,377,"1,176","1,796","1,252","2,355"
2021년08월_계_60~69세,"15,050",739,580,"1,504","1,165","1,225","1,724",595,621,431,"1,046","2,030","1,295","2,095"
2021년08월_계_70~79세,"10,260",463,500,922,917,876,"1,185",431,483,312,754,"1,480",824,"1,113"
2021년08월_계_80~89세,"4,844",194,256,354,455,425,554,223,267,155,326,828,322,485
2021년08월_계_90~99세,671,28,37,62,52,53,63,28,39,19,39,123,50,78
2021년08월_계_100세 이상,35,1,2,5,2,3,3,7,1,2,1,4,1,3
2021년08월_남_총인구수,"50,981","2,312","1,967","5,652","4,715","4,288","5,053","2,136","2,349","1,631","3,725","5,447","3,818","7,888"
2021년08월_남_연령구간인구수,"50,981","2,312","1,967","5,652","4,715","4,288","5,053","2,136","2,349","1,631","3,725","5,447","3,818","7,888"
2021년08월_남_0~9세,"3,764",39,39,470,538,273,304,102,116,38,380,287,279,899
2021년08월_남_10~19세,"3,721",59,105,319,449,326,393,159,195,52,270,477,330,587
2021년08월_남_20~29세,"7,638",464,408,745,577,637,677,461,516,470,503,704,470,"1,006"
2021년08월_남_30~39세,"6,972",342,263,"1,013",690,553,553,263,222,207,493,536,494,"1,343"
2021년08월_남_40~49세,"7,327",303,262,836,726,640,714,290,296,199,578,668,560,"1,255"
2021년08월_남_50~59세,"7,679",355,256,918,631,717,838,295,371,220,567,836,593,"1,082"
2021년08월_남_60~69세,"7,115",401,285,760,525,589,790,280,299,218,476,900,591,"1,001"
2021년08월_남_70~79세,"4,539",254,206,433,376,374,517,188,198,148,316,639,374,516
2021년08월_남_80~89세,"2,025",85,132,143,186,165,246,90,120,71,128,358,116,185
2021년08월_남_90~99세,193,10,11,15,16,14,21,5,16,7,14,40,11,13
2021년08월_남_100세 이상,8,0,0,0,1,0,0,3,0,1,0,2,0,1
2021년08월_여_총인구수,"52,352","2,213","1,934","5,208","4,954","4,295","5,351","2,101","2,240","1,432","4,080","6,085","4,056","8,403"
2021년08월_여_연령구간인구수,"52,352","2,213","1,934","5,208","4,954","4,295","5,351","2,101","2,240","1,432","4,080","6,085","4,056","8,403"
2021년08월_여_0~9세,"3,519",28,48,456,480,244,295,68,78,43,346,285,245,903
2021년08월_여_10~19세,"3,573",79,93,294,397,306,393,160,159,79,280,434,305,594
2021년08월_여_20~29세,"7,235",703,396,669,480,528,641,409,413,414,548,618,451,965
2021년08월_여_30~39세,"6,499",286,188,848,692,517,527,187,189,148,543,510,480,"1,384"
2021년08월_여_40~49세,"6,705",177,227,685,760,545,657,250,271,117,522,752,516,"1,226"
2021년08월_여_50~59세,"7,841",265,241,760,658,715,883,309,352,157,609,960,659,"1,273"
2021년08월_여_60~69세,"7,935",338,295,744,640,636,934,315,322,213,570,"1,130",704,"1,094"
2021년08월_여_70~79세,"5,721",209,294,489,541,502,668,243,285,164,438,841,450,597
2021년08월_여_80~89세,"2,819",109,124,211,269,260,308,133,147,84,198,470,206,300
2021년08월_여_90~99세,478,18,26,47,36,39,42,23,23,12,25,83,39,65
2021년08월_여_100세 이상,27,1,2,5,1,3,3,4,1,1,1,2,1,2
