카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년09월_계_총인구수,"229,249","36,095","20,008","60,564","31,916","16,195","64,471"
2020년09월_계_연령구간인구수,"229,249","36,095","20,008","60,564","31,916","16,195","64,471"
2020년09월_계_0~9세,"24,198","4,100",948,"7,281","4,094","1,456","6,319"
2020년09월_계_10~19세,"24,912","4,249","1,186","6,875","3,289","1,987","7,326"
2020년09월_계_20~29세,"31,100","4,465","3,739","7,014","4,090","2,187","9,605"
2020년09월_계_30~39세,"39,262","5,697","4,792","10,031","6,099","2,415","10,228"
2020년09월_계_40~49세,"43,141","6,792","3,695","11,450","6,007","3,108","12,089"
2020년09월_계_50~59세,"33,044","5,345","2,798","8,399","4,216","2,488","9,798"
2020년09월_계_60~69세,"19,477","3,086","1,703","5,494","2,554","1,424","5,216"
2020년09월_계_70~79세,"9,654","1,579",806,"2,742","1,069",764,"2,694"
2020년09월_계_80~89세,"3,906",687,298,"1,127",419,330,"1,045"
2020년09월_계_90~99세,510,87,37,139,73,31,143
2020년09월_계_100세 이상,45,8,6,12,6,5,8
2020년09월_남_총인구수,"118,568","18,110","11,749","30,591","16,368","8,341","33,409"
2020년09월_남_연령구간인구수,"118,568","18,110","11,749","30,591","16,368","8,341","33,409"
2020년09월_남_0~9세,"12,328","2,124",472,"3,695","2,083",765,"3,189"
2020년09월_남_10~19세,"12,724","2,095",596,"3,478","1,668","1,029","3,858"
2020년09월_남_20~29세,"16,835","2,339","2,121","3,725","2,166","1,203","5,281"
2020년09월_남_30~39세,"21,200","2,933","3,088","5,194","3,196","1,321","5,468"
2020년09월_남_40~49세,"22,868","3,447","2,281","6,057","3,148","1,575","6,360"
2020년09월_남_50~59세,"17,174","2,725","1,749","4,205","2,124","1,304","5,067"
2020년09월_남_60~69세,"9,621","1,517",926,"2,610","1,289",689,"2,590"
2020년09월_남_70~79세,"4,272",658,380,"1,211",530,335,"1,158"
2020년09월_남_80~89세,"1,429",254,126,384,152,111,402
2020년09월_남_90~99세,104,15,8,29,11,6,35
2020년09월_남_100세 이상,13,3,2,3,1,3,1
2020년09월_여_총인구수,"110,681","17,985","8,259","29,973","15,548","7,854","31,062"
2020년09월_여_연령구간인구수,"110,681","17,985","8,259","29,973","15,548","7,854","31,062"
2020년09월_여_0~9세,"11,870","1,976",476,"3,586","2,011",691,"3,130"
2020년09월_여_10~19세,"12,188","2,154",590,"3,397","1,621",958,"3,468"
2020년09월_여_20~29세,"14,265","2,126","1,618","3,289","1,924",984,"4,324"
2020년09월_여_30~39세,"18,062","2,764","1,704","4,837","2,903","1,094","4,760"
2020년09월_여_40~49세,"20,273","3,345","1,414","5,393","2,859","1,533","5,729"
2020년09월_여_50~59세,"15,870","2,620","1,049","4,194","2,092","1,184","4,731"
2020년09월_여_60~69세,"9,856","1,569",777,"2,884","1,265",735,"2,626"
2020년09월_여_70~79세,"5,382",921,426,"1,531",539,429,"1,536"
2020년09월_여_80~89세,"2,477",433,172,743,267,219,643
2020년09월_여_90~99세,406,72,29,110,62,25,108
2020년09월_여_100세 이상,32,5,4,9,5,2,7
