,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년03월_계_총인구수,"2,408,875","75,647","342,656","169,432","146,006","438,365","422,759","554,177","259,833"
2021년03월_계_연령구간인구수,"2,408,875","75,647","342,656","169,432","146,006","438,365","422,759","554,177","259,833"
2021년03월_계_0~9세,"175,023","4,975","24,843","7,315","6,690","33,229","29,580","39,195","29,196"
2021년03월_계_10~19세,"223,056","5,001","26,477","10,652","9,287","42,656","50,675","54,333","23,975"
2021년03월_계_20~29세,"318,439","11,719","41,595","21,274","20,352","61,942","54,732","78,032","28,793"
2021년03월_계_30~39세,"290,921","10,651","43,667","17,236","16,962","53,279","42,446","65,349","41,331"
2021년03월_계_40~49세,"380,397","10,585","51,279","22,523","20,109","71,680","72,293","88,230","43,698"
2021년03월_계_50~59세,"422,961","11,203","56,992","33,728","24,733","77,916","75,004","102,675","40,710"
2021년03월_계_60~69세,"332,302","10,254","52,437","31,575","24,295","55,146","52,867","74,955","30,773"
2021년03월_계_70~79세,"176,041","7,274","30,350","17,244","15,108","28,455","28,930","34,538","14,142"
2021년03월_계_80~89세,"79,451","3,430","13,383","7,070","7,425","12,508","14,238","15,010","6,387"
2021년03월_계_90~99세,"9,757",483,"1,552",757,977,"1,462","1,911","1,808",807
2021년03월_계_100세 이상,527,72,81,58,68,92,83,52,21
2021년03월_남_총인구수,"1,188,070","36,334","168,722","84,873","70,169","218,197","204,586","273,311","131,878"
2021년03월_남_연령구간인구수,"1,188,070","36,334","168,722","84,873","70,169","218,197","204,586","273,311","131,878"
2021년03월_남_0~9세,"89,724","2,556","12,708","3,786","3,452","17,010","15,255","20,056","14,901"
2021년03월_남_10~19세,"116,435","2,565","13,876","5,515","4,901","22,167","26,738","28,154","12,519"
2021년03월_남_20~29세,"169,898","5,615","22,224","11,689","10,180","33,448","29,396","41,568","15,778"
2021년03월_남_30~39세,"151,679","5,502","23,102","9,792","8,945","27,987","20,702","34,048","21,601"
2021년03월_남_40~49세,"187,691","5,368","26,311","12,109","10,158","35,154","32,973","42,811","22,807"
2021년03월_남_50~59세,"207,246","5,536","27,734","17,040","12,086","38,670","36,294","49,648","20,238"
2021년03월_남_60~69세,"158,081","4,744","24,356","14,778","11,096","26,789","24,960","36,089","15,269"
2021년03월_남_70~79세,"77,066","3,060","13,232","7,553","6,427","12,272","12,589","15,412","6,521"
2021년03월_남_80~89세,"28,025","1,261","4,814","2,462","2,688","4,382","5,211","5,127","2,080"
2021년03월_남_90~99세,"2,107",112,338,135,223,302,447,389,161
2021년03월_남_100세 이상,118,15,27,14,13,16,21,9,3
2021년03월_여_총인구수,"1,220,805","39,313","173,934","84,559","75,837","220,168","218,173","280,866","127,955"
2021년03월_여_연령구간인구수,"1,220,805","39,313","173,934","84,559","75,837","220,168","218,173","280,866","127,955"
2021년03월_여_0~9세,"85,299","2,419","12,135","3,529","3,238","16,219","14,325","19,139","14,295"
2021년03월_여_10~19세,"106,621","2,436","12,601","5,137","4,386","20,489","23,937","26,179","11,456"
2021년03월_여_20~29세,"148,541","6,104","19,371","9,585","10,172","28,494","25,336","36,464","13,015"
2021년03월_여_30~39세,"139,242","5,149","20,565","7,444","8,017","25,292","21,744","31,301","19,730"
2021년03월_여_40~49세,"192,706","5,217","24,968","10,414","9,951","36,526","39,320","45,419","20,891"
2021년03월_여_50~59세,"215,715","5,667","29,258","16,688","12,647","39,246","38,710","53,027","20,472"
2021년03월_여_60~69세,"174,221","5,510","28,081","16,797","13,199","28,357","27,907","38,866","15,504"
2021년03월_여_70~79세,"98,975","4,214","17,118","9,691","8,681","16,183","16,341","19,126","7,621"
2021년03월_여_80~89세,"51,426","2,169","8,569","4,608","4,737","8,126","9,027","9,883","4,307"
2021년03월_여_90~99세,"7,650",371,"1,214",622,754,"1,160","1,464","1,419",646
2021년03월_여_100세 이상,409,57,54,44,55,76,62,43,18
