,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2021년10월_계_총인구수,"340,814","23,020","19,669","15,516","21,576","16,219","28,700","11,335","34,817","22,333","24,782","28,142","17,802","21,636","26,603","28,664"
2021년10월_계_연령구간인구수,"340,814","23,020","19,669","15,516","21,576","16,219","28,700","11,335","34,817","22,333","24,782","28,142","17,802","21,636","26,603","28,664"
2021년10월_계_0~9세,"18,036",359,814,707,"1,083",698,"1,325",516,"2,977",892,"1,503","2,204",689,785,"1,699","1,785"
2021년10월_계_10~19세,"24,995",718,982,724,"1,340",889,"1,847",523,"5,484","1,476","1,784","2,556",858,"1,094","2,275","2,445"
2021년10월_계_20~29세,"61,881","10,022","4,514","2,828","3,768","2,625","4,337","2,323","4,031","4,258","3,679","3,813","2,833","4,693","3,682","4,475"
2021년10월_계_30~39세,"54,759","4,495","3,598","2,929","3,902","2,655","4,224","2,555","3,576","3,682","3,724","4,092","2,721","4,275","3,770","4,561"
2021년10월_계_40~49세,"50,620","2,125","2,520","2,077","2,984","2,198","3,962","1,600","7,442","3,304","3,861","4,470","2,355","3,104","4,252","4,366"
2021년10월_계_50~59세,"53,863","2,080","2,814","2,465","3,461","2,851","5,226","1,460","5,686","3,564","4,115","4,668","3,017","3,096","4,535","4,825"
2021년10월_계_60~69세,"44,019","1,728","2,484","2,183","2,980","2,441","4,574","1,284","3,184","2,923","3,740","3,685","3,041","2,542","3,601","3,629"
2021년10월_계_70~79세,"22,011","1,003","1,321","1,136","1,453","1,276","2,279",728,"1,444","1,514","1,653","1,615","1,595","1,372","1,921","1,701"
2021년10월_계_80~89세,"9,336",433,561,420,530,512,819,306,840,646,630,897,621,589,768,764
2021년10월_계_90~99세,"1,229",54,59,46,73,68,99,38,148,73,88,138,70,71,95,109
2021년10월_계_100세 이상,65,3,2,1,2,6,8,2,5,1,5,4,2,15,5,4
2021년10월_남_총인구수,"164,425","10,958","9,709","7,513","10,174","8,044","14,068","5,210","16,840","10,824","12,026","13,467","8,880","10,301","12,837","13,574"
2021년10월_남_연령구간인구수,"164,425","10,958","9,709","7,513","10,174","8,044","14,068","5,210","16,840","10,824","12,026","13,467","8,880","10,301","12,837","13,574"
2021년10월_남_0~9세,"9,258",176,420,366,548,383,702,269,"1,555",448,754,"1,107",352,408,875,895
2021년10월_남_10~19세,"12,664",327,513,374,677,455,986,264,"2,799",782,958,"1,227",409,541,"1,147","1,205"
2021년10월_남_20~29세,"28,942","4,307","2,156","1,246","1,637","1,292","2,154",984,"2,007","2,028","1,800","1,905","1,400","2,125","1,817","2,084"
2021년10월_남_30~39세,"27,151","2,345","1,825","1,470","1,897","1,405","2,167","1,158","1,554","1,866","1,839","1,918","1,482","2,129","1,880","2,216"
2021년10월_남_40~49세,"24,967","1,200","1,321","1,081","1,474","1,129","2,006",815,"3,387","1,660","1,896","2,125","1,224","1,550","2,083","2,016"
2021년10월_남_50~59세,"26,366","1,119","1,431","1,251","1,622","1,396","2,475",672,"2,904","1,747","1,941","2,229","1,583","1,507","2,195","2,294"
2021년10월_남_60~69세,"20,936",821,"1,204","1,011","1,396","1,193","2,169",581,"1,577","1,366","1,800","1,816","1,457","1,178","1,628","1,739"
2021년10월_남_70~79세,"10,088",467,608,526,684,582,"1,062",326,671,640,768,737,720,615,887,795
2021년10월_남_80~89세,"3,702",180,222,181,226,190,318,125,339,264,246,352,236,227,303,293
2021년10월_남_90~99세,334,16,9,6,11,18,25,16,45,23,23,50,16,19,21,36
2021년10월_남_100세 이상,17,0,0,1,2,1,4,0,2,0,1,1,1,2,1,1
2021년10월_여_총인구수,"176,389","12,062","9,960","8,003","11,402","8,175","14,632","6,125","17,977","11,509","12,756","14,675","8,922","11,335","13,766","15,090"
2021년10월_여_연령구간인구수,"176,389","12,062","9,960","8,003","11,402","8,175","14,632","6,125","17,977","11,509","12,756","14,675","8,922","11,335","13,766","15,090"
2021년10월_여_0~9세,"8,778",183,394,341,535,315,623,247,"1,422",444,749,"1,097",337,377,824,890
2021년10월_여_10~19세,"12,331",391,469,350,663,434,861,259,"2,685",694,826,"1,329",449,553,"1,128","1,240"
2021년10월_여_20~29세,"32,939","5,715","2,358","1,582","2,131","1,333","2,183","1,339","2,024","2,230","1,879","1,908","1,433","2,568","1,865","2,391"
2021년10월_여_30~39세,"27,608","2,150","1,773","1,459","2,005","1,250","2,057","1,397","2,022","1,816","1,885","2,174","1,239","2,146","1,890","2,345"
2021년10월_여_40~49세,"25,653",925,"1,199",996,"1,510","1,069","1,956",785,"4,055","1,644","1,965","2,345","1,131","1,554","2,169","2,350"
2021년10월_여_50~59세,"27,497",961,"1,383","1,214","1,839","1,455","2,751",788,"2,782","1,817","2,174","2,439","1,434","1,589","2,340","2,531"
2021년10월_여_60~69세,"23,083",907,"1,280","1,172","1,584","1,248","2,405",703,"1,607","1,557","1,940","1,869","1,584","1,364","1,973","1,890"
2021년10월_여_70~79세,"11,923",536,713,610,769,694,"1,217",402,773,874,885,878,875,757,"1,034",906
2021년10월_여_80~89세,"5,634",253,339,239,304,322,501,181,501,382,384,545,385,362,465,471
2021년10월_여_90~99세,895,38,50,40,62,50,74,22,103,50,65,88,54,52,74,73
2021년10월_여_100세 이상,48,3,2,0,0,5,4,2,3,1,4,3,1,13,4,3
