카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년02월_계_총인구수,"152,304","49,415","2,197","3,132","2,909","2,933","2,861","1,794","1,739","58,390","12,461","12,599","1,874"
2020년02월_계_연령구간인구수,"152,304","49,415","2,197","3,132","2,909","2,933","2,861","1,794","1,739","58,390","12,461","12,599","1,874"
2020년02월_계_0~9세,"14,112","4,641",80,98,75,78,72,56,43,"6,937",998,972,62
2020년02월_계_10~19세,"16,478","5,302",155,139,120,141,97,93,74,"7,515","1,236","1,484",122
2020년02월_계_20~29세,"20,552","6,449",201,280,266,223,225,112,151,"8,378","1,716","2,332",219
2020년02월_계_30~39세,"19,129","6,286",137,170,196,181,176,108,135,"8,920","1,335","1,351",134
2020년02월_계_40~49세,"24,394","8,107",225,304,296,236,271,173,188,"10,813","2,039","1,529",213
2020년02월_계_50~59세,"28,787","8,540",463,698,600,573,525,356,325,"10,512","2,835","2,930",430
2020년02월_계_60~69세,"15,649","5,482",357,556,557,581,570,383,296,"3,477","1,480","1,588",322
2020년02월_계_70~79세,"7,926","2,814",307,496,458,501,537,290,290,"1,212",533,283,205
2020년02월_계_80~89세,"4,559","1,527",227,337,299,366,325,197,212,553,253,111,152
2020년02월_계_90~99세,696,257,44,53,41,52,61,24,24,70,36,19,15
2020년02월_계_100세 이상,22,10,1,1,1,1,2,2,1,3,0,0,0
2020년02월_남_총인구수,"79,213","25,237","1,143","1,543","1,485","1,463","1,408",905,946,"30,580","6,605","6,877","1,021"
2020년02월_남_연령구간인구수,"79,213","25,237","1,143","1,543","1,485","1,463","1,408",905,946,"30,580","6,605","6,877","1,021"
2020년02월_남_0~9세,"7,175","2,353",51,45,39,35,31,25,22,"3,517",517,507,33
2020년02월_남_10~19세,"8,529","2,747",90,75,61,78,53,57,42,"3,893",621,745,67
2020년02월_남_20~29세,"11,893","3,528",119,164,163,144,130,63,93,"4,761","1,019","1,567",142
2020년02월_남_30~39세,"10,212","3,247",82,82,110,97,107,60,82,"4,728",754,771,92
2020년02월_남_40~49세,"12,331","4,251",139,174,172,146,169,114,128,"5,248","1,077",575,138
2020년02월_남_50~59세,"15,806","4,516",268,405,336,322,302,197,211,"5,862","1,522","1,622",243
2020년02월_남_60~69세,"8,233","2,832",181,276,290,294,273,195,155,"1,878",784,900,175
2020년02월_남_70~79세,"3,476","1,233",126,212,202,212,231,111,134,516,249,158,92
2020년02월_남_80~89세,"1,422",480,74,96,103,126,104,78,73,166,57,28,37
2020년02월_남_90~99세,131,48,13,13,9,9,8,5,6,9,5,4,2
2020년02월_남_100세 이상,5,2,0,1,0,0,0,0,0,2,0,0,0
2020년02월_여_총인구수,"73,091","24,178","1,054","1,589","1,424","1,470","1,453",889,793,"27,810","5,856","5,722",853
2020년02월_여_연령구간인구수,"73,091","24,178","1,054","1,589","1,424","1,470","1,453",889,793,"27,810","5,856","5,722",853
2020년02월_여_0~9세,"6,937","2,288",29,53,36,43,41,31,21,"3,420",481,465,29
2020년02월_여_10~19세,"7,949","2,555",65,64,59,63,44,36,32,"3,622",615,739,55
2020년02월_여_20~29세,"8,659","2,921",82,116,103,79,95,49,58,"3,617",697,765,77
2020년02월_여_30~39세,"8,917","3,039",55,88,86,84,69,48,53,"4,192",581,580,42
2020년02월_여_40~49세,"12,063","3,856",86,130,124,90,102,59,60,"5,565",962,954,75
2020년02월_여_50~59세,"12,981","4,024",195,293,264,251,223,159,114,"4,650","1,313","1,308",187
2020년02월_여_60~69세,"7,416","2,650",176,280,267,287,297,188,141,"1,599",696,688,147
2020년02월_여_70~79세,"4,450","1,581",181,284,256,289,306,179,156,696,284,125,113
2020년02월_여_80~89세,"3,137","1,047",153,241,196,240,221,119,139,387,196,83,115
2020년02월_여_90~99세,565,209,31,40,32,43,53,19,18,61,31,15,13
2020년02월_여_100세 이상,17,8,1,0,1,1,2,2,1,1,0,0,0
