,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021년09월_계_총인구수,"262,465","47,464","4,772","13,300","50,834","38,591","29,481","25,413","22,934","7,830","3,637","18,209"
2021년09월_계_연령구간인구수,"262,465","47,464","4,772","13,300","50,834","38,591","29,481","25,413","22,934","7,830","3,637","18,209"
2021년09월_계_0~9세,"28,965","3,103",293,735,"5,639","6,111","5,055","2,563","2,370",390,97,"2,609"
2021년09월_계_10~19세,"24,345","4,348",169,"1,311","6,046","3,595","3,565","1,776","1,717",473,124,"1,221"
2021년09월_계_20~29세,"28,735","6,232",476,"1,804","5,588","3,793","2,376","2,557","3,062",652,264,"1,931"
2021년09월_계_30~39세,"40,923","5,047",603,"1,295","6,962","8,042","5,880","3,891","4,212",607,267,"4,117"
2021년09월_계_40~49세,"44,464","6,817",561,"2,375","9,639","7,349","6,108","3,736","3,609",903,308,"3,059"
2021년09월_계_50~59세,"40,981","9,571",921,"2,992","7,942","4,926","3,002","4,242","3,130","1,335",785,"2,135"
2021년09월_계_60~69세,"32,125","7,470",933,"1,732","5,578","3,216","2,206","3,979","2,719","1,678",872,"1,742"
2021년09월_계_70~79세,"14,441","3,306",492,663,"2,437","1,137",861,"1,808","1,371","1,035",509,822
2021년09월_계_80~89세,"6,619","1,393",284,352,887,375,371,773,669,642,360,513
2021년09월_계_90~99세,847,173,39,39,115,45,55,88,73,110,50,60
2021년09월_계_100세 이상,20,4,1,2,1,2,2,0,2,5,1,0
2021년09월_남_총인구수,"133,202","23,574","2,572","7,053","25,110","19,655","14,975","12,812","12,050","3,885","1,960","9,556"
2021년09월_남_연령구간인구수,"133,202","23,574","2,572","7,053","25,110","19,655","14,975","12,812","12,050","3,885","1,960","9,556"
2021년09월_남_0~9세,"14,763","1,601",149,361,"2,850","3,118","2,576","1,338","1,213",204,47,"1,306"
2021년09월_남_10~19세,"12,679","2,236",83,699,"3,151","1,860","1,861",936,903,250,63,637
2021년09월_남_20~29세,"15,827","3,435",282,"1,080","2,961","1,972","1,313","1,357","1,774",384,167,"1,102"
2021년09월_남_30~39세,"21,412","2,714",349,707,"3,460","4,087","2,918","2,012","2,410",308,162,"2,285"
2021년09월_남_40~49세,"23,174","3,270",348,"1,277","4,740","3,964","3,149","2,007","2,027",476,195,"1,721"
2021년09월_남_50~59세,"20,417","4,609",503,"1,617","3,771","2,426","1,544","2,078","1,586",713,466,"1,104"
2021년09월_남_60~69세,"15,912","3,675",528,923,"2,666","1,592","1,068","1,955","1,339",811,503,852
2021년09월_남_70~79세,"6,684","1,502",228,276,"1,176",527,415,838,586,510,243,383
2021년09월_남_80~89세,"2,165",499,95,105,315,102,113,272,197,206,105,156
2021년09월_남_90~99세,164,33,7,8,20,7,18,19,14,20,8,10
2021년09월_남_100세 이상,5,0,0,0,0,0,0,0,1,3,1,0
2021년09월_여_총인구수,"129,263","23,890","2,200","6,247","25,724","18,936","14,506","12,601","10,884","3,945","1,677","8,653"
2021년09월_여_연령구간인구수,"129,263","23,890","2,200","6,247","25,724","18,936","14,506","12,601","10,884","3,945","1,677","8,653"
2021년09월_여_0~9세,"14,202","1,502",144,374,"2,789","2,993","2,479","1,225","1,157",186,50,"1,303"
2021년09월_여_10~19세,"11,666","2,112",86,612,"2,895","1,735","1,704",840,814,223,61,584
2021년09월_여_20~29세,"12,908","2,797",194,724,"2,627","1,821","1,063","1,200","1,288",268,97,829
2021년09월_여_30~39세,"19,511","2,333",254,588,"3,502","3,955","2,962","1,879","1,802",299,105,"1,832"
2021년09월_여_40~49세,"21,290","3,547",213,"1,098","4,899","3,385","2,959","1,729","1,582",427,113,"1,338"
2021년09월_여_50~59세,"20,564","4,962",418,"1,375","4,171","2,500","1,458","2,164","1,544",622,319,"1,031"
2021년09월_여_60~69세,"16,213","3,795",405,809,"2,912","1,624","1,138","2,024","1,380",867,369,890
2021년09월_여_70~79세,"7,757","1,804",264,387,"1,261",610,446,970,785,525,266,439
2021년09월_여_80~89세,"4,454",894,189,247,572,273,258,501,472,436,255,357
2021년09월_여_90~99세,683,140,32,31,95,38,37,69,59,90,42,50
2021년09월_여_100세 이상,15,4,1,2,1,2,2,0,1,2,0,0
