,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년03월_계_총인구수,"318,866","20,563","14,773","13,245","11,676","28,062","22,200","25,893","18,046","16,267","12,013","28,070","40,660","28,794","11,768","20,067","6,769"
2020년03월_계_연령구간인구수,"318,866","20,563","14,773","13,245","11,676","28,062","22,200","25,893","18,046","16,267","12,013","28,070","40,660","28,794","11,768","20,067","6,769"
2020년03월_계_0~9세,"21,498","1,189",990,614,580,"1,792","1,314","1,563","1,164","1,194","1,100","2,154","3,390","1,890","1,363","1,043",158
2020년03월_계_10~19세,"26,595","1,648","1,166",790,845,"2,471","1,770","2,254","1,235","1,373","1,020","2,512","4,151","2,631",870,"1,553",306
2020년03월_계_20~29세,"41,262","2,425","1,633","1,581","1,480","3,687","3,749","4,981","2,059","2,286","1,190","3,606","4,651","3,541","1,340","2,433",620
2020년03월_계_30~39세,"39,361","2,444","1,677","1,629","1,236","3,316","3,016","3,388","2,383","2,294","1,710","3,898","4,723","2,950","2,167","2,003",527
2020년03월_계_40~49세,"47,515","2,854","2,234","1,701","1,623","4,047","3,105","3,648","2,664","2,467","2,142","4,469","6,833","4,305","1,805","2,784",834
2020년03월_계_50~59세,"56,674","3,574","2,453","2,338","2,048","5,041","3,800","4,285","3,355","2,980","1,954","4,898","7,264","5,641","1,835","3,879","1,329"
2020년03월_계_60~69세,"49,610","3,413","2,572","2,531","2,153","4,562","3,222","3,398","2,974","2,332","1,683","4,105","5,574","4,540","1,500","3,671","1,380"
2020년03월_계_70~79세,"25,596","2,024","1,487","1,427","1,228","2,244","1,569","1,730","1,574",944,894,"1,821","2,792","2,210",643,"1,933","1,076"
2020년03월_계_80~89세,"9,319",848,486,543,426,806,573,581,534,342,287,532,"1,106",931,199,667,458
2020년03월_계_90~99세,"1,274",119,66,77,49,84,72,61,82,53,31,72,165,147,41,89,66
2020년03월_계_100세 이상,162,25,9,14,8,12,10,4,22,2,2,3,11,8,5,12,15
2020년03월_남_총인구수,"159,079","9,948","7,263","6,377","5,677","13,844","11,154","12,923","9,270","8,148","6,249","14,238","20,361","14,193","5,980","9,967","3,487"
2020년03월_남_연령구간인구수,"159,079","9,948","7,263","6,377","5,677","13,844","11,154","12,923","9,270","8,148","6,249","14,238","20,361","14,193","5,980","9,967","3,487"
2020년03월_남_0~9세,"11,019",628,510,312,308,938,671,806,592,618,544,"1,143","1,695",956,706,517,75
2020년03월_남_10~19세,"13,867",866,591,408,428,"1,289",915,"1,092",651,737,556,"1,310","2,231","1,366",475,800,152
2020년03월_남_20~29세,"22,215","1,251",878,813,803,"1,980","2,007","2,796","1,131","1,154",660,"1,927","2,541","1,967",680,"1,266",361
2020년03월_남_30~39세,"20,822","1,290",857,900,670,"1,723","1,661","1,826","1,334","1,201",903,"2,065","2,379","1,495","1,109","1,087",322
2020년03월_남_40~49세,"24,227","1,407","1,166",901,766,"1,972","1,545","1,809","1,459","1,262","1,185","2,315","3,383","2,102",971,"1,482",502
2020년03월_남_50~59세,"27,696","1,632","1,205","1,092",977,"2,317","1,823","2,021","1,708","1,430","1,089","2,398","3,666","2,762",921,"1,890",765
2020년03월_남_60~69세,"24,009","1,601","1,178","1,121",977,"2,201","1,570","1,578","1,506","1,155",820,"2,021","2,820","2,266",734,"1,763",698
2020년03월_남_70~79세,"11,756",947,700,627,580,"1,110",737,771,689,458,391,866,"1,253",961,314,911,441
2020년03월_남_80~89세,"3,179",293,166,176,154,296,214,210,174,121,96,182,349,289,65,236,158
2020년03월_남_90~99세,256,28,12,21,13,15,8,13,21,12,4,10,43,28,5,14,9
2020년03월_남_100세 이상,33,5,0,6,1,3,3,1,5,0,1,1,1,1,0,1,4
2020년03월_여_총인구수,"159,787","10,615","7,510","6,868","5,999","14,218","11,046","12,970","8,776","8,119","5,764","13,832","20,299","14,601","5,788","10,100","3,282"
