카테고리,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2021년02월_계_총인구수,"69,236","22,711","7,847","4,927","7,036","4,504","4,262","3,050","4,020","1,862","3,242","2,886","2,233",389,267
2021년02월_계_연령구간인구수,"69,236","22,711","7,847","4,927","7,036","4,504","4,262","3,050","4,020","1,862","3,242","2,886","2,233",389,267
2021년02월_계_0~9세,"3,310","1,464",499,182,304,144,165,72,125,64,135,72,67,10,7
2021년02월_계_10~19세,"4,619","2,198",663,213,402,205,234,115,145,74,140,106,105,16,3
2021년02월_계_20~29세,"5,252","2,258",715,307,481,251,242,170,222,88,206,167,115,22,8
2021년02월_계_30~39세,"5,319","2,130",654,336,612,323,265,183,233,74,217,148,116,20,8
2021년02월_계_40~49세,"7,764","3,229","1,080",430,746,386,423,260,343,147,282,200,203,22,13
2021년02월_계_50~59세,"11,881","3,767","1,348",869,"1,327",784,722,517,622,331,554,528,389,75,48
2021년02월_계_60~69세,"14,466","3,710","1,427","1,245","1,662","1,168",993,777,952,447,688,658,555,102,82
2021년02월_계_70~79세,"10,020","2,457",869,780,958,769,706,604,791,368,592,596,401,66,63
2021년02월_계_80~89세,"5,734","1,309",505,471,453,400,436,325,529,241,376,366,245,49,29
2021년02월_계_90~99세,831,172,87,90,87,73,72,25,56,28,48,44,36,7,6
2021년02월_계_100세 이상,40,17,0,4,4,1,4,2,2,0,4,1,1,0,0
2021년02월_남_총인구수,"34,655","11,196","3,902","2,494","3,531","2,297","2,132","1,498","2,048",916,"1,632","1,492","1,173",199,145
2021년02월_남_연령구간인구수,"34,655","11,196","3,902","2,494","3,531","2,297","2,132","1,498","2,048",916,"1,632","1,492","1,173",199,145
2021년02월_남_0~9세,"1,749",790,246,86,156,67,86,45,69,35,72,42,45,6,4
2021년02월_남_10~19세,"2,374","1,102",336,110,207,123,129,58,76,35,71,53,64,9,1
2021년02월_남_20~29세,"2,991","1,261",403,180,286,141,138,96,142,49,111,105,65,10,4
2021년02월_남_30~39세,"2,780","1,088",322,175,307,187,147,97,121,36,131,82,71,11,5
2021년02월_남_40~49세,"4,223","1,638",557,251,423,230,240,147,201,80,176,132,124,14,10
2021년02월_남_50~59세,"6,108","1,909",699,442,655,376,376,251,338,187,305,289,209,44,28
2021년02월_남_60~69세,"7,219","1,788",699,638,829,609,501,380,493,220,329,338,299,49,47
2021년02월_남_70~79세,"4,715","1,088",418,403,466,373,320,286,374,167,288,282,182,37,31
2021년02월_남_80~89세,"2,283",485,200,187,183,172,177,128,224,103,134,155,105,16,14
2021년02월_남_90~99세,201,42,22,20,16,19,17,9,10,4,15,14,9,3,1
2021년02월_남_100세 이상,12,5,0,2,3,0,1,1,0,0,0,0,0,0,0
2021년02월_여_총인구수,"34,581","11,515","3,945","2,433","3,505","2,207","2,130","1,552","1,972",946,"1,610","1,394","1,060",190,122
2021년02월_여_연령구간인구수,"34,581","11,515","3,945","2,433","3,505","2,207","2,130","1,552","1,972",946,"1,610","1,394","1,060",190,122
2021년02월_여_0~9세,"1,561",674,253,96,148,77,79,27,56,29,63,30,22,4,3
2021년02월_여_10~19세,"2,245","1,096",327,103,195,82,105,57,69,39,69,53,41,7,2
2021년02월_여_20~29세,"2,261",997,312,127,195,110,104,74,80,39,95,62,50,12,4
2021년02월_여_30~39세,"2,539","1,042",332,161,305,136,118,86,112,38,86,66,45,9,3
2021년02월_여_40~49세,"3,541","1,591",523,179,323,156,183,113,142,67,106,68,79,8,3
2021년02월_여_50~59세,"5,773","1,858",649,427,672,408,346,266,284,144,249,239,180,31,20
2021년02월_여_60~69세,"7,247","1,922",728,607,833,559,492,397,459,227,359,320,256,53,35
2021년02월_여_70~79세,"5,305","1,369",451,377,492,396,386,318,417,201,304,314,219,29,32
2021년02월_여_80~89세,"3,451",824,305,284,270,228,259,197,305,138,242,211,140,33,15
2021년02월_여_90~99세,630,130,65,70,71,54,55,16,46,24,33,30,27,4,5
2021년02월_여_100세 이상,28,12,0,2,1,1,3,1,2,0,4,1,1,0,0
