,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년09월_계_총인구수,"314,728","20,299","14,519","13,118","11,449","27,500","22,038","25,649","17,806","16,212","11,456","28,199","40,166","28,391","11,736","19,659","6,531"
2020년09월_계_연령구간인구수,"314,728","20,299","14,519","13,118","11,449","27,500","22,038","25,649","17,806","16,212","11,456","28,199","40,166","28,391","11,736","19,659","6,531"
2020년09월_계_0~9세,"20,627","1,153",949,579,552,"1,730","1,284","1,480","1,149","1,161","1,020","2,069","3,238","1,794","1,327",999,143
2020년09월_계_10~19세,"25,807","1,618","1,141",785,795,"2,380","1,728","2,089","1,193","1,353",988,"2,495","4,052","2,576",855,"1,484",275
2020년09월_계_20~29세,"40,355","2,349","1,590","1,495","1,446","3,542","3,667","5,074","1,991","2,234","1,101","3,597","4,601","3,417","1,342","2,331",578
2020년09월_계_30~39세,"37,959","2,374","1,593","1,609","1,178","3,162","2,968","3,260","2,248","2,279","1,607","3,834","4,522","2,830","2,083","1,930",482
2020년09월_계_40~49세,"46,614","2,789","2,211","1,675","1,583","3,966","3,064","3,566","2,645","2,446","2,053","4,506","6,640","4,178","1,819","2,679",794
2020년09월_계_50~59세,"55,523","3,476","2,379","2,250","2,003","4,895","3,725","4,221","3,254","2,962","1,819","4,917","7,217","5,519","1,843","3,768","1,275"
2020년09월_계_60~69세,"50,707","3,495","2,557","2,598","2,157","4,628","3,304","3,510","3,067","2,399","1,663","4,256","5,708","4,705","1,555","3,740","1,365"
2020년09월_계_70~79세,"26,110","2,037","1,519","1,482","1,236","2,272","1,617","1,770","1,603",971,893,"1,902","2,878","2,257",661,"1,949","1,063"
2020년09월_계_80~89세,"9,538",847,502,561,439,824,595,610,546,346,283,547,"1,134",951,206,676,471
