카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020년01월_계_총인구수,"126,201","2,083","5,248","2,949","3,976","4,678","4,900","1,795","7,547","14,529","17,535","14,271","10,587","10,821","12,677","12,605"
2020년01월_계_연령구간인구수,"126,201","2,083","5,248","2,949","3,976","4,678","4,900","1,795","7,547","14,529","17,535","14,271","10,587","10,821","12,677","12,605"
2020년01월_계_0~9세,"7,346",197,217,98,211,191,142,49,259,626,"1,238",852,632,803,768,"1,063"
2020년01월_계_10~19세,"7,294",106,215,140,171,311,194,35,324,923,"1,062",969,625,899,527,793
2020년01월_계_20~29세,"18,465",198,503,333,666,"1,188",711,209,"1,292","2,411","2,093","1,990","1,663","1,511","2,155","1,542"
2020년01월_계_30~39세,"20,575",464,559,399,623,687,728,261,"1,256","2,341","2,571","2,276","1,767","1,409","2,857","2,377"
2020년01월_계_40~49세,"18,551",435,697,448,512,597,614,192,"1,143","2,135","2,576","2,068","1,620","1,676","1,821","2,017"
2020년01월_계_50~59세,"20,932",289,"1,032",504,606,605,892,358,"1,380","2,379","2,884","2,389","1,845","1,959","1,823","1,987"
2020년01월_계_60~69세,"17,016",234,"1,066",525,610,511,852,391,957,"1,928","2,579","1,866","1,261","1,341","1,476","1,419"
2020년01월_계_70~79세,"10,407",103,556,327,352,384,518,192,638,"1,223","1,625","1,183",803,743,859,901
2020년01월_계_80~89세,"4,580",41,277,138,166,168,201,76,240,477,758,580,318,404,333,403
2020년01월_계_90~99세,841,11,85,28,50,33,34,23,50,73,138,90,42,62,49,73
2020년01월_계_100세 이상,194,5,41,9,9,3,14,9,8,13,11,8,11,14,9,30
2020년01월_남_총인구수,"61,946","1,008","2,838","1,250","2,048","2,385","2,591","1,098","3,768","7,069","8,275","6,778","5,199","5,215","6,107","6,317"
2020년01월_남_연령구간인구수,"61,946","1,008","2,838","1,250","2,048","2,385","2,591","1,098","3,768","7,069","8,275","6,778","5,199","5,215","6,107","6,317"
2020년01월_남_0~9세,"3,742",103,117,55,113,101,74,28,100,323,609,430,312,436,392,549
2020년01월_남_10~19세,"3,709",29,90,53,93,156,105,15,170,500,547,500,320,446,267,418
2020년01월_남_20~29세,"8,942",78,226,156,334,642,356,99,609,"1,173","1,054",993,793,753,928,748
2020년01월_남_30~39세,"10,305",224,282,198,349,363,404,153,649,"1,206","1,213","1,117",892,654,"1,417","1,184"
2020년01월_남_40~49세,"9,450",224,393,191,290,324,331,128,622,"1,071","1,277",991,836,821,916,"1,035"
2020년01월_남_50~59세,"10,649",149,630,208,333,307,507,250,724,"1,163","1,349","1,156",967,939,920,"1,047"
2020년01월_남_60~69세,"8,486",134,629,225,296,252,441,269,482,898,"1,207",889,619,680,725,740
2020년01월_남_70~79세,"4,651",46,291,116,165,168,269,107,298,545,712,459,341,321,409,404
2020년01월_남_80~89세,"1,692",16,125,37,59,61,84,37,96,172,265,214,108,143,119,156
2020년01월_남_90~99세,255,4,36,8,13,11,15,8,15,15,37,26,11,18,14,24
2020년01월_남_100세 이상,65,1,19,3,3,0,5,4,3,3,5,3,0,4,0,12
2020년01월_여_총인구수,"64,255","1,075","2,410","1,699","1,928","2,293","2,309",697,"3,779","7,460","9,260","7,493","5,388","5,606","6,570","6,288"
2020년01월_여_연령구간인구수,"64,255","1,075","2,410","1,699","1,928","2,293","2,309",697,"3,779","7,460","9,260","7,493","5,388","5,606","6,570","6,288"
2020년01월_여_0~9세,"3,604",94,100,43,98,90,68,21,159,303,629,422,320,367,376,514
2020년01월_여_10~19세,"3,585",77,125,87,78,155,89,20,154,423,515,469,305,453,260,375
2020년01월_여_20~29세,"9,523",120,277,177,332,546,355,110,683,"1,238","1,039",997,870,758,"1,227",794
2020년01월_여_30~39세,"10,270",240,277,201,274,324,324,108,607,"1,135","1,358","1,159",875,755,"1,440","1,193"
2020년01월_여_40~49세,"9,101",211,304,257,222,273,283,64,521,"1,064","1,299","1,077",784,855,905,982
2020년01월_여_50~59세,"10,283",140,402,296,273,298,385,108,656,"1,216","1,535","1,233",878,"1,020",903,940
2020년01월_여_60~69세,"8,530",100,437,300,314,259,411,122,475,"1,030","1,372",977,642,661,751,679
2020년01월_여_70~79세,"5,756",57,265,211,187,216,249,85,340,678,913,724,462,422,450,497
2020년01월_여_80~89세,"2,888",25,152,101,107,107,117,39,144,305,493,366,210,261,214,247
2020년01월_여_90~99세,586,7,49,20,37,22,19,15,35,58,101,64,31,44,35,49
2020년01월_여_100세 이상,129,4,22,6,6,3,9,5,5,10,6,5,11,10,9,18
