,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년09월_계_총인구수,"51,563","22,905","3,341","2,829","2,500","2,549","2,877","2,162","3,244","3,068","6,088"
2020년09월_계_연령구간인구수,"51,563","22,905","3,341","2,829","2,500","2,549","2,877","2,162","3,244","3,068","6,088"
2020년09월_계_0~9세,"2,637","1,707",85,83,67,127,89,63,74,81,261
2020년09월_계_10~19세,"4,345","2,473",166,104,79,142,414,176,222,145,424
2020년09월_계_20~29세,"3,985","2,176",230,175,110,134,165,96,194,206,499
2020년09월_계_30~39세,"3,836","2,199",208,165,119,151,129,85,146,190,444
2020년09월_계_40~49세,"6,304","3,579",303,240,191,261,242,178,322,297,691
2020년09월_계_50~59세,"9,159","3,798",616,498,427,422,439,442,640,614,"1,263"
2020년09월_계_60~69세,"9,677","3,331",742,713,602,582,575,466,684,714,"1,268"
2020년09월_계_70~79세,"6,828","2,369",536,459,468,417,440,365,578,487,709
2020년09월_계_80~89세,"4,218","1,126",380,342,387,284,349,258,345,285,462
2020년09월_계_90~99세,543,131,72,49,48,29,34,32,36,47,65
2020년09월_계_100세 이상,31,16,3,1,2,0,1,1,3,2,2
2020년09월_남_총인구수,"26,001","11,272","1,725","1,475","1,248","1,283","1,454","1,115","1,634","1,615","3,180"
2020년09월_남_연령구간인구수,"26,001","11,272","1,725","1,475","1,248","1,283","1,454","1,115","1,634","1,615","3,180"
2020년09월_남_0~9세,"1,348",849,56,45,32,64,52,33,40,42,135
2020년09월_남_10~19세,"2,270","1,263",95,65,37,75,205,93,123,82,232
2020년09월_남_20~29세,"2,293","1,221",142,108,64,82,106,69,103,121,277
2020년09월_남_30~39세,"2,014","1,122",117,96,71,81,61,36,73,97,260
2020년09월_남_40~49세,"3,494","1,867",169,155,136,156,146,112,187,184,382
2020년09월_남_50~59세,"5,049","1,957",363,281,254,250,260,254,369,355,706
2020년09월_남_60~69세,"4,890","1,558",386,383,304,296,299,263,348,377,676
2020년09월_남_70~79세,"3,083","1,005",245,221,218,185,202,158,265,243,341
2020년09월_남_80~89세,"1,424",399,136,108,121,88,116,90,116,100,150
2020년09월_남_90~99세,128,27,15,13,11,6,7,7,8,13,21
2020년09월_남_100세 이상,8,4,1,0,0,0,0,0,2,1,0
2020년09월_여_총인구수,"25,562","11,633","1,616","1,354","1,252","1,266","1,423","1,047","1,610","1,453","2,908"
2020년09월_여_연령구간인구수,"25,562","11,633","1,616","1,354","1,252","1,266","1,423","1,047","1,610","1,453","2,908"
2020년09월_여_0~9세,"1,289",858,29,38,35,63,37,30,34,39,126
2020년09월_여_10~19세,"2,075","1,210",71,39,42,67,209,83,99,63,192
2020년09월_여_20~29세,"1,692",955,88,67,46,52,59,27,91,85,222
2020년09월_여_30~39세,"1,822","1,077",91,69,48,70,68,49,73,93,184
2020년09월_여_40~49세,"2,810","1,712",134,85,55,105,96,66,135,113,309
2020년09월_여_50~59세,"4,110","1,841",253,217,173,172,179,188,271,259,557
2020년09월_여_60~69세,"4,787","1,773",356,330,298,286,276,203,336,337,592
2020년09월_여_70~79세,"3,745","1,364",291,238,250,232,238,207,313,244,368
2020년09월_여_80~89세,"2,794",727,244,234,266,196,233,168,229,185,312
2020년09월_여_90~99세,415,104,57,36,37,23,27,25,28,34,44
2020년09월_여_100세 이상,23,12,2,1,2,0,1,1,1,1,2
