,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2020년12월_계_총인구수,"351,047","35,106","34,820","40,180","22,203","24,850","37,832","25,858","27,203","27,835","29,057","46,103"
2020년12월_계_연령구간인구수,"351,047","35,106","34,820","40,180","22,203","24,850","37,832","25,858","27,203","27,835","29,057","46,103"
2020년12월_계_0~9세,"34,946","3,264","1,556","3,521","2,274","2,474","5,051","2,928","2,635","2,552","3,191","5,500"
2020년12월_계_10~19세,"38,155","3,383","1,491","3,194","3,050","3,441","4,610","2,957","3,208","3,077","4,572","5,172"
2020년12월_계_20~29세,"52,744","4,450","8,317","8,443","2,855","3,187","3,814","4,073","4,378","4,247","3,722","5,258"
2020년12월_계_30~39세,"56,069","4,499","6,742","6,442","3,193","3,115","6,437","5,132","4,421","4,149","4,054","7,885"
2020년12월_계_40~49세,"60,445","5,942","4,388","5,594","4,378","4,800","7,376","4,221","4,350","4,750","6,002","8,644"
2020년12월_계_50~59세,"54,074","6,273","5,589","5,896","3,257","4,013","5,224","3,529","4,480","4,657","4,406","6,750"
2020년12월_계_60~69세,"33,611","4,328","3,997","4,513","1,813","2,114","3,389","1,910","2,440","2,490","2,103","4,514"
2020년12월_계_70~79세,"13,453","1,902","1,764","1,682",885,"1,098","1,307",661,723,"1,170",661,"1,600"
2020년12월_계_80~89세,"6,411",922,806,768,424,523,525,388,463,647,294,651
2020년12월_계_90~99세,"1,082",133,146,121,73,84,95,58,102,93,51,126
2020년12월_계_100세 이상,57,10,24,6,1,1,4,1,3,3,1,3
2020년12월_남_총인구수,"177,240","17,830","17,982","20,855","11,017","12,244","18,591","13,551","13,939","14,286","14,847","22,098"
2020년12월_남_연령구간인구수,"177,240","17,830","17,982","20,855","11,017","12,244","18,591","13,551","13,939","14,286","14,847","22,098"
2020년12월_남_0~9세,"17,980","1,653",795,"1,753","1,182","1,268","2,564","1,540","1,402","1,326","1,677","2,820"
2020년12월_남_10~19세,"19,752","1,812",763,"1,667","1,574","1,780","2,348","1,528","1,636","1,592","2,367","2,685"
2020년12월_남_20~29세,"28,314","2,430","4,258","4,918","1,468","1,637","1,998","2,269","2,412","2,370","1,973","2,581"
2020년12월_남_30~39세,"29,156","2,314","3,882","3,509","1,579","1,545","3,058","2,820","2,416","2,238","2,066","3,729"
2020년12월_남_40~49세,"29,737","3,079","2,332","2,801","2,083","2,248","3,608","2,118","2,082","2,413","2,849","4,124"
2020년12월_남_50~59세,"26,996","3,142","2,776","2,833","1,678","2,040","2,554","1,819","2,195","2,414","2,413","3,132"
2020년12월_남_60~69세,"16,723","2,174","2,059","2,261",875,"1,033","1,616","1,004","1,293","1,251","1,093","2,064"
2020년12월_남_70~79세,"6,215",899,782,809,401,479,638,332,342,471,321,741
2020년12월_남_80~89세,"2,109",300,286,268,159,195,187,108,129,191,77,209
2020년12월_남_90~99세,246,24,46,35,17,18,19,13,30,20,11,13
2020년12월_남_100세 이상,12,3,3,1,1,1,1,0,2,0,0,0
2020년12월_여_총인구수,"173,807","17,276","16,838","19,325","11,186","12,606","19,241","12,307","13,264","13,549","14,210","24,005"
2020년12월_여_연령구간인구수,"173,807","17,276","16,838","19,325","11,186","12,606","19,241","12,307","13,264","13,549","14,210","24,005"
2020년12월_여_0~9세,"16,966","1,611",761,"1,768","1,092","1,206","2,487","1,388","1,233","1,226","1,514","2,680"
2020년12월_여_10~19세,"18,403","1,571",728,"1,527","1,476","1,661","2,262","1,429","1,572","1,485","2,205","2,487"
2020년12월_여_20~29세,"24,430","2,020","4,059","3,525","1,387","1,550","1,816","1,804","1,966","1,877","1,749","2,677"
2020년12월_여_30~39세,"26,913","2,185","2,860","2,933","1,614","1,570","3,379","2,312","2,005","1,911","1,988","4,156"
2020년12월_여_40~49세,"30,708","2,863","2,056","2,793","2,295","2,552","3,768","2,103","2,268","2,337","3,153","4,520"
2020년12월_여_50~59세,"27,078","3,131","2,813","3,063","1,579","1,973","2,670","1,710","2,285","2,243","1,993","3,618"
2020년12월_여_60~69세,"16,888","2,154","1,938","2,252",938,"1,081","1,773",906,"1,147","1,239","1,010","2,450"
2020년12월_여_70~79세,"7,238","1,003",982,873,484,619,669,329,381,699,340,859
2020년12월_여_80~89세,"4,302",622,520,500,265,328,338,280,334,456,217,442
2020년12월_여_90~99세,836,109,100,86,56,66,76,45,72,73,40,113
2020년12월_여_100세 이상,45,7,21,5,0,0,3,1,1,3,1,3
