카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년03월_계_총인구수,"404,939","11,047","6,598","15,590","4,670","32,869","28,235","11,178","16,052","7,298","27,604","43,585","18,761","31,343","77,845","24,564","2,148","1,928","4,104","2,266","2,045","35,209"
2021년03월_계_연령구간인구수,"404,939","11,047","6,598","15,590","4,670","32,869","28,235","11,178","16,052","7,298","27,604","43,585","18,761","31,343","77,845","24,564","2,148","1,928","4,104","2,266","2,045","35,209"
2021년03월_계_0~9세,"39,153",661,324,"1,429",314,"3,889","2,254",702,"1,090",655,"2,006","3,766","2,058","2,880","10,055","3,092",59,43,132,49,31,"3,664"
2021년03월_계_10~19세,"51,996","1,153",388,"1,630",418,"3,699","2,109","1,142","2,007",765,"3,463","5,584","2,846","3,916","13,578","3,257",111,77,150,123,92,"5,488"
2021년03월_계_20~29세,"58,712","1,732",971,"2,172",609,"3,989","4,290","1,899","2,470",904,"5,154","7,908","2,661","4,720","9,551","3,226",167,171,438,164,146,"5,370"
2021년03월_계_30~39세,"54,108","1,178",905,"2,153",536,"5,422","4,406","1,238","1,742",892,"3,460","5,858","2,345","3,961","10,354","3,694",118,139,456,157,120,"4,974"
2021년03월_계_40~49세,"76,263","1,871",834,"2,700",734,"6,103","4,191","1,663","2,855","1,360","4,360","8,014","3,938","5,794","17,997","4,971",183,185,497,215,227,"7,571"
2021년03월_계_50~59세,"64,436","1,846","1,097","2,478",775,"4,590","4,976","2,227","3,022","1,375","5,505","7,658","2,865","5,547","9,950","3,466",388,318,670,381,320,"4,982"
2021년03월_계_60~69세,"34,071","1,337",945,"1,528",644,"3,101","3,446","1,426","1,759",701,"2,343","2,934","1,162","2,506","3,989","1,921",461,412,792,468,381,"1,815"
2021년03월_계_70~79세,"17,155",890,774,"1,032",448,"1,380","1,611",577,766,406,818,"1,169",617,"1,367","1,712",616,351,370,580,371,373,927
2021년03월_계_80~89세,"7,816",331,312,401,158,602,821,262,301,213,418,607,233,582,563,277,262,184,324,295,307,363
2021년03월_계_90~99세,"1,175",45,42,65,30,87,130,42,39,27,75,82,34,66,94,42,48,26,62,42,46,51
2021년03월_계_100세 이상,54,3,6,2,4,7,1,0,1,0,2,5,2,4,2,2,0,3,3,1,2,4
2021년03월_남_총인구수,"204,128","5,583","3,316","7,858","2,362","16,807","14,356","5,642","8,143","3,853","13,690","21,997","9,561","15,368","38,471","12,595","1,110",992,"2,280","1,165","1,013","17,966"
