카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년02월_계_총인구수,"389,754","31,858","12,698","44,710","27,955","25,002","28,918","32,246","22,989","27,104","24,994","14,315","14,644","38,663","23,606","20,052"
2021년02월_계_연령구간인구수,"389,754","31,858","12,698","44,710","27,955","25,002","28,918","32,246","22,989","27,104","24,994","14,315","14,644","38,663","23,606","20,052"
2021년02월_계_0~9세,"24,097","1,925",325,"2,806","2,285","1,213","1,657","2,359",803,"1,762","2,097",726,"1,041","2,205","1,511","1,382"
2021년02월_계_10~19세,"27,584","1,973",547,"3,157","1,941","1,655","1,900","2,146",876,"1,654","1,647",756,997,"4,183","2,472","1,680"
2021년02월_계_20~29세,"65,773","5,441","2,364","9,651","4,234","4,191","4,611","5,039","5,212","3,607","3,382","2,479","2,211","6,422","3,439","3,490"
2021년02월_계_30~39세,"61,790","5,426","1,961","6,194","4,660","4,193","4,838","4,527","4,637","4,455","4,097","2,472","2,572","5,394","3,075","3,289"
2021년02월_계_40~49세,"58,559","4,316","1,543","6,530","4,365","3,659","4,322","4,887","2,956","4,008","3,850","2,043","2,329","6,580","3,995","3,176"
2021년02월_계_50~59세,"58,268","4,694","2,138","6,331","4,142","3,883","4,411","5,210","3,057","4,176","3,646","2,089","2,198","5,868","3,726","2,699"
2021년02월_계_60~69세,"49,525","4,246","2,001","5,357","3,329","3,211","3,844","4,062","3,034","3,901","3,394","2,011","1,802","4,209","2,938","2,186"
2021년02월_계_70~79세,"29,944","2,485","1,218","3,102","1,962","2,066","2,278","2,572","1,797","2,468","2,078","1,233","1,018","2,517","1,661","1,489"
2021년02월_계_80~89세,"12,062","1,151",510,"1,319",864,811,923,"1,195",542,907,686,432,395,"1,081",680,566
2021년02월_계_90~99세,"1,834",170,79,223,144,105,123,194,68,133,95,68,68,179,102,83
2021년02월_계_100세 이상,318,31,12,40,29,15,11,55,7,33,22,6,13,25,7,12
2021년02월_남_총인구수,"188,428","15,916","6,526","21,563","13,435","11,959","14,032","15,690","10,904","13,028","12,144","6,837","7,078","18,389","11,353","9,574"
2021년02월_남_연령구간인구수,"188,428","15,916","6,526","21,563","13,435","11,959","14,032","15,690","10,904","13,028","12,144","6,837","7,078","18,389","11,353","9,574"
2021년02월_남_0~9세,"12,311",980,170,"1,408","1,167",613,856,"1,208",413,906,"1,066",391,540,"1,117",773,703
2021년02월_남_10~19세,"14,176","1,021",283,"1,608",990,842,"1,034","1,103",458,927,896,392,510,"2,038","1,203",871
2021년02월_남_20~29세,"31,733","2,871","1,219","4,857","2,021","1,953","2,199","2,633","2,236","1,722","1,592","1,127","1,062","3,038","1,644","1,559"
2021년02월_남_30~39세,"31,246","2,939","1,160","3,070","2,254","2,165","2,514","2,229","2,424","2,199","1,957","1,258","1,303","2,633","1,525","1,616"
2021년02월_남_40~49세,"29,357","2,248",861,"3,237","2,188","1,816","2,178","2,522","1,512","1,961","1,983","1,057","1,161","3,173","1,890","1,570"
2021년02월_남_50~59세,"27,978","2,269","1,084","2,949","1,992","1,850","2,102","2,488","1,409","1,993","1,730",967,"1,035","2,947","1,874","1,289"
2021년02월_남_60~69세,"22,825","1,989",952,"2,491","1,556","1,438","1,780","1,884","1,335","1,772","1,600",891,837,"1,905","1,381","1,014"
2021년02월_남_70~79세,"13,381","1,099",554,"1,367",874,932,997,"1,109",843,"1,116",979,560,464,"1,063",762,662
2021년02월_남_80~89세,"4,851",441,220,506,345,322,332,449,262,382,310,177,152,419,273,261
2021년02월_남_90~99세,477,49,19,60,39,22,36,49,11,36,24,17,13,49,27,26
2021년02월_남_100세 이상,93,10,4,10,9,6,4,16,1,14,7,0,1,7,1,3
2021년02월_여_총인구수,"201,326","15,942","6,172","23,147","14,520","13,043","14,886","16,556","12,085","14,076","12,850","7,478","7,566","20,274","12,253","10,478"
2021년02월_여_연령구간인구수,"201,326","15,942","6,172","23,147","14,520","13,043","14,886","16,556","12,085","14,076","12,850","7,478","7,566","20,274","12,253","10,478"
2021년02월_여_0~9세,"11,786",945,155,"1,398","1,118",600,801,"1,151",390,856,"1,031",335,501,"1,088",738,679
2021년02월_여_10~19세,"13,408",952,264,"1,549",951,813,866,"1,043",418,727,751,364,487,"2,145","1,269",809
2021년02월_여_20~29세,"34,040","2,570","1,145","4,794","2,213","2,238","2,412","2,406","2,976","1,885","1,790","1,352","1,149","3,384","1,795","1,931"
2021년02월_여_30~39세,"30,544","2,487",801,"3,124","2,406","2,028","2,324","2,298","2,213","2,256","2,140","1,214","1,269","2,761","1,550","1,673"
2021년02월_여_40~49세,"29,202","2,068",682,"3,293","2,177","1,843","2,144","2,365","1,444","2,047","1,867",986,"1,168","3,407","2,105","1,606"
