,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년12월_계_총인구수,"148,939","45,510","8,664","4,565","7,586","12,469","2,115","4,773","9,464","6,260","8,222","2,738","2,736","18,952","14,885"
2021년12월_계_연령구간인구수,"148,939","45,510","8,664","4,565","7,586","12,469","2,115","4,773","9,464","6,260","8,222","2,738","2,736","18,952","14,885"
2021년12월_계_0~9세,"8,110","2,824",562,93,198,609,41,157,450,509,598,49,186,"1,155",679
2021년12월_계_10~19세,"11,721","4,854",562,181,368,903,57,229,663,339,443,129,142,"1,750","1,101"
2021년12월_계_20~29세,"18,190","6,088",937,419,743,"1,455",177,394,976,874,960,235,298,"2,571","2,063"
2021년12월_계_30~39세,"14,638","4,462","1,085",335,615,"1,202",117,293,871,894,950,131,340,"1,947","1,396"
2021년12월_계_40~49세,"19,751","7,053","1,111",497,812,"1,582",184,474,"1,170",628,835,223,270,"2,692","2,220"
2021년12월_계_50~59세,"29,284","9,344","1,585","1,109","1,813","2,454",364,955,"1,560",847,"1,240",512,435,"3,690","3,376"
2021년12월_계_60~69세,"26,957","6,645","1,624","1,119","1,797","2,552",608,"1,180","1,973","1,115","1,572",704,583,"2,995","2,490"
2021년12월_계_70~79세,"12,309","2,625",716,487,703,"1,042",332,666,"1,063",662,939,466,278,"1,356",974
2021년12월_계_80~89세,"6,920","1,391",414,287,462,568,214,373,614,354,596,258,178,700,511
2021년12월_계_90~99세,"1,021",213,67,38,73,97,21,51,119,36,88,30,25,92,71
2021년12월_계_100세 이상,38,11,1,0,2,5,0,1,5,2,1,1,1,4,4
2021년12월_남_총인구수,"78,915","23,202","4,647","2,647","4,455","6,878","1,184","2,588","4,949","3,439","4,434","1,435","1,448","9,593","8,016"
2021년12월_남_연령구간인구수,"78,915","23,202","4,647","2,647","4,455","6,878","1,184","2,588","4,949","3,439","4,434","1,435","1,448","9,593","8,016"
2021년12월_남_0~9세,"4,165","1,445",282,54,96,325,26,79,234,253,318,22,92,578,361
2021년12월_남_10~19세,"6,134","2,538",288,96,192,500,35,123,355,166,218,58,68,935,562
2021년12월_남_20~29세,"10,530","3,254",543,268,442,881,121,229,609,621,675,155,170,"1,399","1,163"
2021년12월_남_30~39세,"8,220","2,301",604,210,384,712,80,179,522,549,567,87,189,"1,047",789
2021년12월_남_40~49세,"10,619","3,516",619,320,536,862,107,298,671,366,484,135,162,"1,318","1,225"
2021년12월_남_50~59세,"16,101","4,922",877,660,"1,133","1,439",222,561,830,447,705,272,236,"1,909","1,888"
2021년12월_남_60~69세,"14,617","3,484",910,670,"1,100","1,421",335,659,999,588,808,381,326,"1,553","1,383"
2021년12월_남_70~79세,"5,762","1,211",366,235,370,500,162,309,492,310,408,216,137,588,458
2021년12월_남_80~89세,"2,501",487,144,123,186,209,88,133,204,128,224,103,62,245,165
2021년12월_남_90~99세,255,42,14,11,15,28,8,18,32,10,26,5,6,20,20
2021년12월_남_100세 이상,11,2,0,0,1,1,0,0,1,1,1,1,0,1,2
2021년12월_여_총인구수,"70,024","22,308","4,017","1,918","3,131","5,591",931,"2,185","4,515","2,821","3,788","1,303","1,288","9,359","6,869"
2021년12월_여_연령구간인구수,"70,024","22,308","4,017","1,918","3,131","5,591",931,"2,185","4,515","2,821","3,788","1,303","1,288","9,359","6,869"
2021년12월_여_0~9세,"3,945","1,379",280,39,102,284,15,78,216,256,280,27,94,577,318
2021년12월_여_10~19세,"5,587","2,316",274,85,176,403,22,106,308,173,225,71,74,815,539
2021년12월_여_20~29세,"7,660","2,834",394,151,301,574,56,165,367,253,285,80,128,"1,172",900
2021년12월_여_30~39세,"6,418","2,161",481,125,231,490,37,114,349,345,383,44,151,900,607
2021년12월_여_40~49세,"9,132","3,537",492,177,276,720,77,176,499,262,351,88,108,"1,374",995
2021년12월_여_50~59세,"13,183","4,422",708,449,680,"1,015",142,394,730,400,535,240,199,"1,781","1,488"
2021년12월_여_60~69세,"12,340","3,161",714,449,697,"1,131",273,521,974,527,764,323,257,"1,442","1,107"
2021년12월_여_70~79세,"6,547","1,414",350,252,333,542,170,357,571,352,531,250,141,768,516
2021년12월_여_80~89세,"4,419",904,270,164,276,359,126,240,410,226,372,155,116,455,346
2021년12월_여_90~99세,766,171,53,27,58,69,13,33,87,26,62,25,19,72,51
2021년12월_여_100세 이상,27,9,1,0,1,4,0,1,4,1,0,0,1,3,2
