,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년08월_계_총인구수,"222,883","14,574","36,045","14,066","11,326","6,538","15,800","14,462","4,402","4,691","2,627","17,003","56,188","14,961","10,200"
2021년08월_계_연령구간인구수,"222,883","14,574","36,045","14,066","11,326","6,538","15,800","14,462","4,402","4,691","2,627","17,003","56,188","14,961","10,200"
2021년08월_계_0~9세,"18,212",917,"3,068","1,058",752,305,"1,542","1,145",129,157,54,892,"6,743",898,552
2021년08월_계_10~19세,"23,592","1,326","4,424","1,144",859,931,"1,940","1,173",259,217,118,"1,514","8,024",904,759
2021년08월_계_20~29세,"31,094","1,531","5,192","1,646","1,330",768,"2,338","2,606",377,395,171,"2,788","7,268","3,175","1,509"
2021년08월_계_30~39세,"30,665","1,452","4,989","1,833","1,252",678,"2,710","2,485",342,350,150,"2,199","8,493","2,434","1,298"
2021년08월_계_40~49세,"34,805","1,972","6,616","1,955","1,603",705,"2,098","2,106",479,488,223,"2,503","10,766","1,855","1,436"
2021년08월_계_50~59세,"35,321","2,417","5,561","2,602","2,147","1,092","2,087","1,920",820,846,422,"2,840","8,361","2,255","1,951"
2021년08월_계_60~69세,"28,033","2,606","3,658","2,222","1,860","1,113","1,697","1,666","1,009","1,080",696,"2,543","4,238","2,016","1,629"
2021년08월_계_70~79세,"13,140","1,402","1,635","1,031",889,586,880,855,568,656,406,"1,144","1,459",914,715
2021년08월_계_80~89세,"7,030",841,809,488,535,316,439,442,371,430,337,516,744,447,315
2021년08월_계_90~99세,959,107,91,84,96,43,66,63,46,65,48,63,92,60,35
2021년08월_계_100세 이상,32,3,2,3,3,1,3,1,2,7,2,1,0,3,1
2021년08월_남_총인구수,"115,596","7,413","18,986","7,360","5,766","3,560","8,640","7,380","2,352","2,490","1,366","8,490","28,040","8,550","5,203"
2021년08월_남_연령구간인구수,"115,596","7,413","18,986","7,360","5,766","3,560","8,640","7,380","2,352","2,490","1,366","8,490","28,040","8,550","5,203"
2021년08월_남_0~9세,"9,393",464,"1,568",530,388,158,806,585,75,75,33,463,"3,483",474,291
2021년08월_남_10~19세,"12,379",705,"2,281",644,455,559,"1,029",600,154,110,64,769,"4,177",473,359
2021년08월_남_20~29세,"17,645",900,"3,106",865,734,437,"1,421","1,306",233,243,102,"1,505","3,814","2,212",767
2021년08월_남_30~39세,"16,505",776,"2,656",994,639,401,"1,547","1,325",206,218,95,"1,257","4,084","1,557",750
2021년08월_남_40~49세,"18,018","1,018","3,386","1,076",845,412,"1,207","1,148",273,298,143,"1,231","5,203","1,016",762
2021년08월_남_50~59세,"18,405","1,269","3,008","1,360","1,087",628,"1,140","1,011",449,483,226,"1,358","4,226","1,171",989
2021년08월_남_60~69세,"14,383","1,290","1,915","1,184",973,577,890,848,536,572,369,"1,178","2,185","1,020",846
2021년08월_남_70~79세,"6,054",657,751,497,402,266,421,392,271,313,193,532,613,429,317
2021년08월_남_80~89세,"2,581",310,296,192,217,114,160,149,143,161,129,179,239,179,113
2021년08월_남_90~99세,226,24,19,17,26,8,17,16,12,15,11,18,16,18,9
2021년08월_남_100세 이상,7,0,0,1,0,0,2,0,0,2,1,0,0,1,0
2021년08월_여_총인구수,"107,287","7,161","17,059","6,706","5,560","2,978","7,160","7,082","2,050","2,201","1,261","8,513","28,148","6,411","4,997"
2021년08월_여_연령구간인구수,"107,287","7,161","17,059","6,706","5,560","2,978","7,160","7,082","2,050","2,201","1,261","8,513","28,148","6,411","4,997"
2021년08월_여_0~9세,"8,819",453,"1,500",528,364,147,736,560,54,82,21,429,"3,260",424,261
2021년08월_여_10~19세,"11,213",621,"2,143",500,404,372,911,573,105,107,54,745,"3,847",431,400
2021년08월_여_20~29세,"13,449",631,"2,086",781,596,331,917,"1,300",144,152,69,"1,283","3,454",963,742
2021년08월_여_30~39세,"14,160",676,"2,333",839,613,277,"1,163","1,160",136,132,55,942,"4,409",877,548
2021년08월_여_40~49세,"16,787",954,"3,230",879,758,293,891,958,206,190,80,"1,272","5,563",839,674
2021년08월_여_50~59세,"16,916","1,148","2,553","1,242","1,060",464,947,909,371,363,196,"1,482","4,135","1,084",962
2021년08월_여_60~69세,"13,650","1,316","1,743","1,038",887,536,807,818,473,508,327,"1,365","2,053",996,783
2021년08월_여_70~79세,"7,086",745,884,534,487,320,459,463,297,343,213,612,846,485,398
2021년08월_여_80~89세,"4,449",531,513,296,318,202,279,293,228,269,208,337,505,268,202
2021년08월_여_90~99세,733,83,72,67,70,35,49,47,34,50,37,45,76,42,26
2021년08월_여_100세 이상,25,3,2,2,3,1,1,1,2,5,1,1,0,2,1
