,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2020년09월_계_총인구수,"352,604","35,353","34,736","40,286","22,274","25,094","37,903","26,018","27,332","27,989","29,110","46,509"
2020년09월_계_연령구간인구수,"352,604","35,353","34,736","40,286","22,274","25,094","37,903","26,018","27,332","27,989","29,110","46,509"
2020년09월_계_0~9세,"35,659","3,354","1,576","3,558","2,304","2,567","5,130","3,047","2,689","2,634","3,221","5,579"
2020년09월_계_10~19세,"38,445","3,441","1,518","3,256","3,039","3,479","4,578","2,963","3,248","3,139","4,593","5,191"
2020년09월_계_20~29세,"52,903","4,473","8,306","8,402","2,896","3,195","3,867","4,039","4,350","4,234","3,723","5,418"
2020년09월_계_30~39세,"56,858","4,545","6,693","6,528","3,268","3,229","6,512","5,277","4,492","4,209","4,050","8,055"
2020년09월_계_40~49세,"60,822","5,990","4,372","5,598","4,363","4,877","7,368","4,226","4,389","4,824","6,117","8,698"
2020년09월_계_50~59세,"54,171","6,325","5,637","5,967","3,249","4,026","5,219","3,500","4,496","4,617","4,358","6,777"
2020년09월_계_60~69세,"32,945","4,269","3,914","4,434","1,780","2,043","3,332","1,863","2,378","2,429","2,063","4,440"
2020년09월_계_70~79세,"13,354","1,910","1,751","1,659",873,"1,082","1,283",666,730,"1,157",655,"1,588"
2020년09월_계_80~89세,"6,315",906,804,756,428,508,517,377,457,646,281,635
2020년09월_계_90~99세,"1,076",130,142,122,73,87,93,59,100,97,48,125
2020년09월_계_100세 이상,56,10,23,6,1,1,4,1,3,3,1,3
2020년09월_남_총인구수,"178,003","17,949","17,955","20,957","11,029","12,357","18,617","13,626","13,973","14,340","14,884","22,316"
2020년09월_남_연령구간인구수,"178,003","17,949","17,955","20,957","11,029","12,357","18,617","13,626","13,973","14,340","14,884","22,316"
2020년09월_남_0~9세,"18,342","1,695",796,"1,776","1,188","1,306","2,613","1,584","1,442","1,377","1,689","2,876"
2020년09월_남_10~19세,"19,917","1,844",780,"1,710","1,572","1,790","2,331","1,545","1,647","1,613","2,393","2,692"
2020년09월_남_20~29세,"28,375","2,453","4,269","4,911","1,485","1,644","2,029","2,242","2,381","2,353","1,972","2,636"
2020년09월_남_30~39세,"29,527","2,342","3,846","3,560","1,620","1,608","3,074","2,887","2,430","2,261","2,070","3,829"
2020년09월_남_40~49세,"29,920","3,079","2,331","2,802","2,060","2,286","3,611","2,132","2,100","2,450","2,904","4,165"
2020년09월_남_50~59세,"27,024","3,171","2,802","2,873","1,661","2,045","2,548","1,805","2,213","2,384","2,384","3,138"
2020년09월_남_60~69세,"16,408","2,136","2,025","2,227",867,"1,007","1,587",974,"1,259","1,226","1,070","2,030"
2020년09월_남_70~79세,"6,172",915,771,796,396,469,621,341,342,461,319,741
2020년09월_남_80~89세,"2,066",286,287,265,161,183,183,104,130,195,73,199
2020년09월_남_90~99세,240,25,45,36,18,18,19,12,27,20,10,10
2020년09월_남_100세 이상,12,3,3,1,1,1,1,0,2,0,0,0
2020년09월_여_총인구수,"174,601","17,404","16,781","19,329","11,245","12,737","19,286","12,392","13,359","13,649","14,226","24,193"
2020년09월_여_연령구간인구수,"174,601","17,404","16,781","19,329","11,245","12,737","19,286","12,392","13,359","13,649","14,226","24,193"
2020년09월_여_0~9세,"17,317","1,659",780,"1,782","1,116","1,261","2,517","1,463","1,247","1,257","1,532","2,703"
2020년09월_여_10~19세,"18,528","1,597",738,"1,546","1,467","1,689","2,247","1,418","1,601","1,526","2,200","2,499"
2020년09월_여_20~29세,"24,528","2,020","4,037","3,491","1,411","1,551","1,838","1,797","1,969","1,881","1,751","2,782"
2020년09월_여_30~39세,"27,331","2,203","2,847","2,968","1,648","1,621","3,438","2,390","2,062","1,948","1,980","4,226"
2020년09월_여_40~49세,"30,902","2,911","2,041","2,796","2,303","2,591","3,757","2,094","2,289","2,374","3,213","4,533"
2020년09월_여_50~59세,"27,147","3,154","2,835","3,094","1,588","1,981","2,671","1,695","2,283","2,233","1,974","3,639"
2020년09월_여_60~69세,"16,537","2,133","1,889","2,207",913,"1,036","1,745",889,"1,119","1,203",993,"2,410"
2020년09월_여_70~79세,"7,182",995,980,863,477,613,662,325,388,696,336,847
2020년09월_여_80~89세,"4,249",620,517,491,267,325,334,273,327,451,208,436
2020년09월_여_90~99세,836,105,97,86,55,69,74,47,73,77,38,115
2020년09월_여_100세 이상,44,7,20,5,0,0,3,1,1,3,1,3
