카테고리,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년03월_계_총인구수,"338,875","31,006","24,690","29,536","18,954","29,052","28,842","38,445","32,698","19,256","10,397","13,667","24,114","18,015","20,203"
2021년03월_계_연령구간인구수,"338,875","31,006","24,690","29,536","18,954","29,052","28,842","38,445","32,698","19,256","10,397","13,667","24,114","18,015","20,203"
2021년03월_계_0~9세,"20,219","1,237","1,013","1,837","1,218","2,696","1,802","2,497","2,803",753,439,797,"1,208",679,"1,240"
2021년03월_계_10~19세,"23,534","1,411","1,394","1,887","1,720","2,001","1,962","2,632","2,816","1,077",705,801,"2,052","1,279","1,797"
2021년03월_계_20~29세,"56,228","6,202","4,405","4,613","2,321","4,132","3,768","5,277","3,835","2,263","3,222","3,409","5,333","4,636","2,812"
2021년03월_계_30~39세,"49,544","5,417","3,217","4,241","2,251","5,298","4,448","6,313","5,049","2,166","1,460","2,136","2,952","2,148","2,448"
2021년03월_계_40~49세,"49,837","4,159","3,048","4,246","3,034","4,730","4,134","6,282","5,775","2,446","1,294","1,682","3,489","2,344","3,174"
2021년03월_계_50~59세,"52,649","4,650","3,802","4,856","3,253","4,245","4,905","6,039","4,927","3,354","1,242","1,929","3,512","2,559","3,376"
2021년03월_계_60~69세,"46,347","4,157","3,912","4,199","2,745","3,277","4,240","5,442","4,321","3,742",965,"1,515","2,955","2,140","2,737"
2021년03월_계_70~79세,"27,568","2,517","2,586","2,467","1,572","1,784","2,465","2,858","2,278","2,335",677,941,"1,798","1,460","1,830"
2021년03월_계_80~89세,"11,457","1,120","1,161","1,070",761,788,"1,000",969,779,987,341,399,712,680,690
2021년03월_계_90~99세,"1,417",131,142,112,76,93,115,128,107,129,51,55,100,85,93
2021년03월_계_100세 이상,75,5,10,8,3,8,3,8,8,4,1,3,3,5,6
2021년03월_남_총인구수,"167,895","15,727","12,679","14,821","9,130","14,061","14,042","19,124","16,365","9,613","4,973","6,581","11,996","9,006","9,777"
2021년03월_남_연령구간인구수,"167,895","15,727","12,679","14,821","9,130","14,061","14,042","19,124","16,365","9,613","4,973","6,581","11,996","9,006","9,777"
2021년03월_남_0~9세,"10,383",634,530,955,620,"1,361",908,"1,303","1,439",384,230,404,636,340,639
2021년03월_남_10~19세,"11,894",733,727,926,838,"1,022",977,"1,350","1,512",559,337,395,984,645,889
2021년03월_남_20~29세,"27,855","2,924","2,395","2,344","1,189","1,906","1,893","2,501","1,984","1,202","1,519","1,492","2,842","2,318","1,346"
2021년03월_남_30~39세,"25,547","2,820","1,792","2,167","1,144","2,498","2,276","3,259","2,527","1,181",772,"1,111","1,564","1,224","1,212"
2021년03월_남_40~49세,"25,761","2,292","1,662","2,260","1,462","2,474","2,080","3,267","2,958","1,277",639,875,"1,717","1,204","1,594"
2021년03월_남_50~59세,"26,655","2,507","2,030","2,501","1,592","2,076","2,408","2,998","2,474","1,713",631,956,"1,741","1,335","1,693"
2021년03월_남_60~69세,"22,416","2,141","1,889","2,117","1,265","1,595","1,996","2,636","2,064","1,843",424,748,"1,407","1,000","1,291"
2021년03월_남_70~79세,"12,486","1,175","1,164","1,115",664,806,"1,118","1,381","1,078","1,045",282,407,809,632,810
2021년03월_남_80~89세,"4,487",461,451,410,329,293,362,388,298,370,124,179,258,284,280
2021년03월_남_90~99세,391,39,38,25,26,27,23,40,27,39,14,13,37,23,20
2021년03월_남_100세 이상,20,1,1,1,1,3,1,1,4,0,1,1,1,1,3
2021년03월_여_총인구수,"170,980","15,279","12,011","14,715","9,824","14,991","14,800","19,321","16,333","9,643","5,424","7,086","12,118","9,009","10,426"
2021년03월_여_연령구간인구수,"170,980","15,279","12,011","14,715","9,824","14,991","14,800","19,321","16,333","9,643","5,424","7,086","12,118","9,009","10,426"
2021년03월_여_0~9세,"9,836",603,483,882,598,"1,335",894,"1,194","1,364",369,209,393,572,339,601
2021년03월_여_10~19세,"11,640",678,667,961,882,979,985,"1,282","1,304",518,368,406,"1,068",634,908
2021년03월_여_20~29세,"28,373","3,278","2,010","2,269","1,132","2,226","1,875","2,776","1,851","1,061","1,703","1,917","2,491","2,318","1,466"
2021년03월_여_30~39세,"23,997","2,597","1,425","2,074","1,107","2,800","2,172","3,054","2,522",985,688,"1,025","1,388",924,"1,236"
2021년03월_여_40~49세,"24,076","1,867","1,386","1,986","1,572","2,256","2,054","3,015","2,817","1,169",655,807,"1,772","1,140","1,580"
2021년03월_여_50~59세,"25,994","2,143","1,772","2,355","1,661","2,169","2,497","3,041","2,453","1,641",611,973,"1,771","1,224","1,683"
2021년03월_여_60~69세,"23,931","2,016","2,023","2,082","1,480","1,682","2,244","2,806","2,257","1,899",541,767,"1,548","1,140","1,446"
2021년03월_여_70~79세,"15,082","1,342","1,422","1,352",908,978,"1,347","1,477","1,200","1,290",395,534,989,828,"1,020"
2021년03월_여_80~89세,"6,970",659,710,660,432,495,638,581,481,617,217,220,454,396,410
2021년03월_여_90~99세,"1,026",92,104,87,50,66,92,88,80,90,37,42,63,62,73
2021년03월_여_100세 이상,55,4,9,7,2,5,2,7,4,4,0,2,2,4,3
