카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 노산동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 중앙동,경상남도 창원시 진해구 태평동,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2020년01월_계_80~89세,"25,017","5,486",791,881,495,818,483,824,690,504,"2,863",572,285,354,658,510,262,222,"6,682",328,465,312,484,271,39,707,513,651,411,405,528,0,829,345,394,"4,943","1,296",545,308,457,348,307,560,262,224,303,225,108,"5,043",0,0,669,621,367,342,302,256,298,421,287,459,320,236,465
2020년01월_계_90~99세,"3,148",723,84,136,68,119,66,92,83,75,397,78,55,59,85,70,27,23,894,62,54,53,84,36,5,97,62,77,45,52,80,0,91,44,52,544,138,51,38,45,44,34,83,32,14,35,22,8,590,0,0,86,59,39,42,28,41,37,41,30,50,38,39,60
2020년01월_계_100세 이상,168,32,1,6,2,7,3,7,5,1,20,7,4,2,6,1,0,0,62,0,3,2,0,0,2,4,5,8,3,3,18,0,6,3,5,38,1,6,3,3,6,4,1,4,2,3,3,2,16,0,0,3,1,2,4,2,1,0,1,0,1,1,0,0
2020년01월_남_총인구수,"529,176","132,348","10,526","21,514","3,750","23,222","19,008","22,538","16,227","15,563","112,345","21,716","12,667","14,531","23,483","21,531","14,124","4,293","88,078","2,299","6,521","1,964","2,027","7,271",342,"16,104","5,812","7,632","4,724","5,626","7,370",0,"10,160","3,664","6,562","97,511","33,677","5,576","3,906","7,967","3,391","5,925","16,212","4,971","4,097","4,820","4,992","1,977","98,894",0,0,"9,245","4,480","2,691","5,841","3,841","8,935","4,579","10,864","5,106","13,192","6,274","3,396","20,450"
2020년01월_남_연령구간인구수,"529,176","132,348","10,526","21,514","3,750","23,222","19,008","22,538","16,227","15,563","112,345","21,716","12,667","14,531","23,483","21,531","14,124","4,293","88,078","2,299","6,521","1,964","2,027","7,271",342,"16,104","5,812","7,632","4,724","5,626","7,370",0,"10,160","3,664","6,562","97,511","33,677","5,576","3,906","7,967","3,391","5,925","16,212","4,971","4,097","4,820","4,992","1,977","98,894",0,0,"9,245","4,480","2,691","5,841","3,841","8,935","4,579","10,864","5,106","13,192","6,274","3,396","20,450"
2020년01월_남_0~9세,"45,313","11,243",691,"3,457",159,"1,861","1,552","1,418",881,"1,224","9,118","1,727",725,"1,150","2,017","2,015","1,208",276,"6,854",68,690,54,40,"1,234",14,"1,457",306,585,241,311,577,0,651,197,429,"7,360","3,024",253,192,533,95,377,"1,727",364,162,245,303,85,"10,738",0,0,850,222,116,582,334,849,235,"1,354",600,"2,062",944,324,"2,266"
2020년01월_남_10~19세,"54,163","12,766","1,116","1,776",246,"2,222","2,148","2,388","1,280","1,590","13,076","3,003",828,"1,946","2,711","2,315","1,830",443,"7,406",105,496,98,83,588,14,"1,739",433,765,416,592,636,0,677,247,517,"10,042","4,528",359,342,607,218,469,"1,922",340,284,391,446,136,"10,873",0,0,991,401,173,566,404,"1,255",310,"1,177",659,"1,545",434,370,"2,588"
2020년01월_남_20~29세,"74,053","20,145","1,388","2,190",403,"3,632","3,086","3,892","2,819","2,735","18,756","3,394","2,492","2,444","3,759","3,618","2,396",653,"10,770",199,650,183,175,666,44,"2,393",921,949,647,730,831,0,"1,129",397,856,"12,741","4,764",616,456,925,399,790,"2,023",676,572,617,668,235,"11,641",0,0,"1,392",519,314,661,453,"1,224",607,"1,337",643,"1,326",656,343,"2,166"
2020년01월_남_30~39세,"73,375","18,698","1,040","4,159",411,"3,421","2,719","2,431","2,291","2,226","16,170","2,388","2,559","1,871","3,514","3,331","1,878",629,"11,486",230,915,146,110,"1,400",43,"2,104",750,895,536,617,934,0,"1,403",524,879,"12,035","3,741",677,385,"1,138",352,802,"2,120",817,516,568,661,258,"14,986",0,0,"1,308",443,261,936,476,"1,172",656,"1,756",735,"2,110","1,300",400,"3,433"
2020년01월_남_40~49세,"86,309","20,689","1,761","3,573",506,"3,516","3,072","3,515","2,417","2,329","17,865","3,622","2,067","2,274","3,809","3,317","2,099",677,"13,565",260,"1,104",219,201,"1,277",35,"2,455",783,"1,250",661,776,"1,177",0,"1,726",574,"1,067","15,804","5,800",837,575,"1,214",469,904,"2,798",724,627,697,794,365,"18,386",0,0,"1,640",680,362,912,664,"1,713",768,"1,872",877,"2,489","1,016",617,"4,776"
2020년01월_남_50~59세,"93,900","24,966","2,077","2,995",726,"4,414","3,701","4,804","3,222","3,027","21,927","4,281","2,264","2,984","4,399","4,228","3,037",734,"14,858",450,"1,103",450,418,958,67,"2,700",970,"1,274",889,962,"1,183",0,"1,679",654,"1,101","17,646","6,447",977,706,"1,371",644,"1,017","2,668",855,756,948,864,393,"14,503",0,0,"1,203",725,521,912,610,"1,355",779,"1,652",700,"1,677",873,599,"2,897"
2020년01월_남_60~69세,"65,632","16,052","1,489","2,249",760,"2,803","2,002","2,811","2,264","1,674","11,509","2,403","1,239","1,425","2,502","2,064","1,321",555,"13,731",571,956,461,523,730,75,"2,090",939,"1,046",804,988,"1,222",0,"1,687",616,"1,023","13,554","3,490","1,031",757,"1,291",700,960,"1,949",707,713,850,786,320,"10,786",0,0,995,699,483,766,506,935,748,"1,179",534,"1,318",664,469,"1,490"
2020년01월_남_70~79세,"27,718","5,989",716,855,390,"1,070",566,978,828,586,"3,039",704,380,319,598,497,293,248,"7,062",311,457,251,309,331,37,921,533,632,388,503,617,0,914,329,529,"6,487","1,453",609,391,710,370,488,771,387,391,384,387,146,"5,141",0,0,611,528,325,390,289,325,368,407,271,502,271,197,657
2020년01월_남_80~89세,"8,043","1,663",239,237,132,262,150,275,211,157,795,181,95,106,156,134,54,69,"2,149",95,143,93,152,82,10,226,163,217,130,137,170,0,271,112,148,"1,724",408,202,92,166,130,111,219,95,74,112,77,38,"1,712",0,0,234,246,124,108,103,97,103,123,79,154,106,67,168
2020년01월_남_90~99세,632,131,9,22,16,20,12,25,13,14,85,12,15,12,18,11,8,9,182,10,6,9,16,5,3,19,13,19,12,9,14,0,21,13,13,110,22,15,10,10,10,7,15,5,2,8,6,0,124,0,0,20,16,11,8,1,10,5,7,8,9,10,10,9
2020년01월_남_100세 이상,38,6,0,1,1,1,0,1,1,1,5,1,3,0,0,1,0,0,15,0,1,0,0,0,0,0,1,0,0,1,9,0,2,1,0,8,0,0,0,2,4,0,0,1,0,0,0,1,4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
2020년01월_여_총인구수,"515,403","127,858","10,216","21,074","3,647","22,663","18,161","21,743","14,924","15,430","107,588","21,179","10,616","14,321","23,643","20,847","13,064","3,918","88,948","2,160","6,187","1,736","2,051","7,326",329,"16,401","5,937","7,972","4,939","5,801","7,511",0,"10,342","3,565","6,691","96,464","33,273","5,593","3,904","7,855","3,272","5,831","16,431","4,778","4,090","4,804","5,031","1,602","94,545",0,0,"8,667","4,545","2,636","5,757","3,904","8,600","4,126","10,879","5,281","13,255","6,056","3,204","17,635"
2020년01월_여_연령구간인구수,"515,403","127,858","10,216","21,074","3,647","22,663","18,161","21,743","14,924","15,430","107,588","21,179","10,616","14,321","23,643","20,847","13,064","3,918","88,948","2,160","6,187","1,736","2,051","7,326",329,"16,401","5,937","7,972","4,939","5,801","7,511",0,"10,342","3,565","6,691","96,464","33,273","5,593","3,904","7,855","3,272","5,831","16,431","4,778","4,090","4,804","5,031","1,602","94,545",0,0,"8,667","4,545","2,636","5,757","3,904","8,600","4,126","10,879","5,281","13,255","6,056","3,204","17,635"
2020년01월_여_0~9세,"42,237","10,555",681,"3,223",119,"1,829","1,498","1,284",860,"1,061","8,714","1,662",635,"1,117","1,965","1,963","1,099",273,"6,281",61,586,42,37,"1,139",18,"1,372",301,497,215,273,519,0,619,183,419,"6,799","2,797",225,156,495,90,307,"1,586",328,172,265,289,89,"9,888",0,0,833,183,102,553,291,783,195,"1,294",571,"1,796",824,274,"2,189"
2020년01월_여_10~19세,"49,018","11,482",950,"1,657",202,"2,086","1,911","2,127","1,159","1,390","11,490","2,632",721,"1,689","2,430","2,090","1,537",391,"6,787",80,543,80,70,607,16,"1,559",407,687,453,421,596,0,548,212,508,"9,052","4,104",347,299,549,180,436,"1,709",326,248,321,422,111,"10,207",0,0,936,324,160,499,349,"1,199",273,"1,084",591,"1,585",457,360,"2,390"
2020년01월_여_20~29세,"59,687","16,238","1,023","1,903",312,"2,962","2,523","3,207","2,068","2,240","15,116","2,677","2,011","1,947","3,146","2,935","1,968",432,"8,841",131,499,133,115,627,28,"1,890",751,789,558,593,672,0,997,288,770,"10,485","3,922",468,360,821,305,616,"1,636",546,502,485,684,140,"9,007",0,0,854,380,226,518,384,988,421,"1,151",500,"1,054",623,263,"1,645"
2020년01월_여_30~39세,"66,127","16,834",953,"4,286",264,"2,973","2,455","2,169","1,711","2,023","14,378","2,389","1,805","1,760","3,314","3,017","1,631",462,"10,184",133,808,93,85,"1,471",32,"2,055",579,836,403,528,830,0,"1,245",340,746,"10,790","3,674",470,339,869,251,664,"2,233",650,399,460,584,197,"13,941",0,0,"1,130",341,191,818,450,"1,090",456,"1,753",755,"2,416","1,234",374,"2,933"
2020년01월_여_40~49세,"84,023","20,458","1,668","3,092",370,"3,545","3,254","3,677","2,198","2,654","19,705","4,190","1,670","2,742","4,350","3,660","2,460",633,"12,225",142,880,150,144,"1,094",38,"2,612",740,"1,147",652,806,"1,031",0,"1,406",451,932,"15,370","6,376",673,500,993,344,843,"2,924",621,546,622,690,238,"16,265",0,0,"1,399",619,274,855,611,"1,787",536,"1,846",849,"2,344",873,516,"3,756"
2020년01월_여_50~59세,"94,913","25,571","1,921","3,177",701,"4,628","3,728","4,852","3,249","3,315","22,381","4,279","2,019","3,194","4,923","4,360","2,870",736,"15,364",409,990,318,339,987,57,"2,993","1,037","1,364",971,"1,124","1,229",0,"1,760",622,"1,164","17,746","6,021","1,004",714,"1,447",681,"1,052","2,936",885,764,"1,003",940,299,"13,851",0,0,"1,100",722,455,962,635,"1,295",797,"1,770",738,"1,878",844,525,"2,130"
2020년01월_여_60~69세,"66,607","15,508","1,490","2,060",743,"2,811","1,794","2,688","2,237","1,685","9,867","2,104","1,148","1,170","2,117","1,751","1,007",570,"15,074",544,978,392,445,821,77,"2,254","1,077","1,303",867,"1,090","1,358",0,"1,940",746,"1,182","14,854","3,532","1,244",799,"1,490",709,"1,160","2,085",789,892,974,879,301,"11,304",0,0,"1,116",844,540,822,589,887,811,"1,140",673,"1,279",613,450,"1,540"
2020년01월_여_70~79세,"33,171","6,771",902,913,520,"1,168",608,"1,117",889,654,"3,542",783,376,405,823,636,265,254,"8,900",375,531,263,416,360,30,"1,103",642,849,503,653,843,0,"1,195",457,680,"7,685","1,842",777,490,864,458,526,912,436,403,453,376,148,"6,273",0,0,796,714,416,458,368,380,410,508,374,556,345,244,704
2020년01월_여_80~89세,"16,974","3,823",552,644,363,556,333,549,479,347,"2,068",391,190,248,502,376,208,153,"4,533",233,322,219,332,189,29,481,350,434,281,268,358,0,558,233,246,"3,219",888,343,216,291,218,196,341,167,150,191,148,70,"3,331",0,0,435,375,243,234,199,159,195,298,208,305,214,169,297
2020년01월_여_90~99세,"2,516",592,75,114,52,99,54,67,70,61,312,66,40,47,67,59,19,14,712,52,48,44,68,31,2,78,49,58,33,43,66,0,70,31,39,434,116,36,28,35,34,27,68,27,12,27,16,8,466,0,0,66,43,28,34,27,31,32,34,22,41,28,29,51
2020년01월_여_100세 이상,130,26,1,5,1,6,3,6,4,0,15,6,1,2,6,0,0,0,47,0,2,2,0,0,2,4,4,8,3,2,9,0,4,2,5,30,1,6,3,1,2,4,1,3,2,3,3,1,12,0,0,2,0,1,4,1,1,0,1,0,1,1,0,0
