카테고리,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년12월_계_총인구수,"2,385,412","74,791","341,436","164,528","143,175","437,008","417,097","544,926","262,451"
2021년12월_계_연령구간인구수,"2,385,412","74,791","341,436","164,528","143,175","437,008","417,097","544,926","262,451"
2021년12월_계_0~9세,"167,823","5,002","23,998","6,779","6,329","31,921","28,406","36,879","28,509"
2021년12월_계_10~19세,"218,537","5,003","26,205","10,107","8,943","41,761","49,315","52,726","24,477"
2021년12월_계_20~29세,"308,921","11,372","40,513","19,897","19,735","61,011","52,915","75,096","28,382"
2021년12월_계_30~39세,"284,865","10,583","43,183","16,715","16,713","52,587","41,672","62,906","40,506"
2021년12월_계_40~49세,"372,555","10,604","50,977","21,323","19,414","70,291","69,974","85,255","44,717"
2021년12월_계_50~59세,"419,444","11,025","56,436","32,298","24,204","78,215","74,743","101,488","41,035"
2021년12월_계_60~69세,"342,291","10,225","53,656","32,000","24,316","57,534","54,283","77,707","32,570"
2021년12월_계_70~79세,"177,828","7,000","30,763","17,251","14,893","28,982","29,098","35,207","14,634"
2021년12월_계_80~89세,"82,781","3,475","14,073","7,373","7,636","13,157","14,636","15,695","6,736"
2021년12월_계_90~99세,"10,122",480,"1,592",767,974,"1,518","1,998","1,925",868
2021년12월_계_100세 이상,245,22,40,18,18,31,57,42,17
2021년12월_남_총인구수,"1,175,632","35,948","167,888","82,241","68,799","217,420","201,689","268,498","133,149"
2021년12월_남_연령구간인구수,"1,175,632","35,948","167,888","82,241","68,799","217,420","201,689","268,498","133,149"
2021년12월_남_0~9세,"85,980","2,562","12,248","3,505","3,256","16,309","14,668","18,902","14,530"
2021년12월_남_10~19세,"113,890","2,548","13,702","5,244","4,733","21,676","25,941","27,306","12,740"
2021년12월_남_20~29세,"164,484","5,442","21,518","10,876","9,807","32,944","28,375","39,856","15,666"
2021년12월_남_30~39세,"149,452","5,469","22,967","9,495","8,888","27,763","20,519","33,164","21,187"
2021년12월_남_40~49세,"183,962","5,361","26,123","11,496","9,792","34,552","31,909","41,396","23,333"
2021년12월_남_50~59세,"205,369","5,493","27,583","16,332","11,879","38,696","36,043","48,925","20,418"
2021년12월_남_60~69세,"162,849","4,726","24,891","15,023","11,138","27,966","25,647","37,346","16,112"
2021년12월_남_70~79세,"78,079","2,941","13,444","7,549","6,321","12,587","12,684","15,769","6,784"
2021년12월_남_80~89세,"29,339","1,283","5,057","2,596","2,777","4,610","5,413","5,402","2,201"
2021년12월_남_90~99세,"2,197",120,345,124,208,316,483,426,175
2021년12월_남_100세 이상,31,3,10,1,0,1,7,6,3
2021년12월_여_총인구수,"1,209,780","38,843","173,548","82,287","74,376","219,588","215,408","276,428","129,302"
2021년12월_여_연령구간인구수,"1,209,780","38,843","173,548","82,287","74,376","219,588","215,408","276,428","129,302"
2021년12월_여_0~9세,"81,843","2,440","11,750","3,274","3,073","15,612","13,738","17,977","13,979"
2021년12월_여_10~19세,"104,647","2,455","12,503","4,863","4,210","20,085","23,374","25,420","11,737"
2021년12월_여_20~29세,"144,437","5,930","18,995","9,021","9,928","28,067","24,540","35,240","12,716"
2021년12월_여_30~39세,"135,413","5,114","20,216","7,220","7,825","24,824","21,153","29,742","19,319"
2021년12월_여_40~49세,"188,593","5,243","24,854","9,827","9,622","35,739","38,065","43,859","21,384"
2021년12월_여_50~59세,"214,075","5,532","28,853","15,966","12,325","39,519","38,700","52,563","20,617"
2021년12월_여_60~69세,"179,442","5,499","28,765","16,977","13,178","29,568","28,636","40,361","16,458"
2021년12월_여_70~79세,"99,749","4,059","17,319","9,702","8,572","16,395","16,414","19,438","7,850"
2021년12월_여_80~89세,"53,442","2,192","9,016","4,777","4,859","8,547","9,223","10,293","4,535"
2021년12월_여_90~99세,"7,925",360,"1,247",643,766,"1,202","1,515","1,499",693
2021년12월_여_100세 이상,214,19,30,17,18,30,50,36,14
