카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년11월_계_총인구수,"1,451,993","102,645","297,214","214,752","431,256","406,126"
2020년11월_계_연령구간인구수,"1,451,993","102,645","297,214","214,752","431,256","406,126"
2020년11월_계_0~9세,"120,143","7,125","21,883","17,251","33,700","40,184"
2020년11월_계_10~19세,"157,750","7,309","31,753","22,839","43,152","52,697"
2020년11월_계_20~29세,"209,837","14,799","45,446","28,117","62,718","58,757"
2020년11월_계_30~39세,"186,451","13,363","36,898","25,565","55,688","54,937"
2020년11월_계_40~49세,"241,635","14,005","49,019","34,066","67,685","76,860"
2020년11월_계_50~59세,"233,918","15,686","49,525","33,086","71,943","63,678"
2020년11월_계_60~69세,"163,259","14,715","34,238","28,050","53,220","33,036"
2020년11월_계_70~79세,"93,224","10,281","19,208","17,332","29,337","17,066"
2020년11월_계_80~89세,"39,530","4,653","7,966","7,240","11,993","7,678"
2020년11월_계_90~99세,"5,826",642,"1,202","1,111","1,701","1,170"
2020년11월_계_100세 이상,420,67,76,95,119,63
2020년11월_남_총인구수,"718,370","50,705","145,703","103,360","214,023","204,579"
2020년11월_남_연령구간인구수,"718,370","50,705","145,703","103,360","214,023","204,579"
2020년11월_남_0~9세,"61,716","3,694","11,376","8,840","17,199","20,607"
2020년11월_남_10~19세,"81,788","3,814","16,674","11,440","22,762","27,098"
2020년11월_남_20~29세,"109,568","7,539","23,329","14,476","33,006","31,218"
2020년11월_남_30~39세,"95,156","6,981","18,668","12,668","28,920","27,919"
2020년11월_남_40~49세,"119,919","7,305","23,612","16,785","33,926","38,291"
2020년11월_남_50~59세,"115,948","7,737","24,288","15,646","35,168","33,109"
2020년11월_남_60~69세,"77,787","6,953","16,079","12,855","25,350","16,550"
2020년11월_남_70~79세,"41,285","4,538","8,556","7,747","13,132","7,312"
2020년11월_남_80~89세,"13,900","1,951","2,849","2,642","4,202","2,256"
2020년11월_남_90~99세,"1,249",178,262,248,347,214
2020년11월_남_100세 이상,54,15,10,13,11,5
2020년11월_여_총인구수,"733,623","51,940","151,511","111,392","217,233","201,547"
2020년11월_여_연령구간인구수,"733,623","51,940","151,511","111,392","217,233","201,547"
2020년11월_여_0~9세,"58,427","3,431","10,507","8,411","16,501","19,577"
2020년11월_여_10~19세,"75,962","3,495","15,079","11,399","20,390","25,599"
2020년11월_여_20~29세,"100,269","7,260","22,117","13,641","29,712","27,539"
2020년11월_여_30~39세,"91,295","6,382","18,230","12,897","26,768","27,018"
2020년11월_여_40~49세,"121,716","6,700","25,407","17,281","33,759","38,569"
2020년11월_여_50~59세,"117,970","7,949","25,237","17,440","36,775","30,569"
2020년11월_여_60~69세,"85,472","7,762","18,159","15,195","27,870","16,486"
2020년11월_여_70~79세,"51,939","5,743","10,652","9,585","16,205","9,754"
2020년11월_여_80~89세,"25,630","2,702","5,117","4,598","7,791","5,422"
2020년11월_여_90~99세,"4,577",464,940,863,"1,354",956
2020년11월_여_100세 이상,366,52,66,82,108,58
