,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020년04월_계_총인구수,"2,431,523","76,955","343,568","173,807","147,905","436,863","428,125","567,375","256,925"
2020년04월_계_연령구간인구수,"2,431,523","76,955","343,568","173,807","147,905","436,863","428,125","567,375","256,925"
2020년04월_계_0~9세,"185,155","5,325","26,205","8,110","7,164","34,879","31,026","42,483","29,963"
2020년04월_계_10~19세,"232,363","5,129","27,296","11,544","9,793","44,590","52,953","57,513","23,545"
2020년04월_계_20~29세,"322,534","11,805","41,935","22,249","20,305","60,528","55,920","80,613","29,179"
2020년04월_계_30~39세,"301,805","10,952","45,002","18,247","17,616","54,369","44,014","69,143","42,462"
2020년04월_계_40~49세,"389,655","10,907","51,790","23,721","20,868","73,344","74,489","91,859","42,677"
2020년04월_계_50~59세,"428,427","11,431","57,627","35,227","25,400","77,259","75,395","105,488","40,600"
2020년04월_계_60~69세,"314,502","10,152","49,906","30,208","23,623","51,162","50,539","70,731","28,181"
2020년04월_계_70~79세,"172,311","7,371","29,735","17,015","15,065","27,661","28,359","33,617","13,488"
2020년04월_계_80~89세,"75,116","3,302","12,497","6,642","7,099","11,687","13,594","14,226","6,069"
2020년04월_계_90~99세,"8,956",484,"1,452",745,887,"1,300","1,738","1,617",733
2020년04월_계_100세 이상,699,97,123,99,85,84,98,85,28
2020년04월_남_총인구수,"1,200,899","37,064","169,428","87,167","71,130","217,681","207,610","280,296","130,523"
2020년04월_남_연령구간인구수,"1,200,899","37,064","169,428","87,167","71,130","217,681","207,610","280,296","130,523"
2020년04월_남_0~9세,"94,844","2,758","13,407","4,160","3,724","17,860","15,930","21,781","15,224"
2020년04월_남_10~19세,"121,704","2,614","14,319","6,058","5,163","23,203","28,114","29,902","12,331"
2020년04월_남_20~29세,"172,940","5,682","22,455","12,225","10,253","32,972","30,185","43,110","16,058"
2020년04월_남_30~39세,"156,276","5,638","23,646","10,320","9,217","28,243","21,264","35,818","22,130"
2020년04월_남_40~49세,"192,197","5,599","26,693","12,699","10,498","35,985","34,036","44,410","22,277"
2020년04월_남_50~59세,"209,826","5,623","27,941","17,650","12,273","38,410","36,617","51,047","20,265"
2020년04월_남_60~69세,"149,778","4,699","23,193","14,182","10,803","24,887","23,772","34,240","14,002"
2020년04월_남_70~79세,"75,012","3,113","12,976","7,426","6,408","11,792","12,346","14,850","6,101"
2020년04월_남_80~89세,"26,189","1,204","4,441","2,282","2,546","4,048","4,915","4,775","1,978"
2020년04월_남_90~99세,"1,970",115,324,142,226,264,404,346,149
2020년04월_남_100세 이상,163,19,33,23,19,17,27,17,8
2020년04월_여_총인구수,"1,230,624","39,891","174,140","86,640","76,775","219,182","220,515","287,079","126,402"
2020년04월_여_연령구간인구수,"1,230,624","39,891","174,140","86,640","76,775","219,182","220,515","287,079","126,402"
2020년04월_여_0~9세,"90,311","2,567","12,798","3,950","3,440","17,019","15,096","20,702","14,739"
2020년04월_여_10~19세,"110,659","2,515","12,977","5,486","4,630","21,387","24,839","27,611","11,214"
2020년04월_여_20~29세,"149,594","6,123","19,480","10,024","10,052","27,556","25,735","37,503","13,121"
2020년04월_여_30~39세,"145,529","5,314","21,356","7,927","8,399","26,126","22,750","33,325","20,332"
2020년04월_여_40~49세,"197,458","5,308","25,097","11,022","10,370","37,359","40,453","47,449","20,400"
2020년04월_여_50~59세,"218,601","5,808","29,686","17,577","13,127","38,849","38,778","54,441","20,335"
2020년04월_여_60~69세,"164,724","5,453","26,713","16,026","12,820","26,275","26,767","36,491","14,179"
2020년04월_여_70~79세,"97,299","4,258","16,759","9,589","8,657","15,869","16,013","18,767","7,387"
2020년04월_여_80~89세,"48,927","2,098","8,056","4,360","4,553","7,639","8,679","9,451","4,091"
2020년04월_여_90~99세,"6,986",369,"1,128",603,661,"1,036","1,334","1,271",584
2020년04월_여_100세 이상,536,78,90,76,66,67,71,68,20
