카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2020년09월_계_총인구수,"274,985","33,849","53,962","16,166","27,603","17,471","19,360","22,347","16,968","21,237","20,504","25,518"
2020년09월_계_연령구간인구수,"274,985","33,849","53,962","16,166","27,603","17,471","19,360","22,347","16,968","21,237","20,504","25,518"
2020년09월_계_0~9세,"21,227","2,045","4,858",700,"2,356",863,"1,252","2,022","1,112","1,922","2,276","1,821"
2020년09월_계_10~19세,"26,938","2,696","6,221",889,"2,817","1,194","1,500","2,200","1,651","3,199","1,761","2,810"
2020년09월_계_20~29세,"38,404","5,433","7,322","2,497","3,839","2,747","2,787","2,836","2,131","2,556","2,609","3,647"
2020년09월_계_30~39세,"38,751","4,715","7,308","2,203","3,618","2,351","3,230","3,856","2,170","2,272","3,750","3,278"
2020년09월_계_40~49세,"44,987","5,092","9,345","2,111","4,483","2,550","2,865","3,869","2,772","4,232","3,301","4,367"
2020년09월_계_50~59세,"48,356","6,636","9,374","3,113","4,841","3,561","3,209","3,444","2,977","3,549","3,257","4,395"
2020년09월_계_60~69세,"32,629","4,457","5,818","2,639","3,478","2,629","2,464","2,255","2,065","1,887","2,201","2,736"
2020년09월_계_70~79세,"15,007","1,874","2,474","1,324","1,368","1,097","1,281","1,128","1,208",948,912,"1,393"
2020년09월_계_80~89세,"7,437",759,"1,051",591,676,414,671,650,777,590,367,891
2020년09월_계_90~99세,"1,172",131,175,91,123,57,96,87,100,78,65,169
2020년09월_계_100세 이상,77,11,16,8,4,8,5,0,5,4,5,11
2020년09월_남_총인구수,"136,530","17,833","26,827","8,079","13,396","9,098","9,202","10,906","8,104","10,357","10,310","12,418"
2020년09월_남_연령구간인구수,"136,530","17,833","26,827","8,079","13,396","9,098","9,202","10,906","8,104","10,357","10,310","12,418"
2020년09월_남_0~9세,"10,835","1,036","2,503",367,"1,181",465,641,"1,025",523,"1,019","1,124",951
2020년09월_남_10~19세,"13,871","1,399","3,195",459,"1,461",629,758,"1,147",857,"1,612",910,"1,444"
2020년09월_남_20~29세,"20,071","2,991","3,792","1,342","1,989","1,469","1,398","1,490","1,092","1,355","1,318","1,835"
2020년09월_남_30~39세,"20,147","2,701","3,722","1,274","1,764","1,330","1,676","1,930","1,096","1,061","1,937","1,656"
2020년09월_남_40~49세,"22,124","2,720","4,545","1,109","2,106","1,376","1,365","1,852","1,343","1,941","1,712","2,055"
2020년09월_남_50~59세,"23,662","3,450","4,563","1,471","2,254","1,823","1,474","1,646","1,418","1,776","1,567","2,220"
2020년09월_남_60~69세,"16,136","2,313","2,931","1,253","1,739","1,319","1,141","1,062",956,945,"1,140","1,337"
2020년09월_남_70~79세,"6,719",891,"1,170",591,621,526,503,476,482,408,456,595
2020년09월_남_80~89세,"2,633",295,357,190,248,146,221,255,300,211,130,280
2020년09월_남_90~99세,308,33,44,22,32,12,24,23,34,28,14,42
2020년09월_남_100세 이상,24,4,5,1,1,3,1,0,3,1,2,3
2020년09월_여_총인구수,"138,455","16,016","27,135","8,087","14,207","8,373","10,158","11,441","8,864","10,880","10,194","13,100"
2020년09월_여_연령구간인구수,"138,455","16,016","27,135","8,087","14,207","8,373","10,158","11,441","8,864","10,880","10,194","13,100"
2020년09월_여_0~9세,"10,392","1,009","2,355",333,"1,175",398,611,997,589,903,"1,152",870
2020년09월_여_10~19세,"13,067","1,297","3,026",430,"1,356",565,742,"1,053",794,"1,587",851,"1,366"
2020년09월_여_20~29세,"18,333","2,442","3,530","1,155","1,850","1,278","1,389","1,346","1,039","1,201","1,291","1,812"
2020년09월_여_30~39세,"18,604","2,014","3,586",929,"1,854","1,021","1,554","1,926","1,074","1,211","1,813","1,622"
2020년09월_여_40~49세,"22,863","2,372","4,800","1,002","2,377","1,174","1,500","2,017","1,429","2,291","1,589","2,312"
2020년09월_여_50~59세,"24,694","3,186","4,811","1,642","2,587","1,738","1,735","1,798","1,559","1,773","1,690","2,175"
2020년09월_여_60~69세,"16,493","2,144","2,887","1,386","1,739","1,310","1,323","1,193","1,109",942,"1,061","1,399"
2020년09월_여_70~79세,"8,288",983,"1,304",733,747,571,778,652,726,540,456,798
2020년09월_여_80~89세,"4,804",464,694,401,428,268,450,395,477,379,237,611
2020년09월_여_90~99세,864,98,131,69,91,45,72,64,66,50,51,127
2020년09월_여_100세 이상,53,7,11,7,3,5,4,0,2,3,3,8
