,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년03월_계_80~89세,"9,905",600,"1,092",290,434,226,500,130,240,582,414,398,557,311,457,510,264,607,580,381,409,522,401
2020년03월_계_90~99세,"1,563",97,188,41,71,41,91,33,28,84,58,52,90,45,83,71,61,97,45,58,62,95,72
2020년03월_계_100세 이상,105,7,10,2,3,1,7,7,2,10,4,1,7,3,2,7,6,10,5,5,2,3,1
2020년03월_남_총인구수,"274,696","23,551","21,526","15,646","24,428","13,368","14,352","3,539","5,073","11,827","7,158","7,677","16,346","6,425","10,137","8,478","5,654","17,192","11,541","12,400","14,158","12,693","11,527"
2020년03월_남_연령구간인구수,"274,696","23,551","21,526","15,646","24,428","13,368","14,352","3,539","5,073","11,827","7,158","7,677","16,346","6,425","10,137","8,478","5,654","17,192","11,541","12,400","14,158","12,693","11,527"
2020년03월_남_0~9세,"26,948","2,554","1,325","2,108","3,726","2,202","1,808",183,259,679,406,377,"1,455",331,755,374,395,"1,501","1,046","1,418","1,596","1,264","1,186"
2020년03월_남_10~19세,"29,327","2,367","1,953","2,221","3,183","1,757","1,104",247,426,866,514,664,"1,533",464,"1,011",711,428,"1,795","1,494","1,810","1,731","1,400","1,648"
2020년03월_남_20~29세,"38,214","3,401","3,623","1,850","2,956","1,450","1,831",604,878,"1,824","1,027","1,272","2,337",921,"1,650","1,242",758,"2,507","1,518","1,352","1,931","1,710","1,572"
2020년03월_남_30~39세,"41,786","4,464","2,766","2,984","4,076","2,327","2,642",521,664,"1,721",909,943,"2,361",869,"1,339","1,085",914,"2,667","1,337","1,711","2,352","1,684","1,450"
2020년03월_남_40~49세,"49,041","4,486","3,400","3,200","4,919","2,683","2,375",472,718,"1,846","1,081","1,185","2,595","1,092","1,461","1,189",845,"3,072","2,302","2,858","2,750","2,279","2,233"
2020년03월_남_50~59세,"47,331","3,434","4,516","2,020","3,235","1,755","2,315",855,"1,116","2,400","1,469","1,635","3,067","1,366","1,931","1,734","1,067","3,093","2,039","1,862","2,244","2,268","1,910"
2020년03월_남_60~69세,"27,763","1,860","2,563",902,"1,653",902,"1,534",493,721,"1,671","1,125","1,025","2,083",893,"1,362","1,368",858,"1,652",998,805,"1,000","1,357",938
2020년03월_남_70~79세,"10,736",756,945,259,524,225,594,130,207,643,479,451,728,370,472,591,290,681,577,422,390,553,449
2020년03월_남_80~89세,"3,210",204,387,98,140,61,135,27,79,155,134,117,174,104,137,166,80,207,215,151,147,164,128
2020년03월_남_90~99세,311,22,44,4,16,5,12,4,5,18,14,8,12,13,19,17,17,14,14,10,16,14,13
2020년03월_남_100세 이상,29,3,4,0,0,1,2,3,0,4,0,0,1,2,0,1,2,3,1,1,1,0,0
2020년03월_여_총인구수,"269,338","22,756","20,690","15,822","24,660","13,700","14,156","3,174","5,008","11,139","6,615","7,478","16,339","5,585","10,734","8,154","5,360","16,042","11,388","12,101","14,352","12,155","11,930"
2020년03월_여_연령구간인구수,"269,338","22,756","20,690","15,822","24,660","13,700","14,156","3,174","5,008","11,139","6,615","7,478","16,339","5,585","10,734","8,154","5,360","16,042","11,388","12,101","14,352","12,155","11,930"
2020년03월_여_0~9세,"25,368","2,402","1,283","1,964","3,451","2,058","1,623",176,259,652,392,301,"1,430",269,746,376,402,"1,400","1,027","1,259","1,570","1,195","1,133"
2020년03월_여_10~19세,"27,942","2,141","1,795","2,170","3,001","1,742","1,037",225,397,788,446,707,"1,580",435,"1,021",645,364,"1,705","1,423","1,706","1,615","1,320","1,679"
2020년03월_여_20~29세,"35,215","3,192","3,182","1,966","2,883","1,434","1,732",475,787,"1,564",819,"1,086","2,165",765,"1,508","1,078",741,"2,263","1,331","1,277","1,930","1,466","1,571"
2020년03월_여_30~39세,"40,120","4,275","2,378","3,099","4,551","2,678","2,564",396,528,"1,283",750,720,"2,294",620,"1,319",811,814,"2,198","1,320","1,826","2,448","1,713","1,535"
2020년03월_여_40~49세,"47,234","4,073","3,277","3,257","4,961","2,714","2,112",396,704,"1,550",902,"1,119","2,538",818,"1,618","1,157",775,"2,889","2,296","2,818","2,770","2,122","2,368"
2020년03월_여_50~59세,"45,855","3,378","4,354","1,897","3,269","1,808","2,366",787,"1,209","2,421","1,382","1,639","3,110","1,189","2,184","1,722","1,010","2,715","1,794","1,495","2,181","2,116","1,829"
2020년03월_여_60~69세,"26,814","1,920","2,314",853,"1,603",787,"1,593",440,634,"1,620","1,074","1,046","1,982",784,"1,371","1,321",709,"1,569","1,090",923,"1,012","1,191",978
2020년03월_여_70~79세,"12,767",900,"1,252",385,589,278,680,143,304,762,522,534,773,465,581,640,313,813,707,515,517,590,504
2020년03월_여_80~89세,"6,695",396,705,192,294,165,365,103,161,427,280,281,383,207,320,344,184,400,365,230,262,358,273
2020년03월_여_90~99세,"1,252",75,144,37,55,36,79,29,23,66,44,44,78,32,64,54,44,83,31,48,46,81,59
2020년03월_여_100세 이상,76,4,6,2,3,0,5,4,2,6,4,1,6,1,2,6,4,7,4,4,1,3,1
