,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2021년04월_계_총인구수,"338,480","30,974","24,690","29,453","18,886","29,065","28,785","38,399","32,652","19,158","10,390","13,703","24,102","18,013","20,210"
2021년04월_계_연령구간인구수,"338,480","30,974","24,690","29,453","18,886","29,065","28,785","38,399","32,652","19,158","10,390","13,703","24,102","18,013","20,210"
2021년04월_계_0~9세,"20,127","1,230","1,004","1,829","1,201","2,689","1,800","2,480","2,794",742,428,794,"1,215",677,"1,244"
2021년04월_계_10~19세,"23,424","1,400","1,379","1,868","1,716","1,998","1,948","2,629","2,804","1,075",708,806,"2,050","1,261","1,782"
2021년04월_계_20~29세,"56,144","6,206","4,405","4,590","2,293","4,140","3,742","5,279","3,834","2,240","3,214","3,428","5,310","4,661","2,802"
2021년04월_계_30~39세,"49,476","5,424","3,204","4,210","2,242","5,298","4,444","6,317","5,004","2,155","1,479","2,137","2,968","2,140","2,454"
2021년04월_계_40~49세,"49,710","4,130","3,045","4,241","3,034","4,734","4,132","6,248","5,775","2,418","1,290","1,685","3,475","2,331","3,172"
2021년04월_계_50~59세,"52,522","4,632","3,806","4,852","3,234","4,222","4,878","6,020","4,929","3,330","1,231","1,935","3,514","2,567","3,372"
2021년04월_계_60~69세,"46,548","4,176","3,935","4,211","2,755","3,317","4,246","5,470","4,335","3,754",964,"1,522","2,959","2,141","2,763"
2021년04월_계_70~79세,"27,505","2,517","2,584","2,457","1,566","1,775","2,461","2,848","2,276","2,322",678,934,"1,792","1,463","1,832"
2021년04월_계_80~89세,"11,533","1,124","1,179","1,075",766,792,"1,013",972,787,987,346,403,716,679,694
2021년04월_계_90~99세,"1,414",130,139,112,76,92,118,127,106,131,51,56,100,88,88
2021년04월_계_100세 이상,77,5,10,8,3,8,3,9,8,4,1,3,3,5,7
2021년04월_남_총인구수,"167,643","15,687","12,669","14,800","9,096","14,074","14,009","19,106","16,322","9,577","4,970","6,569","11,990","8,986","9,788"
2021년04월_남_연령구간인구수,"167,643","15,687","12,669","14,800","9,096","14,074","14,009","19,106","16,322","9,577","4,970","6,569","11,990","8,986","9,788"
2021년04월_남_0~9세,"10,331",630,520,950,610,"1,364",905,"1,290","1,433",382,226,406,639,337,639
2021년04월_남_10~19세,"11,838",722,721,917,837,"1,022",967,"1,350","1,510",556,336,396,978,641,885
2021년04월_남_20~29세,"27,753","2,922","2,391","2,342","1,175","1,904","1,871","2,497","1,971","1,195","1,519","1,479","2,830","2,313","1,344"
2021년04월_남_30~39세,"25,515","2,814","1,776","2,154","1,141","2,503","2,271","3,269","2,513","1,178",780,"1,111","1,578","1,214","1,213"
2021년04월_남_40~49세,"25,679","2,270","1,668","2,257","1,462","2,468","2,092","3,253","2,945","1,260",636,870,"1,708","1,194","1,596"
2021년04월_남_50~59세,"26,604","2,498","2,032","2,504","1,579","2,070","2,391","3,000","2,468","1,694",629,959,"1,742","1,345","1,693"
2021년04월_남_60~69세,"22,537","2,158","1,898","2,127","1,275","1,614","2,005","2,640","2,074","1,862",418,749,"1,413","1,001","1,303"
2021년04월_남_70~79세,"12,452","1,177","1,171","1,111",657,802,"1,112","1,375","1,076","1,038",284,406,802,631,810
2021년04월_남_80~89세,"4,523",458,453,413,333,297,370,390,303,373,127,178,260,286,282
2021년04월_남_90~99세,390,37,38,24,26,27,24,41,25,39,14,14,39,23,19
2021년04월_남_100세 이상,21,1,1,1,1,3,1,1,4,0,1,1,1,1,4
2021년04월_여_총인구수,"170,837","15,287","12,021","14,653","9,790","14,991","14,776","19,293","16,330","9,581","5,420","7,134","12,112","9,027","10,422"
2021년04월_여_연령구간인구수,"170,837","15,287","12,021","14,653","9,790","14,991","14,776","19,293","16,330","9,581","5,420","7,134","12,112","9,027","10,422"
2021년04월_여_0~9세,"9,796",600,484,879,591,"1,325",895,"1,190","1,361",360,202,388,576,340,605
2021년04월_여_10~19세,"11,586",678,658,951,879,976,981,"1,279","1,294",519,372,410,"1,072",620,897
2021년04월_여_20~29세,"28,391","3,284","2,014","2,248","1,118","2,236","1,871","2,782","1,863","1,045","1,695","1,949","2,480","2,348","1,458"
2021년04월_여_30~39세,"23,961","2,610","1,428","2,056","1,101","2,795","2,173","3,048","2,491",977,699,"1,026","1,390",926,"1,241"
2021년04월_여_40~49세,"24,031","1,860","1,377","1,984","1,572","2,266","2,040","2,995","2,830","1,158",654,815,"1,767","1,137","1,576"
2021년04월_여_50~59세,"25,918","2,134","1,774","2,348","1,655","2,152","2,487","3,020","2,461","1,636",602,976,"1,772","1,222","1,679"
2021년04월_여_60~69세,"24,011","2,018","2,037","2,084","1,480","1,703","2,241","2,830","2,261","1,892",546,773,"1,546","1,140","1,460"
2021년04월_여_70~79세,"15,053","1,340","1,413","1,346",909,973,"1,349","1,473","1,200","1,284",394,528,990,832,"1,022"
2021년04월_여_80~89세,"7,010",666,726,662,433,495,643,582,484,614,219,225,456,393,412
2021년04월_여_90~99세,"1,024",93,101,88,50,65,94,86,81,92,37,42,61,65,69
2021년04월_여_100세 이상,56,4,9,7,2,5,2,8,4,4,0,2,2,4,3
