,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년10월_계_총인구수,"148,618","45,481","8,679","4,573","7,647","12,432","2,129","4,766","9,407","6,246","8,208","2,741","2,711","18,877","14,721"
2021년10월_계_연령구간인구수,"148,618","45,481","8,679","4,573","7,647","12,432","2,129","4,766","9,407","6,246","8,208","2,741","2,711","18,877","14,721"
2021년10월_계_0~9세,"8,139","2,836",573,98,195,614,43,165,456,504,592,51,185,"1,161",666
2021년10월_계_10~19세,"11,844","4,893",553,183,415,916,61,224,672,346,441,134,141,"1,761","1,104"
2021년10월_계_20~29세,"18,053","6,064",946,422,761,"1,437",177,404,935,854,961,237,301,"2,527","2,027"
2021년10월_계_30~39세,"14,643","4,473","1,101",349,626,"1,197",120,286,854,905,949,124,332,"1,937","1,390"
2021년10월_계_40~49세,"19,810","7,111","1,105",500,811,"1,583",190,482,"1,173",621,833,227,270,"2,700","2,204"
2021년10월_계_50~59세,"29,181","9,304","1,583","1,106","1,830","2,439",364,956,"1,556",845,"1,237",515,433,"3,661","3,352"
2021년10월_계_60~69세,"26,694","6,595","1,621","1,104","1,767","2,521",606,"1,166","1,956","1,113","1,569",697,567,"2,970","2,442"
2021년10월_계_70~79세,"12,339","2,615",719,488,709,"1,052",335,661,"1,066",669,946,465,279,"1,373",962
2021년10월_계_80~89세,"6,876","1,386",411,284,458,567,213,368,619,350,588,263,176,688,505
2021년10월_계_90~99세,"1,001",194,66,39,73,101,20,52,116,38,90,27,26,95,64
2021년10월_계_100세 이상,38,10,1,0,2,5,0,2,4,1,2,1,1,4,5
2021년10월_남_총인구수,"78,733","23,180","4,655","2,655","4,492","6,851","1,188","2,588","4,904","3,424","4,434","1,433","1,432","9,565","7,932"
2021년10월_남_연령구간인구수,"78,733","23,180","4,655","2,655","4,492","6,851","1,188","2,588","4,904","3,424","4,434","1,433","1,432","9,565","7,932"
2021년10월_남_0~9세,"4,168","1,440",286,60,94,330,27,89,237,248,311,23,88,578,357
2021년10월_남_10~19세,"6,226","2,562",283,99,227,505,37,117,362,167,221,58,66,947,575
2021년10월_남_20~29세,"10,461","3,252",553,268,447,870,121,239,590,605,671,155,174,"1,369","1,147"
2021년10월_남_30~39세,"8,201","2,296",611,219,390,708,81,174,502,546,577,86,184,"1,049",778
2021년10월_남_40~49세,"10,651","3,541",618,318,536,859,110,298,670,368,483,136,162,"1,333","1,219"
2021년10월_남_50~59세,"16,048","4,907",874,665,"1,148","1,427",221,565,822,449,702,272,233,"1,889","1,874"
2021년10월_남_60~69세,"14,458","3,455",910,659,"1,074","1,403",335,651,994,590,807,373,318,"1,542","1,347"
2021년10월_남_70~79세,"5,763","1,201",364,237,377,502,161,303,494,310,411,218,139,595,451
2021년10월_남_80~89세,"2,499",488,144,120,184,219,87,132,199,131,223,106,61,239,166
2021년10월_남_90~99세,245,36,12,10,14,27,8,19,33,9,26,5,7,23,16
2021년10월_남_100세 이상,13,2,0,0,1,1,0,1,1,1,2,1,0,1,2
2021년10월_여_총인구수,"69,885","22,301","4,024","1,918","3,155","5,581",941,"2,178","4,503","2,822","3,774","1,308","1,279","9,312","6,789"
2021년10월_여_연령구간인구수,"69,885","22,301","4,024","1,918","3,155","5,581",941,"2,178","4,503","2,822","3,774","1,308","1,279","9,312","6,789"
2021년10월_여_0~9세,"3,971","1,396",287,38,101,284,16,76,219,256,281,28,97,583,309
2021년10월_여_10~19세,"5,618","2,331",270,84,188,411,24,107,310,179,220,76,75,814,529
2021년10월_여_20~29세,"7,592","2,812",393,154,314,567,56,165,345,249,290,82,127,"1,158",880
2021년10월_여_30~39세,"6,442","2,177",490,130,236,489,39,112,352,359,372,38,148,888,612
2021년10월_여_40~49세,"9,159","3,570",487,182,275,724,80,184,503,253,350,91,108,"1,367",985
2021년10월_여_50~59세,"13,133","4,397",709,441,682,"1,012",143,391,734,396,535,243,200,"1,772","1,478"
2021년10월_여_60~69세,"12,236","3,140",711,445,693,"1,118",271,515,962,523,762,324,249,"1,428","1,095"
2021년10월_여_70~79세,"6,576","1,414",355,251,332,550,174,358,572,359,535,247,140,778,511
2021년10월_여_80~89세,"4,377",898,267,164,274,348,126,236,420,219,365,157,115,449,339
2021년10월_여_90~99세,756,158,54,29,59,74,12,33,83,29,64,22,19,72,48
2021년10월_여_100세 이상,25,8,1,0,1,4,0,1,3,0,0,0,1,3,3
