,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020년10월_계_총인구수,"2,424,171","76,849","342,552","171,576","146,513","440,832","425,639","561,568","258,642"
2020년10월_계_연령구간인구수,"2,424,171","76,849","342,552","171,576","146,513","440,832","425,639","561,568","258,642"
2020년10월_계_0~9세,"180,003","5,240","25,474","7,675","6,822","34,439","29,920","40,841","29,592"
2020년10월_계_10~19세,"227,586","5,104","26,710","11,053","9,460","43,712","51,843","55,843","23,861"
2020년10월_계_20~29세,"322,910","11,910","41,769","21,816","20,427","62,064","55,807","80,018","29,099"
2020년10월_계_30~39세,"296,728","10,900","44,218","17,666","17,193","54,476","43,144","67,353","41,778"
2020년10월_계_40~49세,"385,501","10,783","51,544","23,134","20,429","72,994","73,305","90,099","43,213"
2020년10월_계_50~59세,"426,784","11,412","57,196","34,562","25,040","78,172","75,348","104,218","40,836"
2020년10월_계_60~69세,"322,968","10,193","51,006","30,833","23,808","53,299","51,815","72,657","29,357"
2020년10월_계_70~79세,"174,764","7,350","30,177","17,167","15,128","28,181","28,701","34,163","13,897"
2020년10월_계_80~89세,"76,914","3,378","12,879","6,810","7,191","12,042","13,824","14,593","6,197"
2020년10월_계_90~99세,"9,289",478,"1,456",758,930,"1,357","1,832","1,695",783
2020년10월_계_100세 이상,724,101,123,102,85,96,100,88,29
2020년10월_남_총인구수,"1,196,446","36,968","168,793","86,015","70,433","219,603","206,015","277,231","131,388"
2020년10월_남_연령구간인구수,"1,196,446","36,968","168,793","86,015","70,433","219,603","206,015","277,231","131,388"
2020년10월_남_0~9세,"92,225","2,700","13,001","3,959","3,536","17,633","15,382","20,944","15,070"
2020년10월_남_10~19세,"118,877","2,624","14,002","5,764","4,981","22,700","27,365","28,956","12,485"
2020년10월_남_20~29세,"172,890","5,705","22,392","12,026","10,266","33,758","30,042","42,679","16,022"
2020년10월_남_30~39세,"154,141","5,631","23,279","10,016","8,991","28,459","20,941","35,055","21,769"
2020년10월_남_40~49세,"190,148","5,482","26,571","12,392","10,312","35,806","33,397","43,634","22,554"
2020년10월_남_50~59세,"208,878","5,635","27,718","17,379","12,193","38,750","36,472","50,394","20,337"
2020년10월_남_60~69세,"153,832","4,700","23,729","14,448","10,888","25,946","24,436","35,074","14,611"
2020년10월_남_70~79세,"76,315","3,105","13,152","7,523","6,440","12,068","12,498","15,181","6,348"
2020년10월_남_80~89세,"26,928","1,252","4,600","2,342","2,582","4,184","5,027","4,923","2,018"
2020년10월_남_90~99세,"2,041",113,314,143,226,279,428,373,165
2020년10월_남_100세 이상,171,21,35,23,18,20,27,18,9
2020년10월_여_총인구수,"1,227,725","39,881","173,759","85,561","76,080","221,229","219,624","284,337","127,254"
2020년10월_여_연령구간인구수,"1,227,725","39,881","173,759","85,561","76,080","221,229","219,624","284,337","127,254"
2020년10월_여_0~9세,"87,778","2,540","12,473","3,716","3,286","16,806","14,538","19,897","14,522"
2020년10월_여_10~19세,"108,709","2,480","12,708","5,289","4,479","21,012","24,478","26,887","11,376"
2020년10월_여_20~29세,"150,020","6,205","19,377","9,790","10,161","28,306","25,765","37,339","13,077"
2020년10월_여_30~39세,"142,587","5,269","20,939","7,650","8,202","26,017","22,203","32,298","20,009"
2020년10월_여_40~49세,"195,353","5,301","24,973","10,742","10,117","37,188","39,908","46,465","20,659"
2020년10월_여_50~59세,"217,906","5,777","29,478","17,183","12,847","39,422","38,876","53,824","20,499"
2020년10월_여_60~69세,"169,136","5,493","27,277","16,385","12,920","27,353","27,379","37,583","14,746"
2020년10월_여_70~79세,"98,449","4,245","17,025","9,644","8,688","16,113","16,203","18,982","7,549"
2020년10월_여_80~89세,"49,986","2,126","8,279","4,468","4,609","7,858","8,797","9,670","4,179"
2020년10월_여_90~99세,"7,248",365,"1,142",615,704,"1,078","1,404","1,322",618
2020년10월_여_100세 이상,553,80,88,79,67,76,73,70,20
