카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년09월_계_총인구수,"1,791,110","658,235","337,671","320,564","265,770","279,207","106,951","79,673","81,177","91,146","24,985","23,764","21,755","26,755","27,033","53,606","51,053"
2021년09월_계_연령구간인구수,"1,791,110","658,235","337,671","320,564","265,770","279,207","106,951","79,673","81,177","91,146","24,985","23,764","21,755","26,755","27,033","53,606","51,053"
2021년09월_계_0~9세,"121,707","52,059","23,583","28,476","19,810","17,883","5,953","4,696","3,999","6,458","1,161","1,096","1,047","1,284","1,337","2,508","2,416"
2021년09월_계_10~19세,"171,106","70,337","34,965","35,372","26,278","27,240","9,365","7,138","6,080","8,153","1,633","1,789","1,650","1,596","2,147","4,134","3,566"
2021년09월_계_20~29세,"208,407","93,358","49,220","44,138","29,329","35,394","10,297","7,341","6,920","8,774","1,810","1,688","1,564","1,905","1,914","4,065","4,048"
2021년09월_계_30~39세,"183,643","81,427","39,520","41,907","29,359","27,563","8,480","6,098","6,281","8,948","1,524","1,626","1,430","1,799","1,816","3,637","3,655"
2021년09월_계_40~49세,"261,232","105,344","51,903","53,441","42,649","40,623","14,205","10,222","9,617","13,266","2,565","2,748","2,440","2,685","3,153","5,883","5,832"
2021년09월_계_50~59세,"298,271","106,986","57,229","49,757","44,045","48,476","18,146","13,574","13,338","15,223","4,397","4,122","3,633","4,542","4,387","8,782","8,620"
2021년09월_계_60~69세,"266,473","80,404","44,161","36,243","38,856","42,194","17,676","13,467","15,004","14,661","5,147","4,616","4,357","5,180","4,996","10,064","9,851"
2021년09월_계_70~79세,"170,869","44,795","24,289","20,506","23,326","24,894","13,128","9,733","11,349","9,334","3,779","3,293","3,111","4,233","4,051","8,173","7,670"
2021년09월_계_80~89세,"94,400","20,451","11,049","9,402","10,420","12,782","8,421","6,341","7,313","5,440","2,563","2,429","2,204","3,048","2,809","5,462","4,717"
2021년09월_계_90~99세,"14,476","2,980","1,692","1,288","1,645","2,086","1,219","1,030","1,234",861,389,335,308,467,400,866,656
2021년09월_계_100세 이상,526,94,60,34,53,72,61,33,42,28,17,22,11,16,23,32,22
2021년09월_남_총인구수,"891,073","323,927","164,477","159,450","134,537","139,079","53,127","39,071","40,302","46,839","12,639","11,826","10,852","13,682","13,232","26,602","25,358"
2021년09월_남_연령구간인구수,"891,073","323,927","164,477","159,450","134,537","139,079","53,127","39,071","40,302","46,839","12,639","11,826","10,852","13,682","13,232","26,602","25,358"
2021년09월_남_0~9세,"62,459","26,679","12,133","14,546","10,097","9,185","3,052","2,490","2,080","3,197",565,588,545,672,700,"1,333","1,276"
2021년09월_남_10~19세,"88,628","36,348","18,192","18,156","13,590","13,971","4,974","3,673","3,095","4,275",870,901,840,844,"1,109","2,281","1,857"
2021년09월_남_20~29세,"112,763","49,050","25,529","23,521","16,150","19,265","5,715","4,108","3,852","4,930","1,032",936,890,"1,124","1,085","2,334","2,292"
2021년09월_남_30~39세,"94,785","41,193","20,050","21,143","15,359","14,391","4,525","3,126","3,370","4,632",745,893,737,993,893,"1,960","1,968"
2021년09월_남_40~49세,"134,343","51,567","24,875","26,692","22,361","20,729","7,461","5,207","5,370","7,263","1,498","1,527","1,374","1,618","1,780","3,329","3,259"
2021년09월_남_50~59세,"154,994","52,710","27,703","25,007","23,227","24,728","9,774","7,256","7,353","8,506","2,487","2,283","2,054","2,585","2,394","4,850","4,787"
2021년09월_남_60~69세,"131,806","38,174","20,756","17,418","19,192","20,892","8,837","6,743","7,602","7,641","2,752","2,389","2,232","2,833","2,562","5,041","4,916"
2021년09월_남_70~79세,"76,073","19,998","10,840","9,158","10,613","11,213","5,734","4,144","4,990","4,363","1,751","1,385","1,383","1,877","1,686","3,581","3,355"
2021년09월_남_80~89세,"31,960","7,507","4,006","3,501","3,606","4,235","2,792","2,077","2,300","1,837",850,847,719,"1,025",912,"1,742","1,511"
2021년09월_남_90~99세,"3,176",686,382,304,334,456,253,241,284,189,84,73,77,107,108,149,135
2021년09월_남_100세 이상,86,15,11,4,8,14,10,6,6,6,5,4,1,4,3,2,2
2021년09월_여_총인구수,"900,037","334,308","173,194","161,114","131,233","140,128","53,824","40,602","40,875","44,307","12,346","11,938","10,903","13,073","13,801","27,004","25,695"
2021년09월_여_연령구간인구수,"900,037","334,308","173,194","161,114","131,233","140,128","53,824","40,602","40,875","44,307","12,346","11,938","10,903","13,073","13,801","27,004","25,695"
2021년09월_여_0~9세,"59,248","25,380","11,450","13,930","9,713","8,698","2,901","2,206","1,919","3,261",596,508,502,612,637,"1,175","1,140"
2021년09월_여_10~19세,"82,478","33,989","16,773","17,216","12,688","13,269","4,391","3,465","2,985","3,878",763,888,810,752,"1,038","1,853","1,709"
2021년09월_여_20~29세,"95,644","44,308","23,691","20,617","13,179","16,129","4,582","3,233","3,068","3,844",778,752,674,781,829,"1,731","1,756"
2021년09월_여_30~39세,"88,858","40,234","19,470","20,764","14,000","13,172","3,955","2,972","2,911","4,316",779,733,693,806,923,"1,677","1,687"
2021년09월_여_40~49세,"126,889","53,777","27,028","26,749","20,288","19,894","6,744","5,015","4,247","6,003","1,067","1,221","1,066","1,067","1,373","2,554","2,573"
2021년09월_여_50~59세,"143,277","54,276","29,526","24,750","20,818","23,748","8,372","6,318","5,985","6,717","1,910","1,839","1,579","1,957","1,993","3,932","3,833"
2021년09월_여_60~69세,"134,667","42,230","23,405","18,825","19,664","21,302","8,839","6,724","7,402","7,020","2,395","2,227","2,125","2,347","2,434","5,023","4,935"
2021년09월_여_70~79세,"94,796","24,797","13,449","11,348","12,713","13,681","7,394","5,589","6,359","4,971","2,028","1,908","1,728","2,356","2,365","4,592","4,315"
2021년09월_여_80~89세,"62,440","12,944","7,043","5,901","6,814","8,547","5,629","4,264","5,013","3,603","1,713","1,582","1,485","2,023","1,897","3,720","3,206"
2021년09월_여_90~99세,"11,300","2,294","1,310",984,"1,311","1,630",966,789,950,672,305,262,231,360,292,717,521
2021년09월_여_100세 이상,440,79,49,30,45,58,51,27,36,22,12,18,10,12,20,30,20
