,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년03월_계_총인구수,"1,797,450","657,064","338,363","318,701","266,959","280,585","107,710","80,227","82,079","91,127","25,252","23,940","21,946","27,044","27,474","54,243","51,800"
2021년03월_계_연령구간인구수,"1,797,450","657,064","338,363","318,701","266,959","280,585","107,710","80,227","82,079","91,127","25,252","23,940","21,946","27,044","27,474","54,243","51,800"
2021년03월_계_0~9세,"126,003","53,371","24,291","29,080","20,503","18,627","6,227","4,877","4,217","6,710","1,241","1,170","1,122","1,333","1,450","2,626","2,529"
2021년03월_계_10~19세,"173,148","71,208","35,725","35,483","26,568","27,560","9,561","7,174","6,108","8,202","1,648","1,825","1,641","1,639","2,191","4,156","3,667"
2021년03월_계_20~29세,"209,743","92,850","49,240","43,610","29,521","35,778","10,457","7,514","7,095","8,842","1,913","1,733","1,625","2,018","2,021","4,195","4,181"
2021년03월_계_30~39세,"186,504","81,538","39,603","41,935","30,076","27,969","8,704","6,303","6,515","9,169","1,595","1,679","1,509","1,881","1,918","3,795","3,853"
2021년03월_계_40~49세,"266,068","106,584","52,918","53,666","43,217","41,431","14,615","10,581","9,926","13,475","2,678","2,824","2,532","2,770","3,248","6,114","6,073"
2021년03월_계_50~59세,"298,408","106,291","57,070","49,221","43,999","48,632","18,219","13,620","13,545","15,073","4,462","4,145","3,649","4,611","4,465","8,967","8,730"
2021년03월_계_60~69세,"260,057","78,134","42,988","35,146","38,126","41,156","17,207","13,170","14,789","14,169","4,988","4,497","4,284","5,056","4,893","9,847","9,741"
2021년03월_계_70~79세,"170,491","44,315","24,108","20,207","23,059","24,687","13,256","9,778","11,423","9,293","3,807","3,354","3,108","4,257","4,132","8,338","7,684"
2021년03월_계_80~89세,"92,542","19,868","10,753","9,115","10,243","12,585","8,235","6,210","7,193","5,342","2,531","2,367","2,166","3,027","2,761","5,326","4,688"
2021년03월_계_90~99세,"13,931","2,818","1,614","1,204","1,586","2,066","1,165",967,"1,230",819,372,324,299,434,374,846,631
2021년03월_계_100세 이상,555,87,53,34,61,94,64,33,38,33,17,22,11,18,21,33,23
2021년03월_남_총인구수,"893,974","323,432","164,758","158,674","134,952","139,763","53,490","39,334","40,688","46,833","12,753","11,944","10,946","13,864","13,401","26,832","25,742"
2021년03월_남_연령구간인구수,"893,974","323,432","164,758","158,674","134,952","139,763","53,490","39,334","40,688","46,833","12,753","11,944","10,946","13,864","13,401","26,832","25,742"
2021년03월_남_0~9세,"64,662","27,326","12,491","14,835","10,441","9,570","3,194","2,588","2,193","3,348",606,629,585,715,748,"1,389","1,330"
2021년03월_남_10~19세,"89,712","36,887","18,624","18,263","13,730","14,101","5,068","3,690","3,129","4,284",873,929,830,870,"1,127","2,272","1,922"
2021년03월_남_20~29세,"113,372","48,690","25,439","23,251","16,223","19,491","5,802","4,204","3,966","4,928","1,104",969,920,"1,188","1,136","2,401","2,350"
2021년03월_남_30~39세,"96,316","41,251","20,099","21,152","15,728","14,671","4,639","3,215","3,478","4,744",764,924,787,"1,049",937,"2,041","2,088"
2021년03월_남_40~49세,"137,030","52,193","25,317","26,876","22,652","21,133","7,689","5,412","5,544","7,445","1,558","1,571","1,436","1,686","1,843","3,459","3,409"
2021년03월_남_50~59세,"154,577","52,252","27,579","24,673","23,101","24,712","9,818","7,279","7,396","8,417","2,519","2,292","2,056","2,630","2,417","4,913","4,775"
2021년03월_남_60~69세,"128,577","37,267","20,284","16,983","18,775","20,419","8,555","6,568","7,440","7,364","2,650","2,328","2,186","2,735","2,504","4,899","4,887"
2021년03월_남_70~79세,"75,507","19,718","10,742","8,976","10,450","11,069","5,753","4,150","4,990","4,313","1,758","1,398","1,365","1,878","1,698","3,625","3,342"
2021년03월_남_80~89세,"31,060","7,191","3,811","3,380","3,511","4,108","2,713","2,004","2,279","1,807",830,823,709,"1,004",893,"1,690","1,498"
2021년03월_남_90~99세,"3,064",642,362,280,331,467,249,218,266,177,86,76,70,105,97,141,139
2021년03월_남_100세 이상,97,15,10,5,10,22,10,6,7,6,5,5,2,4,1,2,2
2021년03월_여_총인구수,"903,476","333,632","173,605","160,027","132,007","140,822","54,220","40,893","41,391","44,294","12,499","11,996","11,000","13,180","14,073","27,411","26,058"
2021년03월_여_연령구간인구수,"903,476","333,632","173,605","160,027","132,007","140,822","54,220","40,893","41,391","44,294","12,499","11,996","11,000","13,180","14,073","27,411","26,058"
2021년03월_여_0~9세,"61,341","26,045","11,800","14,245","10,062","9,057","3,033","2,289","2,024","3,362",635,541,537,618,702,"1,237","1,199"
2021년03월_여_10~19세,"83,436","34,321","17,101","17,220","12,838","13,459","4,493","3,484","2,979","3,918",775,896,811,769,"1,064","1,884","1,745"
2021년03월_여_20~29세,"96,371","44,160","23,801","20,359","13,298","16,287","4,655","3,310","3,129","3,914",809,764,705,830,885,"1,794","1,831"
2021년03월_여_30~39세,"90,188","40,287","19,504","20,783","14,348","13,298","4,065","3,088","3,037","4,425",831,755,722,832,981,"1,754","1,765"
2021년03월_여_40~49세,"129,038","54,391","27,601","26,790","20,565","20,298","6,926","5,169","4,382","6,030","1,120","1,253","1,096","1,084","1,405","2,655","2,664"
2021년03월_여_50~59세,"143,831","54,039","29,491","24,548","20,898","23,920","8,401","6,341","6,149","6,656","1,943","1,853","1,593","1,981","2,048","4,054","3,955"
2021년03월_여_60~69세,"131,480","40,867","22,704","18,163","19,351","20,737","8,652","6,602","7,349","6,805","2,338","2,169","2,098","2,321","2,389","4,948","4,854"
2021년03월_여_70~79세,"94,984","24,597","13,366","11,231","12,609","13,618","7,503","5,628","6,433","4,980","2,049","1,956","1,743","2,379","2,434","4,713","4,342"
2021년03월_여_80~89세,"61,482","12,677","6,942","5,735","6,732","8,477","5,522","4,206","4,914","3,535","1,701","1,544","1,457","2,023","1,868","3,636","3,190"
2021년03월_여_90~99세,"10,867","2,176","1,252",924,"1,255","1,599",916,749,964,642,286,248,229,329,277,705,492
2021년03월_여_100세 이상,458,72,43,29,51,72,54,27,31,27,12,17,9,14,20,31,21
